Script,Meaning
麻薬はどんなものでも敬遠しておいたほうがいい。,I think he should stay away from drugs of any sort.
ジョーンズさんという方がお見えになりました。,A person named Jones has come to see you.
スミスさんとか言う方が見えています。,A Mr. Smith has come to see you.
ガガ様のライブ一緒に行ける方いませんか？。,Can anybody come with me to a Lady Gaga concert?
このバスじゃ、違う方にいきますよ。,This bus is going in a different direction.
伊藤さんという方がお会いしたいそうです。,A Mr. Itoh wants to see you.
ゴルフではスコアが少ないほど良い。,"The lower a golf score is, the better."
そう思っている人が少ない。,Few people think so.
５は８より少ない。,5 is less than 8.
何の心配もない人は少ない。,Few people are free of care.
９０歳まで生きる人は少ない。,Few people live to be ninety years old.
ベートーベンはある？。,Do you have Beethoven?
スプーンがありません。,There is a spoon missing.
ローマであった。,It happened in Rome.
フォークがありません。,There is a fork missing.
ダブリンはアイルランドにあります。,Dublin is located in Ireland.
私は先入観に縛られている。,I'm biased.
肉は桃色をしているといったことについてのすべての慨世観念や先入観。,All the accepted notions and prejudices about flesh being pink.
テーブルマナーがわからないとしても、実際には問題でありません。,"If I don't know the table manners, it doesn't really matter."
しかし、実際にはそうではない。,But this is not true.
実際私はそれを知らなかった。,"Actually, I didn't know that."
実際には、彼女はそのスキャンダルとは関係がなかった。,"In point of fact, she had nothing to do with the scandal."
実際感じたままを話してよい。,You can speak as you actually feel.
トムはキウイを食わず嫌いしている。,"Even though Tom has never even tried eating one, he says he doesn't like kiwifruit."
チキンは食べられない、というけど、単なる食わず嫌いじゃないの。,You can't eat chicken? How do you know if you never try it?
尿量がとても多いです。,I urinate a tremendous amount at a time.
ラテンアメリカには、アニメ好きな人が多い。,There are a lot of people that like Anime in Latin America.
ラテンアメリカでは、アニメが好きな人が多い。,There are a lot of people that like Anime in Latin America.
その本はページが多かった。,That book had a lot of pages.
この本は写真が多い。,This book has a lot of pictures.
コストコは今回は行かなくてもいい？。,Is it OK if we don't go to Costco this time?
今回問題になってるのは何？。,What's the problem this time?
スキーは今回が初めて？。,Is this the first time you've ever skied?
今回はだめなのです。,I'm afraid I can't make it at that time.
これが起こったのは、今回が初めてではない。,This isn't the first time this has happened.
その町には市場がある。,There is a market in the town.
市場に行く。,I will go to the market.
私は市場に行きます。,I will go to the market.
この新しい型は市場で手に入りますか。,Is this new model available on the market?
彼女は毎日市場に買い物に行きます。,She goes to market every day to buy things.
メアリーは中にいます。,Mary's in there.
このモールの中にスーパーマーケットはありますか。,Is there a supermarket in this mall?
トムは中にいると思うよ。,I think Tom is in.
中にいなさい。,Stay inside.
トムはトランクの中を見た。,Tom looked in the trunk.
この本は初心者でも理解できるようなやさしい英語で書かれている。,This book is written in such easy English that even beginners can understand it.
あなたは初心者としてはテニスがうまい。,"You are a good tennis player, as beginners go."
初心者でも参加できますか？。,Is it open to beginners?
何てこった、初心者にやられた！。,omg a n00b pwned me!
初心者向けのコースがありますか。,Do you have a course for beginners?
コーラはみんな飲んでしまったの。,Has all the coke been drunk?
ビールはあまりたくさん飲みません。,I don't drink a lot of beer.
ビール飲んでるんだ。,I'm drinking a beer.
何を飲みますか。,What'll you drink?
ビール飲むんだよね？。,"You drink beer, don't you?"
彼女はあの銘柄が一番だと思っている。,She swears by that brand.
「味がマイルドだな、この銘柄は」と父が言った。,"""This brand is very mild,"" Dad said."
１０００銘柄以上の株が取引所に上場されている。,More than 1000 issues are listed on the stock exchange.
すいませんが、その銘柄の煙草は売り切れです。,"I'm sorry, but that brand of cigarettes is out of stock."
ホワイトさんにご紹介させて下さい。,Let me introduce you to Mr. White.
山田さん、ミス・ロイドを紹介します。,"Mr Yamada, may I introduce Miss Lloyd?"
トムは私をメアリーに紹介した。,Tom introduced me to Mary.
ブラウンさんを紹介しましょう。,Let me introduce you to Mr. Brown.
紹介させていただきます。,Please let me introduce myself.
トムは母親のオートミールクッキーのレシピをメアリーに教えた。,Tom shared his mother's oatmeal cookie recipe with Mary.
そのにんじんを全部食べたら、アイスクリームをあげるよ。,I'll give you the ice cream after you eat all the carrots.
にんじんを切らせて。,Let me cut the carrots.
彼女はにんじんの葉を切り落とした。,She cut off the carrot tops.
子供時代に母は私に毎日にんじんを食べさせた。,Mother made me eat carrots every day in my childhood.
彼女のポケットはくるみで膨らんでいた。,Her pockets were bulging with walnuts.
サラダのドレッシングはイタリアンがいいです。,I want Italian dressing on my salad.
サラダを食べますか。,Do you eat salad?
サラダは好きではありません。,I don't like salad.
トムが僕のサラダを食べたよ。,Tom ate my salad.
本当にこのサラダ美味しい。,This salad is really good.
私はノート、ペンなどが必要だ。,"I need pens, notebooks and so on."
私はサッカー、ラグビー、フットボールなどが好きです。,"I am fond of soccer, rugby, football, and so on."
私たちはサンドイッチやケーキなどを食べた。,"We ate sandwiches, cake and so on."
彼は私の言うことなど聞こうとしない。,He will not listen to me.
私には彼など問題ではない。,He counts for nothing to me.
梅酒はね、梅で作る和風リキュールのことだよ。,Umeshu is a Japanese liqueur made from plums.
パリまで５０キロです。,It is 50 kilometers to Paris.
グランドホテルまで、行ってください。,Please take me to the Grand Hotel.
バスでそのビーチまで行けますか？。,Can we get to the beach by bus?
ホテルまでタクシーで行きなさい。,Take a taxi to the hotel.
サンフランシスコまで行ってください。,Please go to San Francisco.
じゃーな、楽しめよ。,Have a nice day.
パーティーは楽しめた？。,Did you enjoy yourself at the party?
パーティー楽しめた？。,How did you enjoy the party?
今のチャンスを楽しめ！。,Make hay!
ゲームは楽しめましたか。,Did you enjoy the game?
データはまだまとめていません。,The data hasn't been compiled yet.
彼女はスタッフをまとめていけると思いますか。,Do you think she can handle her staff?
私はこの提案をまとめた。,I collected this proposal.
私はペンを取る前に考えをまとめなければならない。,I must put my ideas together before I take up my pen.
我々はすべてのデータを一つにまとめた。,We got all the materials together.
シーフードが好きだな。,I like seafood.
シーフードが好きです。,I like eating seafood.
私たちはロブスターや他のシーフードでお腹いっぱいになった。,We felt full from eating the lobster and other seafood.
ここは、この地域では飛び抜けて最高のシーフードレストランだ。,This is by far the best seafood restaurant in this area.
私たちは海老やその他のシーフードで腹いっぱいになった。,We glutted ourselves with lobsters and other seafood.
豚肉は私には合わない。,Pork doesn't agree with me.
この豚肉は１キロいくらですか。,How much is this pork a kilo?
トムは豚肉食べないでしょ。,"Tom doesn't eat pork, does he?"
トムって、豚肉は食べないんだよね。,"Tom doesn't eat pork, does he?"
メアリーって、豚肉は食べないんだよね。,"Mary doesn't eat pork, does she?"
ビール６缶パックは、おいくらですか？。,How much does a six-pack of beer cost?
仕事から帰る途中に、ビール６缶パックを１つ買ったよ。,I bought a six-pack of beer on my way home from work.
この缶は空だ。,This can is empty.
缶を開けてもいいですか。,Is it OK if I open a can?
ビールをもう１缶いただけますか。,Could I please have one more can of beer?
トム、そこの醤油取って。,"Tom, please pass me that soy sauce."
同社は醤油その他の食品を生産する。,The company produces soy sauce and other food products.
アボカドに醤油をかけた事なんて一度もないよ。,I've never tried putting soy sauce on avocados.
ジャン、そのカードは何？。,"What are those cards, Jan?"
カードを入れてください。,Please insert your card.
このカードでトラベラーズチェックが買えますか。,Can I get travelers checks with this card?
私のカードにつけておいてくれ。,Charge this to my account.
カードは使えますか。,Can I pay with a credit card?
その話は、ある日曜日の午後も遅くなった頃、奥深い森の中で始まったんだ。,"It began late one Sunday afternoon, deep in the woods."
年が過ぎていきました。,Year followed year...
トムは３０過ぎてるよ。,Tom is over thirty.
１０年が過ぎた。,Ten years have gone by.
それは高過ぎる。,It is too expensive.
私がここに来てから１０年が過ぎた。,Ten years have passed since I came here.
その会社の急速な成長はその独特な戦略によるものだった。,The rapid growth of the firm was attributed to its unique strategy.
我々の外交と戦略はあきらかに矛盾していた。,Our diplomacy and strategy ran in clear contradiction to each other.
今度の商売は、損して得取れ、という戦略でやろうよ。,In our next line of business let's make it our strategy to win by losing.
その会社の強さは未来志向の戦略によって生みだされている。,The strength of the firm is attributed to its future-oriented strategy.
革命評議委員会は戦略の計画を立てるために集まった。,The revolutionary council met to plan strategy.
その会社の急速な成長はその独特な戦略によるものだった。,The rapid growth of the firm was attributed to its unique strategy.
我々の外交と戦略はあきらかに矛盾していた。,Our diplomacy and strategy ran in clear contradiction to each other.
今度の商売は、損して得取れ、という戦略でやろうよ。,In our next line of business let's make it our strategy to win by losing.
その会社の強さは未来志向の戦略によって生みだされている。,The strength of the firm is attributed to its future-oriented strategy.
革命評議委員会は戦略の計画を立てるために集まった。,The revolutionary council met to plan strategy.
彼はいつもよいプレーをする。,He always plays well.
彼はなんとうまくプレーしたことでしょう。,How well he played!
彼はテニスが上手にプレイできる。,He plays tennis very well.
トムはサッカーのプレイ中にケガをした。,Tom was injured playing soccer.
彼は今日の試合でプロとしてはまずいプレーをした。,"For a professional, he gave a poor account of himself in today's game."
満開をチョイ過ぎた感はありましたが、それでも、美しい桜を満喫してきました。,"They seem a little past their peak, but even so we enjoyed the beautiful cherry blossoms."
私はしばしば絶望感に襲われた。,I was often seized by despair.
動物に道徳感はない。,An animal has no moral sense.
彼女は感極まって泣いた。,She wept with emotion.
努力は良い結果を生み出す。,Effort produces fine results.
観光事業が多くの新しい仕事を生み出した。,Tourism generated many new jobs.
あなたはそのチームを誰が生み出したか知っていますか。,Do you know who brought that team into being?
観光が多くの新しい仕事を生み出した。,Tourism generated many new jobs.
この機械は我々が日常使う電気を生み出している。,This machine produces electricity for our daily use.
思ったことをズバズバ言うタイプ。,She's an outspoken person.
これをタイプしてくれませんか。,"Will you type this, please?"
どんなタイプのレストランだったか、わかりますか。,Can you guess what type of restaurant it was?
どんな人がタイプなの?。,What's your type?
私のタイプじゃない。,This is not my type.
私はカードゲームがしたい。,I want to play cards.
彼女は、あのベースが好き。,She likes that bass.
アコギなんか弾いて遊んでる暇があったらベースの練習しろ！。,"If you've got time to play around on an acoustic guitar, practice your bass!"
キューバリブレはラム酒をベースにしたカクテルです。,A Cuba Libre is a cocktail with a rum base.
私たちは多くの交渉ごとをしたがまったくむだになった。,We held many negotiations but to no purpose.
彼は服ごと水に飛び込んだ。,He jumped into the water clothes and all.
私たちには内緒ごとは何もない。,We have no secrets from each other.
アンインストール方法：フォルダごとごみ箱にぽいっ。,Uninstall method: Chuck the whole folder into the recycle bin.
このパズルは５００ピースあるんだ。,This puzzle has 500 pieces.
私はパズルをして時間を過ごすのが好きです。,I love to spend time trying to put together a puzzle.
このパズルは明日までに仕上がるでしょう。,This puzzle will be completed by tomorrow.
パズルのここの部分が仕上がらない。,I can't finish this part of the puzzle.
そのパズルを解くのに時間はかからなかった。,The solution of the puzzle required no time.
この夢は実現するだろう。,This dream will come true.
彼女は夢が実現したので嬉しかった。,She was happy because her dream came true.
その夢は実現した。,The dream has come true.
夢が実現できて良かったですね。,I'm very pleased that your dream came true.
あのアイデアは実現しそうですか。,Will that idea come off?
我々は他人との関係を構築し、維持していく。,We build and maintain relationships with others.
誤りから学ぶために誰も責めないシステムを構築する。,"In order to learn from mistakes, we construct a ""no blame"" system."
彼女はハート型のイヤリングをしていた。,She wore heart-shaped earrings.
私はこの型の家は好きではない。,I don't like this type of house.
この型のテレビならあまり場所をとらないでしょう。,A TV set of this size will take little space.
この新しい型は市場で手に入りますか。,Is this new model available on the market?
コンパクト型にはおしゃれなデザインが多いですね。,"There are many smart designs among the compact models, aren't there?"
教育は重要な要素である。,Education is a critical element.
新しい家を買う時の主な要素はお金です。,Money is the key factor when we decide to buy a new house.
努力は成功の基本要素である。,Hard work is an essential element of success.
やさしさは人の性格の中で重要な要素だ。,Tenderness is an important element in a person's character.
カーペットの値段は３つの要素で始まる。,The price of the carpet is determined by three factors.
彼のすばらしい作品は際だっている。,His excellent work stands out.
すべての有名な野球選手の中で、彼は天才として際立っている。,"Of all the famous baseball players, he stands out as a genius."
彼女のあたたかい人柄が美貌を一層際立たせている。,Her warm personality adds charm to her beauty.
その二つの考えの対照は非常に際立っている。,The contrast between the two ideas is very marked.
彼女は淑女の中でも際立った淑女である。,She is a lady among ladies.
自分の領域外にある。,It's outside my expertise.
君は危険な領域に踏み込んでいるよ。,You're stepping into dangerous territory.
かかわってくる問題は経済学の領域をはるかに越えている。,The questions involved go far beyond economics.
自然はあらゆる領域で侵されている。,Nature is under attack on all fronts.
民間機が軍事的領域を侵犯したとのことです。,A commercial airplane allegedly violated military airspace.
いつも考えていたわ、そして、結婚した方がいいという結論に達したの。,"I've been thinking about marriage a lot, and I think we should just do it."
私は君と同じ結論に達した。,I came to the same decision as you.
彼の声は私たちの耳まで達した。,His voice reached our ears.
彼を首にすべきだと言う結論に達した。,We came to the conclusion that he should be fired.
あなたはどのようにしてこの結論に達したのですか。,What led you to this conclusion?
彼女はきれいなだけでなく頭もよい。,She is not only beautiful but also intelligent.
ジルはかわいいだけでなく頭もよい。,Jill is smart as well as pretty.
彼はバイクだけでなく車も持っている。,He's got not only a motorbike but also a car.
この本はおもしろいだけでなく、ためにもなる。,This book is not only interesting but also instructive.
スポーツだけでなく、音楽も好きだ。,"It's not only sports I like, I like music, too."
ここ品物は高いけど、その分アフターサービスが充実してるから。,Prices are high here but that's because the after-sale service is really good.
彼はその公式を知らなかったのかもしれない。,He may not have known the formula.
この報道は公式のものだ。,This news is official.
アメリカ大統領が中国を公式に訪問した。,The President of the U.S. paid a formal visit to China.
首相は公式にホワイトハウスを訪問した。,The prime minister paid a formal visit to the White House.
彼は必要な数学の公式を完全にマスターしていた。,He had complete mastery over the necessary mathematics formula.
私は日本語を学びたい。,I want to learn Japanese.
メアリーは日本語をゆっくりと話しました。,Mary spoke Japanese slowly.
日本語を話すことができます。,I can speak Japanese.
私は日本語の先生です。,I'm a Japanese language teacher.
私は日本語を勉強しなければなりません。,I have to study Japanese.
本当にこれ対応できるの？。,Are you sure you can handle this?
トムはこの問題にどう対応すれば良いのか全く分からない。,Tom has no idea how to deal with this problem.
ちなみにホイールマウスのホイールにも対応しているんだ。,"By the way, it also works with the wheel of a wheel mouse."
デパートでとても感じのいい若い女性が対応してくれた。,A very pleasant young woman waited on me in the department store.
その日本語に対応する英語はない。,That Japanese word has no equivalent in English.
実際にファースーツは持ってないよ。,I don't actually own a fursuit.
それは実際にあった事だ。,That is an actual fact.
これは実際に可能なんですか？。,Is this really possible?
僕は実際にこれを使う。,I actually use this.
トムは今実際に何が起きているのか知らないでいる。,Tom doesn't know what's really going on.
私達が遊ぶのに充分な場所がある。,There is enough room for us to play.
子供が遊んでいるのを見るのが好きです。,I enjoy watching children play.
マリーはトムと遊びに行った。,Mary went to play with Tom.
トニー君は遊んでいます。,Tony is playing.
一緒に遊ばない？。,Would you play with me?
彼はその仕事にぴったりだ。,He is just right for the job.
彼女のスカートはぴったり合っている。,Her skirt fits closely.
このドレスは私にぴったりです。,This dress fits me very well.
このジャケットはぴったり合う。,This jacket sets well.
その言葉がそれを説明するにはぴったりだね。,That word describes it perfectly.
頂上を雲で覆われた山。,A mountain whose peak is covered with clouds.
頂を雪に覆われた山。,A mountain whose peak is covered with snow.
地面を厚く覆っている落ち葉。,Fallen leaves thickly covering the ground.
氷で覆われた路面。,The road surface covered with ice.
空は一面厚い雲に覆われていた。,The sky was covered with thick clouds.
太陽は厚い雲に覆われていた。,The sun was covered with thick clouds.
あの部屋の窓はいつも厚いカーテンで覆われている。,The windows in that room are always covered with thick curtains.
選挙の結果は大方の予想を覆した。,The result of the election defied most people's expectations.
進化論は聖書の世界観を覆した。,The theory of evolution overturned the biblical worldview.
その決定は早々に覆された。,The decision was quickly overturned.
君の夢を実現させるにはそれだけの強い意志が必要だ。,You'll need a strong will to make your dreams come true.
君の夢を実現するために強い意志が必要だ。,You need a strong will to make your dreams come true.
同志を募ってクラブを結成する。,Recruit like-minded people to form a club.
父は私の大学進学志望に賛成した。,My father agreed with my desire to go to college.
駅の前を通る。,Go past the front of the station.
大通りを通る。,Go along a main road.
運河を通る。,Going through the canal.
この道は商店街を通って駅に出る。,This road goes to the station by way of the shopping district.
試験に通る。,Pass the examination.
検査に通る。,Pass the inspection.
どの道を通って行きますか。,Which way shall we go?.
入り口が狭くて大人は通れない。,The entrance is too small for an adult to get through.
煙突を通って煙が出ている。,Smoke is rising from the chimney.
青森から北海道までトンネルが通っている。,A tunnel joins Aomori and Hokkaidō.
空港までモノレールが通っている。,A monorail runs to the airport.
バスはあの道を通っている。,Buses run along that road.
ご注文の料理はもう通っております。,Your order has already gone through to the kitchen.
案内されて居間に通った。,He led me through the living room.
肉に火が通る。,Meat is cooked through.
駅から団地までバスが通る。,Buses run from the station to the apartment complex.
駅から団地までバスを通る。,Take the bus from the station to the apartment complex.
駅から団地までバスを通す。,Run a bus from the station to the apartment complex.
針に糸を通す。,Thread the needle.
管に水を通す。,Passing water through a pipe.
上着に袖を通す。,Slip one's arms into the sleeves of jacket.
紫外線を通すガラス。,Glass that allows ultraviolet light to pass through.
道をあけて通してください。,Please clear the way and let me through.
レンズを通して町を眺める。,View the town through a camera lens.
この目を通して見た現実。,Reality as seen with one's own eyes.
紹介者を通して発注する。,Place an order through an intermediary.
通訳を通して会談する。,Hold discussions through an interpreter.
通信社を通した報道。,Information received through an agency.
政治を通して考える。,Thinking through politics.
青森まで新幹線を通す。,Extend the Shinkansen to Aomori.
あなたにまた会えたのでとてもうれしかったです。,It was very nice seeing you again.
ケモナーのイベントでトムに会った。,I met Tom at a furry convention.
あなたにまた会えてうれしかったです。,It was very nice seeing you again.
ボストンで会った。,We met in Boston.
また会いましょう。,See you again.
本当にこの場所で合ってるの？。,Are you sure this is the right place?
自分のレベルに合ったテキストでやるのが大切だろう。,It's important to do it with a textbook adapted to your level.
この訳合ってますか？。,Is this translation correct?
このスーツに合うネクタイを選んでください。,Please choose me a tie for this suit.
このブローチはあなたのセーターによく合う。,This brooch goes well with your sweater.
言いたくないな。,I'd prefer not to say.
トムには言わないでね。,Don't tell Tom.
思ったことをズバズバ言うタイプ。,She's an outspoken person.
トムにデブって言われた。,Tom called me fat.
言わせて下さい。,Let me say.
私は仕事に追われています。,I am up to my neck in work.
心の痛みを感じたおまえを追うのが怖かった。,"I felt my heartaches, I was afraid of following you."
彼は何を追っているのですか。,What is he running after?
エイズ調査の分野におけるすべての変化を追い続けることはできない。,I can't keep track of all the changes taking place in the world of AIDS research.
今日は時間に追われていてね。,I've been pressed for time today!
この決定はあなたの提案に負うところ大であった。,Your suggestion weighed heavily in this decision.
せっかく骨を負ったのに、彼は失敗した。,He has failed after all his labors.
彼は頭に傷を負った。,He was wounded in the head.
彼は私に事故の責任を負わせた。,He blamed the accident on me.
息子の失敗は私が責任を負います。,I am to blame for my son's failure.
ボーイフレンドに何を買ってあげましたか。,What did you buy for your boyfriend?
トムはハイブリッドカーを買った。,Tom bought a hybrid car.
私はそれをデパートで買った。,I bought it at a department store.
それ買うよ。,I'll buy it.
サンダルを買った。,I bought a pair of sandals.
彼女は小さな黒い犬を飼っている。,She has a small black dog.
何かペットとか飼ってたりするの？。,Do you have any pets?
私は猫を飼っていない。,I don't have a cat.
苦労しても犬の訓練方法を身につけたいという気持ちがなければ、犬を飼ってはいけない。,"If you're not prepared to take the trouble to learn how to train a dog, don't get one."
彼は犬を飼っている。,He has a dog.
彼はわたしに赦しを請うた。,He asked my pardon.
どうして謝って彼の許しを請わないんだ。,Why not apologize and ask for his pardon?
犯人は裁判官に慈悲を請うた。,The criminal begged the judge for mercy.
恩恵を請うのは私の威厳に関わる。,It is beneath my dignity to ask a favor.
彼女は涙を頬に伝わせながら情けを請うた。,She implored mercy with tears running down her cheeks.
タバコ吸ったことある？。,Have you ever smoked?
以前はタバコを吸っていましたね。,"You used to smoke, didn't you?"
父は酒も飲まなければ煙草も吸わない。,My father neither drinks nor smokes.
彼は煙草を吸わない。,He does not smoke.
タバコは吸いません。,I don't smoke.
私は垣根に沿った小道を歩いた。,I walked along a lane bordered with hedgerows.
ご期待に添いかねます。,"I'm sorry, but we cannot meet your requirements."
その試験の結果は我々の期待に添わなかった。,The result of the examination fell short of our expectations.
実験の結果は我々の期待に添わなかった。,The results of the experiment were not as we had hoped.
君の仕事は私たちの期待に添わなかった。,Your work didn't come up to our expectations.
彼の演技は期待に添わなかった。,His performance fell short of expectations.
彼にもう一杯いかがかと問う。,I'll ask him whether he wants another drink.
人間は狂っていれば行動の責任は問われない。,A madman is not accountable for his actions.
知らずば人に問え。,"If you don't know, ask."
あなたの人種、年齢、宗教は問いません。,I don't care about your race or age or religion.
警察は彼を、隣国に情報を流したという罪に問った。,The police charged him with leaking information to a neighboring country.
彼は私にドレスを縫ってくれた。,He sewed a dress for me.
船は島の間を縫うように進んだ。,The ship wound in and out among the islands.
これ手で縫ったの？。,Did you sew this by hand?
彼女の母親は彼女のためにスカートを縫った。,Her mother sewed a skirt for her.
母は縫う手を止めて、本を拾った。,My mother stopped her sewing and picked up her book.
赤ちゃんは部屋に這ってきた。,The baby crept into the room.
彼らの赤ちゃんはちょうど這い始めたところです。,Their baby has just started to crawl.
我々は山道をまるでアリが這うように進んだ。,We crawled like so many ants along the mountain pass.
そのミミズが這ったような字、読み難いんだけど。,"That's a squiggle, not legible handwriting."
ほふく前進はもっと素早くゴキブリのように這え！。,Crawl forward is done much more agilely - scuttle like a cockroach!
風でほこりが舞っていた。,Dust was blowing in the wind.
木の葉が庭でくるくる舞っていた。,The leaves whirled in the yard.
秋風に舞う木の葉のようだ。,Like a leaf in the autumn breeze.
かなり酔ってたんだよ。,I was rather drunk.
トムが車に酔うことってあるの？。,Does Tom ever get carsick?
トムは少し酔っていた。,Tom was a little drunk.
酔った。,I'm dizzy.
酔ったらキス魔になる女の子ってどう思う？。,What do you think of girls who become kissaholics when drunk?
ドアが開いた。,The door opened.
バッグが開いてるよ。,Your bag's open.
俺はアームチェアーに戻って本を開いた。,I sat back in the armchair and opened the book.
本を開くな。,Do not open your book.
こころを開いて話すことができましたか？。,Were you able to open up and talk?
パーティーに行かない。,I'm not going to go to the party.
コンサートに行ってたの？。,Were you at the concert?
ピクニックに行かない？。,How about going on a picnic?
私は東京大学に行っています。,I go to Tokyo University.
トムのパーティーに行くの？。,Are you going to Tom's party?
石は浮かない。,A stone does not float.
オェッ、スープの中に髪の毛が浮いてるよ。,"Yuck, there's a hair floating in the soup."
私たちは、油が水に浮くことを習った。,We learned that oil floats on water.
木が浮く。,Wood floats.
トムは本を置いた。,Tom put the book down.
ウェイトレスはジュースを私の前に置いた。,The waitress set a glass of juice in front of me.
好きなとこへ置けよ。,Put it where you like.
もうテレビを置く場所がない。,There is no more room for a TV set.
ウェイトレスはジュースのグラスを私の前に置いた。,The waitress set a glass of juice in front of me.
書いてくださいますか。,"Could you write it down, please?"
これ、トムが書いたんだと思う？。,Do you think Tom wrote this?
ペンで書いて下さい。,Please write with a pen.
今のを、書いていただけませんでしょうか?。,"Could you write that down, please?"
ペンとインキで書きなさい。,Write with pen and ink.
何描いてるの？。,What are you drawing?
円を描いてくれ。,Draw a circle.
モナリザはレオナルド・ダヴィンチによって描かれた。,The Mona Lisa was painted by Leonardo da Vinci.
私はコンパスで円を描いた。,I drew a circle with compasses.
これ自分で描いたの？。,Did you draw this yourself?
あなたが私の背中をかいてくれれば、私もあなたの背中をかきます。,You scratch my back and I'll scratch yours.
誰がこの美しい絵をかいたのですか。,Who painted this beautiful picture?
ここにあなたの名前をかいてくれませんか。,Would you please write your name here?
夏は汗をいっぱいかくので沢山水を飲まなくてはなりません。,In summer it is essential to drink lots of water when we sweat.
真子がこの手紙をかいたはずはない。,Mako cannot have written this letter.
彼はピストルの扱いに注意を欠いた。,He was careless in handling his pistol.
コップを欠いてしまった。,I've chipped off a piece of the glass.
君は行動に慎重さを欠いていた。,You were careless in your action.
彼は人間としての感情を欠いていた。,He was devoid of human feeling.
この建物は調和を欠いている。,The structure is deficient in harmony.
彼は納豆の匂いを嗅ぐと気分が悪くなる。,The smell of fermented soybeans sickens him.
その犬は地面をくんくん嗅いだ。,The dog sniffed the ground.
僕は匂いを嗅いだ。,I sniffed the smell.
私は私の鼻で臭いを嗅ぐ。,I smell with my nose.
犬は棒の匂いを嗅いでいた。,The dog was sniffing a stick.
ニュースをお聞きになったでしょう。,"You will have heard the news, I think?"
私はラジオを聞いています。,I am listening to the radio.
トムはラジオを聞いている。,Tom is listening to the radio.
トム、聞いて！。,"Tom, listen to me!"
聞いてよ。,You know what?
この薬は効くと思いますよ。,I think this medicine will do you good.
薬は全く効かなかった。,The medicine didn't help at all.
この部屋はエアコンが効いている。,This room is air-conditioned.
この薬はあなたの病気に効くでしょう。,This medicine will do you good.
この薬は大変よく効く。,This medicine will do you a good deal of good.
彼らは川を舟をこいで上った。,They rowed up the river.
ひでおは自転車をこいでいた人を避けるためにハンドルをきった。,Hideo turned the steering wheel sharply to avoid the bicyclist.
ボートをこぎに湖に出かけた。,We went to the lake to row a boat.
ボートをこいでいる少年は私の友人です。,The boy rowing the boat is a friend of mine.
交替でボートをこごう。,Let's take turns rowing the boat.
ワシントンでは今桜が咲いている。,Cherry trees are now in bloom in Washington.
春が来ると、木の花が咲きます。,"When spring comes, the flowers on trees will bloom."
ある花は春に咲き、またある花は秋に咲く。,Some flowers bloom in the spring and other flowers bloom in the fall.
光が刺激となって花が咲く。,Light is the stimulus that causes a flower to open.
桜が咲いてるよ。,The cherry trees are in bloom.
彼は本をばらばらに裂いてしまった。,He tore the book apart.
彼はその新聞を半分に裂いた。,He tore the newspaper in half.
なぜはさみで布を切らずに裂いたの。,Why did you tear the cloth instead of cutting it with scissors?
彼はその紙を二つに裂いた。,He tore the paper in two.
その少女はその布を裂いた。,The girl tore the cloth.
母はベッドに綺麗なシーツを敷いた。,My mother put clean sheets on the bed.
彼女はベッドにきれいなシーツを敷いた。,She put clean sheets on the bed.
机のしたにカーペットを敷いた。,I put down a rug under my desk.
床にカーペットを敷いた。,They laid the carpet on the floor.
カーペットを敷き変えさせたら、トムのマンションはすごくいい感じになった。,Tom's apartment looks great after he had it re-carpeted.
これがお米の炊き方です。,This is how to cook rice.
まだ玄米を炊いてる途中です。,The brown rice is still cooking.
お米2合炊いといて。,Cook about one and a half cup of rice.
炊飯器でご飯を炊くよ。,We cook rice in a rice cooker.
とろ火で時間をかけて豆を炊いてください。,Please simmer the beans for a while over a low heat.
寒かったので、私たちは火を焚きました。,"It was cold, so we lit a fire."
風呂を焚く。,Make a bath.
焚くものが何もない。,Have nothing to make a fire with.
火を焚いてあたる。,Make a fire and warm oneself.
パンはオーブンで焼いて作られる。,Bread is baked in an oven.
パンを焼くためのオーブンはキッチンにある。,There is an oven to bake bread in the kitchen.
「誰がケーキを焼くの？」 「アレサンドラが焼くんだよ。」。,"""Who bakes the cakes?"" ""Alessandra bakes them."""
彼女はケーキを３個焼いた。,She baked three cakes.
母は私達によくアップルパイを焼いてくれる。,My mother often bakes apple pies for us.
明日の午後７時に羽田に着きます。,I'll arrive at Haneda Airport tomorrow evening at 7.
いつ中国に着いたの？。,When did you arrive in China?
彼らは遅れることなくそこに着くことができた。,They could reach there without delay.
３０分で着いたよ。,It took half an hour.
私達は待っていたが、彼は着かなかった。,We waited but he failed to arrive.
今日、メアリーはハイヒールを履いている。,Mary is wearing high heels today.
雨が降ったり雪が降ったりすると、私はいつもブーツを履きます。,I always wear boots when it rains or snows.
普段は、ジーンズを履いてるね。,I usually wear jeans.
メアリーはハイヒールを履いていた。,Mary was wearing high heels.
彼女はロングブーツを履いている。,She was wearing long boots.
キャシーがパーティーで何を着ていたか覚えていますか。,Do you remember what Cathy was wearing at the party?
かわいい人は何を着てもかわいい。,A cute person will look cute no matter what they wear.
エイミーは何か新しく着るものを欲しがっています。,Amy wants something new to wear.
彼女はシルクのドレスを着ていた。,She was in a silk dress.
会社にパンタロンとアロハシャツを着てくる彼は、かなりユニークな存在だ。,He's a pretty unique guy wearing bell bottoms and Hawaiian shirts to the office.
