Script,s2,s3,s4,s5,s6,s7,s8,s9,s10
二台のバンが激突してめり込んだ。,彼は健康状態を取り戻した。,私の邪魔をしないでくれ。,このスープはいい味だ。,中にいなさい。,彼女は感極まって泣いた。,進化論は聖書の世界観を覆した。,そのミミズが這ったような字、読み難いんだけど。,彼らは遅れることなくそこに着くことができた。,僕らはトム抜きで出発する。
政府は無法者たちの激突に対して大胆に対処した。,私は６０ページ読んだが、一方彼は１０ページしか読んでいない。,彼は他人の機嫌を損ねないように気をつけている。,味はいかがですか。,トムはトランクの中を見た。,努力は良い結果を生み出す。,その決定は早々に覆された。,ほふく前進はもっと素早くゴキブリのように這え！。,３０分で着いたよ。,私抜きでそのチーズケーキ食べるつもり？。
失敗のさいの危険を考慮しながら、彼は相手との対決を要求した。,もう一方は駄目です。,上司、今日は機嫌いいかな？。,スペシャルというのはどんな味ですか。,この本は初心者でも理解できるようなやさしい英語で書かれている。,観光事業が多くの新しい仕事を生み出した。,君の夢を実現させるにはそれだけの強い意志が必要だ。,風でほこりが舞っていた。,私達は待っていたが、彼は着かなかった。,朝食抜きで働くのは苦痛であった。
経営側と労働者側との対決があるでしょう。,一方は赤で、また一方は白である。,ジョンは朝から機嫌が悪かった。,いろいろな味の糖菓を送ってくれた。,あなたは初心者としてはテニスがうまい。,あなたはそのチームを誰が生み出したか知っていますか。,君の夢を実現するために強い意志が必要だ。,木の葉が庭でくるくる舞っていた。,今日、メアリーはハイヒールを履いている。,初デートで彼と寝るのは良くない。
相反する理想を抱いた二つの強力な勢力が対決するのは、最終手段の時である。,コインの一方は「表」で、もう一方は「裏」と呼ばれる。,今日のボスの機嫌はいいかな？。,そのスープの味は好きですか？。,初心者でも参加できますか？。,観光が多くの新しい仕事を生み出した。,同志を募ってクラブを結成する。,秋風に舞う木の葉のようだ。,雨が降ったり雪が降ったりすると、私はいつもブーツを履きます。,初キスのことは絶対に忘れない。
首相が政敵の挑戦と真っ向から対決しました。,人口が益々増える一方です。,トム、とっても機嫌がよかったよ。,実際にファースーツは持ってないよ。,何てこった、初心者にやられた！。,この機械は我々が日常使う電気を生み出している。,父は私の大学進学志望に賛成した。,かなり酔ってたんだよ。,普段は、ジーンズを履いてるね。,それが初キスだったんだ。
追われた敗残兵は、どうやら対決のときがきたと、腹をきめた。,トムとジムは身長が同じだ。,彼の悪口はやめろよ。,それは実際にあった事だ。,初心者向けのコースがありますか。,思ったことをズバズバ言うタイプ。,駅の前を通る。,トムが車に酔うことってあるの？。,メアリーはハイヒールを履いていた。,ブラジルは1958年にワールドカップ初勝利を果たした。
オリンピックは4年に1度開催される。,私は彼と同じ身長です。,ジムのいないところで悪口を言ってはいけない。,これは実際に可能なんですか？。,コーラはみんな飲んでしまったの。,これをタイプしてくれませんか。,大通りを通る。,トムは少し酔っていた。,彼女はロングブーツを履いている。,７時発の電車に乗り遅れた。
こちらが先日のコンサートが開催された場所です。,身長何センチ？。,彼は他人の悪口は決して言わないことにしている。,僕は実際にこれを使う。,ビールはあまりたくさん飲みません。,どんなタイプのレストランだったか、わかりますか。,運河を通る。,酔った。,キャシーがパーティーで何を着ていたか覚えていますか。,次の電車は何時発ですか。
私としてはいつパーティーが開催されてもかまわない。,ジムはビルとほとんど身長が同じです。,トムはいつもメアリーの悪口を言ってるんだ。,トムは今実際に何が起きているのか知らないでいる。,ビール飲んでるんだ。,どんな人がタイプなの?。,この道は商店街を通って駅に出る。,酔ったらキス魔になる女の子ってどう思う？。,かわいい人は何を着てもかわいい。,９時３０分発の便に乗りたいです。
そのコンサートは来年の夏に開催される。,私はあなたと同じ身長です。,彼は、とても優しく、他人の悪口を言いません。,ボーイフレンドに何を買ってあげましたか。,何を飲みますか。,私のタイプじゃない。,試験に通る。,ドアが開いた。,エイミーは何か新しく着るものを欲しがっています。,電車は何時発ですか。
弊社20周年の記念パーティーを開催しました。,彼女はいつも低い声で話す。,あらゆるものは自然の法則を受けている。,トムはハイブリッドカーを買った。,ビール飲むんだよね？。,私はカードゲームがしたい。,検査に通る。,バッグが開いてるよ。,彼女はシルクのドレスを着ていた。,パリ発１０１便は予定より１時間前に到着した。
当時彼は４０歳になるところだった。,その男は低い声で話した。,あらゆる物は自然の法則に従う。,私はそれをデパートで買った。,彼女はあの銘柄が一番だと思っている。,彼女は、あのベースが好き。,どの道を通って行きますか。,俺はアームチェアーに戻って本を開いた。,会社にパンタロンとアロハシャツを着てくる彼は、かなりユニークな存在だ。,私はあなたの１０倍の本を持っている。
当時、私はカナダにいた。,ラジオの音を低くして下さい。,全ての自然の法則が正しいわけではない。,それ買うよ。,「味がマイルドだな、この銘柄は」と父が言った。,アコギなんか弾いて遊んでる暇があったらベースの練習しろ！。,入り口が狭くて大人は通れない。,本を開くな。,メアリーはよく気の付く人だ。,4の5倍は20である。
私は当時、それを知らなかったが、今は知っている。,トムは声が低い。,その法則はこの場合当てはまらない。,サンダルを買った。,１０００銘柄以上の株が取引所に上場されている。,キューバリブレはラム酒をベースにしたカクテルです。,煙突を通って煙が出ている。,こころを開いて話すことができましたか？。,手にペンキが付いた。,私はあなたの四倍ＣＤを持っている。
彼女の名前は当時アグネスだった。,水は低きに流れる。,今晩のおかずは魚だ。,パンを食べません。,すいませんが、その銘柄の煙草は売り切れです。,私たちは多くの交渉ごとをしたがまったくむだになった。,青森から北海道までトンネルが通っている。,パーティーに行かない。,付いて行ってもいいですか。,８は２の４倍です。
当時彼はアメリカにいた。,彼女は一生涯勉強を続けた。,今晩のおかずはもう決めてあります。,サラダを食べますか。,ホワイトさんにご紹介させて下さい。,彼は服ごと水に飛び込んだ。,空港までモノレールが通っている。,コンサートに行ってたの？。,テレビが付きません。,彼は私の倍食べた。
そのチームは準決勝に勝って決勝に進出した。,彼は一生涯貧乏だった。,五時前にお出かけのときは、ちょっと知らせてください。,ポップコーンが食べたくなってきた。,山田さん、ミス・ロイドを紹介します。,私たちには内緒ごとは何もない。,バスはあの道を通っている。,ピクニックに行かない？。,トムは気が付いた。,子供のやったことに親は責任を持たなければならない
で彼の成功への夢は打ち砕かれてしまった。,私は一生涯彼の大ファンでした。,旅行にお出かけですか。,それを食べたくありません。,トムは私をメアリーに紹介した。,アンインストール方法：フォルダごとごみ箱にぽいっ。,ご注文の料理はもう通っております。,私は東京大学に行っています。,トムはベーグルにクリームチーズを付けて食べました。,新作の脚本を舞台に乗せる。
その知らせは私たちの希望を打ち砕いた。,ここ数年にわたって彼らの製品の質は落ちてきた。,いつお出かけになりますか。,このパン食べてもいい？。,ブラウンさんを紹介しましょう。,このパズルは５００ピースあるんだ。,案内されて居間に通った。,トムのパーティーに行くの？。,テレビを付けて下さい。,この料理の味の秘密。
トムが菜食主義者とは知らなかったんだ。,私の日記は２５年にわたっている。,散歩にお出かけになりませんか。,私は沖縄のあたりの暖かい海が好きだ。,紹介させていただきます。,私はパズルをして時間を過ごすのが好きです。,肉に火が通る。,石は浮かない。,スーツケースにこのタグを付けてね。,ロサンジェルス経由の飛行機で南米へ行く。
