Expression,Expn,Trans,Convo1,Convo2,Convo3,Convo4,Convo5,Convo6,Convo7,Convo8,Convo9
旅行会社で,ryokougaisha de,At a travel agency,このツアーについて詳しく聞きたいんですが。,ご出発日はいつでしょうか。,9具の占馬を祈しています。,座席指定はできますか。,海の見える部屋がいいんですが。,自由時間はどれくらいありますか。,キャンセル料はいつからかかりますか。,.,.
美容院で,biyouin de,At a hair salon,5時に予約していたミラーです。,カットをお願いします。,全体的に2センチくらい切ってもらえますか。,こんな感じにしてもらえますか。,前髪はどうしますか。眉毛が隠れるくらいにしてください。,もう少し切ってもらえますか。,あとはお任せします。,.,.
アルバイトの面接,arubaito no mensetsu,Part time job interview,インターネットの募集広告を見て、お電話しました。,まだ募集をされていますか。,では、明日3時にお伺いします。よろしくお願いいたします。,本日з時に面接のお約束をいただいておりますスミスと申します。,スミスと申します。本日はよろしくお願いします。,こういう仕事は経験ありますか。いえ、関連した仕事は多少経験があります。,ー度日本の会社で働いてみたいと思っていました。,今日はお時間をさいていただき、ありがとうございました。,.
スポーツ,supoutsu,Sport,どちらのチームが勝っていますか。,6対1でタイガースがドラゴンズに勝ちました。,ほぼ毎日ジムに行きます。,テレビで相撲を見ますか。,学校で何かスポーツをしましたか。,あなたの国で一番人気があるスポーツは何ですか。,私はテニスをします。,.,.
映画,eiga,Movies,好きな映画はなんですか。,土曜日に映画を見に行きますか。,映画は3Dで見るのが好きです。,硫黄島からの手紙を見たことがありますか。,どんな映画が好きですか。,ハリーポッターの映画や本は日本で人気ですか。,今週末に見るDVDはどこで借りられますか。,.,.
豕族,kazoku,Family,私たちは双子です。,あなたの家族はクリスマスを祝いますか。,お兄さんの仕事は何ですか。,妹は大学を卒業したばかりです。,ご家族がいなくて、寂しいですか。,来月は両親の結婚50年記念です。,祖母は今、具合がよくありません。,.,.
健康,kenkou,Health,私はシーフードアレルギーがあります。,私は血圧が低いです。,インフルエンザの予防接種はいっすればいいですか。,この辺にいい医者はいますか。薬がなくなりそうです。,歯が痛いです。いい歯医者を知りませんか。,日本語でアンティバイオティックスはなんですか。抗生物質です。,漢方薬は保険でカバーされていますか。,.,.
趣味,shumi,Hobbies,趣味は何ですか。,暇な時に(いつも)倒をしますか。,ミステリーを読むのが大好きです。,旅行がとても好きです。,私はレッドソックスのファンで、試合全部見に行きます。,私の国の家族や友人にスカイプします。,ブラッド・ピットの新しい映画を見ました。,.,.
週末,shumatsu,Weekend,週末はどうでしたか。,週末に何かおもしろいことをしましたか。,天気が良かったので山にハイキングに行きました。,紅葉がとてもきれいでした。,スキーは楽しかったです。雪は柔らかい粉雪でした。,かぜをひいたので、家にいました。,友達が家に来たので、二人でDVDを見ました。,.,.
天気,tenki,Weather,今日は晴れです。,いいお天気ですね。,暑いですね。,寒いですね。,むし暑いですね。,あしたは雨でしょう。,かさを忘れないでください。,.,.
日本,Nihon,Japan,あなたの好きな和食は何ですか。,銭湯か温泉に行ったことはありますか。,相撲を見に行きませんか。,近所の人とよく話しますか。,漢字を正しい書き順で書くのは大事ですか。,なぜ、ゴールデンウィークと呼ばれるのですか。,"日本人は、なぜ""かわいい""ものが好きなんですか。",.,.
本,hon,Books,どんな本を読みますか。,私はSFを読むのが好きです。,あなたの好きな著者はだれですか。,スティーヴン・キングの新しい小説は読みましたか。,今読んでいる本はなんですか。,作品が英語で読める日本人のいい作家はいませんか。,日本語を学ぶのにいい本はありませんか。,.,.
旅行,ryokou,Travel,夏休み、一緒に旅行しましょうか。,喜んで。どこへ行きますか。,和室と洋室、どっちに泊まりたいですか。,料金には食事代も入っていますか。,新しい場所を歩いて見て回るのが好きです。,郷土料理を味わうのは楽しいです。,名古屋に泊めてくれる友人がいるから、名古屋に行きましよう。,.,.
