Words,Reading,Meaning,Type,S1,S2,S3,W1,W2,W3
探る,さぐる,"to search, to look for, to sound out ",,,,,,,
殴る,なぐる,"to strike, to hit",,,,,,,
巡る,めぐる,to go around,,,,,,,
潜る,もぐる,"to drive, to pass through, to evade, to hide, to dive (into or under water), to go underground",,,,,,,
茂る,しげる,"to grow thick, to luxuriate, to be luxurious",,,,,,,
怒る,おこる,"to get angry, to be angry ",,,,,,,
残る,のこる,to remain,,,,,,,
誇る,ほこる,"to boast of, to be proud of",,,,,,,
傲る,おごる,to be proud,,,,,,,
凝る,こごる,"to congeal, to freeze",,,,,,,
濁る,にごる,"to become muddy, to get impure ",,,,,,,
腐る,くさる,"to rot, to go bad",,,,,,,
勝る,まさる,"to excel, to surpass, to outrival ",,,,,,,
飾る,かざる,to decorate,,,,,,,
走る,はしる,to run,,,,,,,
毟る,むしる,"to pluck, to pick, to tear ",,,,,,,
弄る,いじる,"to touch, to tamper with",,,,,,,
噛る,かじる,"to chew, to bite (at), to gnaw, to nibble, to munch, to crunch",,,,,,,
詰る,なじる,"to rebuke, to scold, to tell off",,,,,,,
捩る,ねじる,to twist,,,,,,,
擦る,かする,"to touch lightly, to take a percentage (from)",,,,,,,
擦る,こする,"to rub, to chafe, to file, to frost (glass), to strike (match)",,,,,,,
削る,けずる,"to cut down little by little, to take percentage",,,,,,,
譲る,ゆずる,"to turn over, to assign, to hand over",,,,,,,
焦る,あせる,"to be in a hurry, to be impatient",,,,,,,
至る,いたる,"to come, to arrive",,,,,,,
語る,かたる,"to talk, to tell, to recite",,,,,,,
来る,きたる,"to come, to arrive, to due to, to be next, to be forthcoming",,,,,,,
渡る,わたる,to go across,,,,,,,
下る,くだる,"to get down, to descend",,,,,,,
移る,うつる,to move house or transfer,,,,,,,
写る,うつる,"to be photographed, to be projected",,,,,,,
映る,うつる,"to be reflected, to harmonise with, to come out (photo)",,,,,,,
祭る,まつる,"to deify, to enshrine",,,,,,,
劣る,おとる,"to fall behind, to be inferior to",,,,,,,
悟る,さとる,"to attain enlightenment, to perceive, to understand, to discern",,,,,,,
太る,ふとる,to become fat,,,,,,,
踊る,おどる,to dance,,,,,,,
辿る,たどる,"to follow (road), to pursue (course), to follow up",,,,,,,
戻る,もどる,to turn back,,,,,,,
唸る,うなる,"to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough ",,,,,,,
抓る,つねる,to pinch,,,,,,,
捻る,ひねる,"to turn (a switch) on or off, to twist, to puzzle over",,,,,,,
祈る,いのる,to pray,,,,,,,
募る,つのる,"to invite, to solicit help participation etc ",,,,,,,
実る,みのる,"to bear fruit, to ripen",,,,,,,
配る,くばる,"to distribute, to deliver",,,,,,,
縛る,しばる,"to tie, to bind",,,,,,,
粘る,ねばる,"to be sticky, to be adhesive, to persevere, to persist, to stick to ",,,,,,,
炙る,あぶる,to scorch,,,,,,,
被る,かぶる,"to put on , wear, cover (one’s) head",,,,,,,
瞑る,つぶる,to close the eyes,,,,,,,
破る,やぶる,"o tear, to violate, to defeat, to smash, to destroy",,,,,,,
滑る,すべる,"to slide, to slip",,,,,,,
絞る,しぼる,"to press, to wring, to squeeze ",,,,,,,
登る,のぼる,to climb,,,,,,,
昇る,のぼる,"to arise, to ascend, to go up",,,,,,,
上る,のぼる,"to ascend, to go up, to climb",,,,,,,
余る,あまる,"to remain, to be left over, to be in excess, to be too many",,,,,,,
困る,こまる,to be worried,,,,,,,
迫る,せまる,"to draw near, to press",,,,,,,
黙る,だまる,to be silent,,,,,,,
鈍る,なまる,"to become less capable, to grow dull, to become blunt, to weaken",,,,,,,
煙る,けむる,to smoke (e.g. fire),,,,,,,
眠る,ねむる,to sleep,,,,,,,
湿る,しめる,"to be wet, to become wet, to be dump",,,,,,,
篭る,こもる,"to seclude oneself, to be confined in, to be implied, to be stuffy",,,,,,,
守る,まもる,"to protect, to obey, to guard, to abide (by the rules)",,,,,,,
曇る,くもる,"to become cloudy, to become dim",,,,,,,
頼る,たよる,"to rely on, to have recourse to, to depend on ",,,,,,,
触る,さわる,to touch,,,,,,,
障る,さわる,"to hinder, to interfere with, to affect, to do one harm, to be harmful to",,,,,,,
座る,すわる,to sit,,,,,,,
回る,まわる,to go around,,,,,,,
弱る,よわる,"to weaken, to be troubled, to be downcast, to be emaciated, to be dejected, to be perplexed, to impair",,,,,,,
すれ違う,すれちがう,"to pass by one another, to disagree, to miss each other",,,,,,,
あざ笑う,あざわらう,"to sneer at, to ridicule ",,,,,,,
潤う,うるおう,"to be moist, to be damp, to get wet, to profit by, to be watered, to receive benefits, to favor, to charm ",,,,,,,
戦う,たたかう,"to fight, to battle, to combat",,,,,,,
扱う,あつかう,"to handle, to deal with, to treat",,,,,,,
疑う,うたがう,"to doubt, to distrust, to be suspicious of, to suspect ",,,,,,,
従う,したがう,"o abide (by the rules), to obey, to follow, to accompany",,,,,,,
争う,あらそう,"to dispute, to argue, to be at variance, to compete",,,,,,,
賄う,まかなう,"to give board to, to provide meals, to pay",,,,,,,
補う,おぎなう,to compensate for,,,,,,,
行う,おこなう,to do,,,,,,,
失う,うしなう,"to lose, to part with",,,,,,,
養う,やしなう,"to rear, to maintain, to cultivate",,,,,,,
伴う,ともなう,"to accompany, to bring with, to be accompanied by, to be involved in",,,,,,,
占う,うらなう,"to forecast, to predict",,,,,,,
整う,ととのう,"to be prepared, to be in order, to be put in order, to be arranged",,,,,,,
敬う,うやまう,"to show respect, to honour",,,,,,,
漂う,ただよう,"to drift about, to float, to hang in air",,,,,,,
繕う,つくろう,"to mend, to repair, to fix, to patch up, to darn, to tidy up, to adjust, to trim ",,,,,,,
躓く,つまずく,"to stumble, to trip",,,,,,,
退く,しりぞく,"to retreat, to recede, to withdraw",,,,,,,
頂く,いただく,"to receive, to take food or drink",,,,,,,
貫く,つらぬく,to go through,,,,,,,
導く,みちびく,"to be guided, to be shown",,,,,,,
傾く,かたぶく,"to incline toward, to slant, to lurch, to heel over, to be disposed to, to trend toward, to be prone to",,,,,,,
欺く,あざむく,to deceive,,,,,,,
赴く,おもむく,"to go, to proceed, to repair to, to become",,,,,,,
傾く,かたむく,"to incline toward, to slant, to lurch ",,,,,,,
輝く,かがやく,"to shine, to glitter, to sparkle",,,,,,,
囁く,ささやく,"to whisper, to murmur ",,,,,,,
呟く,つぶやく,"to mutter, to murmur",,,,,,,
働く,はたらく,to work,,,,,,,
驚く,おどろく,to be surprised,,,,,,,
催す,もよおす,"to hold (a meeting), to give (a dinner), to feel, to show signs of, to develop symptoms of, to feel (sick)",,,,,,,
促す,うながす,"to urge, to press, to suggest, to demand, to stimulate, to quicken, to incite, to invite (attention to)",,,,,,,
施す,ほどこす,"to donate, to give, to conduct, to apply, to perform",,,,,,,
表す,あらわす,"to express, to show, to reveal",,,,,,,
現す,あらわす,"to show, to indicate, to display",,,,,,,
著す,あらわす,"to write, to publish",,,,,,,
耕す,たがやす,"to till, to plow, to cultivate ",,,,,,,
楽む,たのしむ,to enjoy oneself ,,,,,,,
慎む,つつしむ,"to be careful, to be chaste or discreet, to abstain or refrain",,,,,,,
営む,いとなむ,"to carry on (e.g. in ceremony), to run a business",,,,,,,
羨む,うらやむ,to envy,,,,,,,
喜ぶ,よろこぶ,to be delighted,,,,,,,
尊ぶ,たっとぶ,"to value, to prize, to esteem",,,,,,,
遮る,さえぎる,"to interrupt, to intercept, to obstruct",,,,,,,
罵る,ののしる,"to speak ill of, to abuse",,,,,,,
囀る,さえずる,"to sing, to chirp, to twitter",,,,,,,
怠る,おこたる,"to neglect, to be off guard, to be feeling better",,,,,,,
操る,あやつる,"to manipulate, to operate, to pull strings",,,,,,,
捗る,はかどる,"to make progress, to move right ahead (with the work), to advance",,,,,,,
喋る,しゃべる,"to talk, to chat, to chatter ",,,,,,,
謝る,あやまる,to apologize,,,,,,,
誤る,あやまる,to make a mistake,,,,,,,
葬る,ほうむる,"to bury, to inter, to entomb, to consign to oblivion, to shelve ",,,,,,,
偏る,かたよる,"to be one-sided, to incline, to be partial, to be prejudiced, to lean, to be biased",,,,,,,
労る,いたわる,"to pity, to sympathize with, to console, to care for, to be kind to",,,,,,,
断る,ことわる,"to refuse, to decline, to dismiss",,,,,,,
賜る,たまわる,"to grant, to bestow",,,,,,,
覆す,くつがえす,"to overturn, to upset, to overthrow, to undermine",,,,,,,
志す,こころざす,"to plan, to intend, to aspire to, to set aims (sights on)",,,,,,,
蘇る,よみがえる,"to be resurrected, to be revived, to be resuscitated, to be rehabilitated",,,,,,,
滞る,とどこおる,"to stagnate, to be delayed",,,,,,,
謙る,へりくだる,to deprecate oneself and praise the listener,intrans.,へりくだった態度,へりくだった物の言い方,自分をへりくだる,謙虚,謙遜する,謙譲語
奉る,たてまつる,"to offer, to present, to revere, to do respectfully",,,,,,,
司る,つかさどる,"to rule, to govern, to administer",,,,,,,
遡る,さかのぼる,"to go back, to go upstream, to make retroactive",,,,,,,
向かう,むかう,to face,,,,,,,
揺らぐ,ゆらぐ,"to swing, to sway, to shake, to tremble",,,,,,,
基づく,もとづく,"to be grounded on, to be based on, to be due to, to originate from ",,,,,,,
明かす,あかす,"to pass, spend, to reveal, to divulge",,,,,,,
生かす,いかす,"to revive, to resuscitate, to make use of",,,,,,,
急かす,せかす,"to hurry, to urge on",,,,,,,
溶かす,とかす,"to melt, to dissolve",,,,,,,
抜かす,ぬかす,"to omit, to leave out",,,,,,,
負かす,まかす,to defeat,,,,,,,
沸かす,わかす,"to boil, to heat",,,,,,,
焦がす,こがす,"to burn, to scorch, to singe, to char",,,,,,,
逃がす,にがす,"to let loose, to set free, to let escape",,,,,,,
剥がす,はがす,"to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of, to detach",,,,,,,
尽くす,つくす,"to exhaust, to run out, to serve (a person), to befriend",,,,,,,
無くす,なくす,to lose something,,,,,,,
亡くす,なくす,to lose someone,,,,,,,
起こす,おこす,"to raise, to cause, to wake someone",,,,,,,
寄こす,よこす,"to send, to forward",,,,,,,
過ごす,すごす,"to pass, to spend, to go through, to tide over",,,,,,,
果たす,はたす,"to accomplish, to fulfill, to carry out, to achieve",,,,,,,
満たす,みたす,"to satisfy, to ingratiate, to fill, to fulfill",,,,,,,
落とす,おとす,"to drop, to lose, to let fall ",,,,,,,
飛ばす,とばす,"to skip over, to omit",,,,,,,
伸ばす,のばす,"to lengthen, to stretch, to reach out, to grow (beard)",,,,,,,
延ばす,のばす,"to lengthen, to stretch, to reach out, to grow (beard)",,,,,,,
覚ます,さます,to awaken,,,,,,,
冷ます,さます,"to cool, to dampen, to let cool",,,,,,,
済ます,すます,"to finish, to get it over with, to settle, to conclude, to pay back",,,,,,,
澄ます,すます,"to clear, to make clear, to be unruffled, to look unconcerned, to look demure, look prim, put on airs",,,,,,,
生やす,はやす,"to grow, to cultivate, to wear beard",trans.,あごひげを生やし始めた,花壇に雑草を生やしたままにする,彼は顎鬚を生やしている,,,
冷やす,ひやす,"to cool, to refrigerate",,,,,,,
増やす,ふやす,"to increase, to add to, to augment ",,,,,,,
殖やす,ふやす,"to increase, to add to, to augment ",,,,,,,
燃やす,もやす,to burn,,,,,,,
荒らす,あらす,"to lay waste, to devastate, to damage, to invade, to break into ",,,,,,,
暮らす,くらす,"to live, to get along",,,,,,,
逸らす,そらす,"to turn away, to avert ",,,,,,,
散らす,ちらす,"to scatter, to disperse, to distribute",,,,,,,
照らす,てらす,"to shine on, to illuminate",,,,,,,
鳴らす,ならす,"to ring, to sound, to chime, to beat, to snort (nose)",,,,,,,
慣らす,ならす,to accustom,,,,,,,
馴らす,ならす,"to domesticate, to tame",,,,,,,
濡らす,ぬらす,"to wet, to soak, to dip",,,,,,,
減らす,へらす,"to abate, to decrease, to diminish, to shorten ",,,,,,,
漏らす,もらす,"to let leak, to reveal",,,,,,,
ずらす,ずらす,"to put off, to delay",,,,,,,
降ろす,おろす,"to take down, to launch, to drop ",,,,,,,
合わす,あわす,"to join together, to face, to unite, to be opposite, to combine, to connect",,,,,,,
交わす,かわす,"to exchange (messages), to dodge, to parry, to avoid, to turn aside",,,,,,,
浮かぶ,うかぶ,"to float, to rise to surface, to come to mind",,,,,,,
悔やむ,くやむ,to mourn,,,,,,,
老いる,おいる,"to age, to grow old",,,,,,,
強いる,しいる,"to force, to compel, to coerce",,,,,,,
植える,うえる,"to plant, to grow",,,,,,,
飢える,うえる,to starve,,,,,,,
終える,おえる,to finish,,,,,,,
変える,かえる,to change,,,,,,,
替える,かえる,"to exchange, to interchange, to substitute, to replace",,,,,,,
換える,かえる,"to exchange, to interchange, to substitute, to replace",,,,,,,
代える,かえる,"to exchange, to interchange, to substitute, to replace",,,,,,,
消える,きえる,to disappear,,,,,,,
越える,こえる,"to exceed, to cross over, to cross ",,,,,,,
超える,こえる,"to exceed, to cross over, to cross ",,,,,,,
冴える,さえる,"to be clear, to br serene, to be cold, to be skillful",,,,,,,
据える,すえる,"to set (table), to lay (foundation), to place (gun), to apply (moxa)",,,,,,,
添える,そえる,"to add to, to attach, to append, to accompany, to garnish, to imitate, to annex",,,,,,,
耐える,たえる,"to bear, to endure",,,,,,,
絶える,たえる,"to die out, to peter out, to become extinct ",,,,,,,
堪える,たえる,"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for",,,,,,,
煮える,にえる,"to boil, to cook, to be cooked",,,,,,,
生える,はえる,"to grow, to spring up, to cut (teeth)",,,,,,,
映える,はえる,"to shine, to look attractive, to look pretty",,,,,,,
冷える,ひえる,to grow cold,,,,,,,
増える,ふえる,to increase,,,,,,,
殖える,ふえる,"to increase, to multiply",,,,,,,
吠える,ほえる,"to bark, to bay, to howl, to bellow, to roar, to cry",,,,,,,
見える,みえる,to be in sight,,,,,,,
燃える,もえる,"to burn, to get fired up",,,,,,,
受かる,うかる,to pass (examination),,,,,,,
掛かる,かかる,"to take (e.g. time, only, etc), to hang",,,,,,,
分かる,わかる,to be understood,,,,,,,
上がる,あがる,"to enter, to go up, to rise, to climb up, to advance, to appreciate, to be promoted, to improve ",,,,,,,
下がる,さがる,"to hang down, to abate, to retire, to fall, to step back",,,,,,,
曲がる,まがる,"to turn, to bend",,,,,,,
飽きる,あきる,"to get tired of, to lose interest in, to have enough",,,,,,,
生きる,いきる,to live,,,,,,,
起きる,おきる,to get up,,,,,,,
尽きる,つきる,"to be used up, to be　run out, to be exhausted, to be consumed, to come to an end ",,,,,,,
過ぎる,すぎる,to exceed,,,,,,,
開ける,あける,to open,,,,,,,
明ける,あける,"to dawn, to become　daylight",,,,,,,
活ける,いける,to arrange (flowers),,,,,,,
受ける,うける,to take a lesson or test,,,,,,,
掛ける,かける,to hang something,,,,,,,
欠ける,かける,to be lacking,,,,,,,
駆ける,かける,"to run (race esp. horse), to gallop, to canter ",,,,,,,
賭ける,かける,"to wager, to bet, to risk, to stake, to gamble ",,,,,,,
避ける,さける,"to avoid (physical contact), o ward off, to avert ",,,,,,,
裂ける,さける,"to split, to tear, to burst",,,,,,,
漬ける,つける,"to soak, to pickle ",,,,,,,
付ける,つける,"to attach, to join, to add, to append",,,,,,,
着ける,つける,"to attach, to join, to add, to append",,,,,,,
点ける,つける,"to turn on, to switch on, to light up",,,,,,,
浸ける,つける,"to dip, to soak",,,,,,,
解ける,とける,"to come untied, to come apart",,,,,,,
溶ける,とける,"to melt, to thaw, to fuse, to dissolve",,,,,,,
退ける,どける,"to remove, to take away, to dislodge, to put something out of the way",,,,,,,
抜ける,ぬける,"to come out, to fall out, to be omitted",,,,,,,
化ける,ばける,"o appear in disguise, to take the form of, to change for the worse",,,,,,,
更ける,ふける,"to get late, to advance, to wear on",,,,,,,
老ける,ふける,to age,,,,,,,
負ける,まける,to lose,,,,,,,
向ける,むける,"to turn towards, to point",,,,,,,
焼ける,やける,"to burn, to be roasted",,,,,,,
分ける,わける,"to divide, to separate",,,,,,,
上げる,あげる,to give,,,,,,,
揚げる,あげる,"to lift, to fry",,,,,,,
挙げる,あげる,"to raise, to fly",,,,,,,
焦げる,こげる,"to burn, to be burned",,,,,,,
下げる,さげる,"to hang, to lower, to move back",,,,,,,
告げる,つげる,to inform,,,,,,,
遂げる,とげる,"to accomplish, to achieve, to carry out",,,,,,,
投げる,なげる,to throw or cast away ,,,,,,,
逃げる,にげる,to escape,,,,,,,
剥げる,はげる,"to come off, to be worn off, to fade, to discolor",,,,,,,
曲げる,まげる,"to bend, to crook, to lean",,,,,,,
起こる,おこる,"to occur, to happen",,,,,,,
刺さる,ささる,"to stick, to be stuck",,,,,,,
為さる,なさる,to do,,,,,,,
混ざる,まざる,"to associate with, to mingle with, to join",,,,,,,
交ざる,まざる,"to be mixed, to be blended with, to associate with, to mingle with, to join",,,,,,,
閉じる,とじる,"to close (e.g. book, eyes), to shut ",,,,,,,
綴じる,とじる,"to bind, to file",,,,,,,
恥じる,はじる,to feel ashamed,,,,,,,
混じる,まじる,"to be mixed, to be blended with, to associate with ",,,,,,,
交じる,まじる,"to be mixed, to be blended with, to associate with",,,,,,,
化する,かする,"to change into, to convert into, to transform, to be",,,,,,,
着せる,きせる,"to put clothes on (someone), to dress, to clothe, to cover, to coat",,,,,,,
乗せる,のせる,"to take on board, to give a ride ",,,,,,,
載せる,のせる,"to place on (something), to take on board. to give a ride",,,,,,,
見せる,みせる,to show,,,,,,,
痩せる,やせる,to become thin,,,,,,,
寄せる,よせる,"to collect, to gather, to add, to put aside ",,,,,,,
混ぜる,まぜる,"to mix, to stir",,,,,,,
交ぜる,まぜる,"to be mixed, to be blended with ",,,,,,,
当たる,あたる,"to be hit, to be successful, to be equivalent to",,,,,,,
落ちる,おちる,to fall or drop,,,,,,,
落ちる,おちる,"to fail (e.g. exam), to fall down, to drop",,,,,,,
朽ちる,くちる,to rot,,,,,,,
満ちる,みちる,"to be full, to rise (tide), to mature, to expire",,,,,,,
当てる,あてる,"to hit, to apply a patch",,,,,,,
宛てる,あてる,to address,,,,,,,
捨てる,すてる,to throw away ,,,,,,,
立てる,たてる,to stand something up,,,,,,,
建てる,たてる,to build,,,,,,,
果てる,はてる,"to end, to be finished, to be exhausted, to die, to perish",,,,,,,
持てる,もてる,"to be able to possess s (hold, get, etc.), to be well liked, to be popular, to endure",,,,,,,
撫でる,なでる,"to brush gently, to stroke",,,,,,,
茹でる,ゆでる,to boil ,,,,,,,
兼ねる,かねる,"to hold (position), to serve, to be unable",,,,,,,
跳ねる,はねる,"to jump, to leap",,,,,,,
浴びる,あびる,"to bathe, to bask in he sun, to shower ",,,,,,,
帯びる,おびる,"to wear (sword, decoration, etc.), to carry, to be entrusted (e.g. with a mission), to take on",,,,,,,
錆びる,さびる,"to rust, to become rusty",,,,,,,
伸びる,のびる,"to stretch, to extend, to make progress, to grow (beard, body height) ",,,,,,,
延びる,のびる,to be prolonged,,,,,,,
詫びる,わびる,to apologize,,,,,,,
食べる,たべる,to eat,,,,,,,
述べる,のべる,"to state, to express, to mention ",trans.,上に述べたようにそれは不可能です,私は真実を述べているのです,彼は意見を述べる機会がなかった,,,
決まる,きまる,"to be decided, to be settled, to look good in (clothes)",,,,,,,
閉まる,しまる,"to close, to be closed",,,,,,,
染まる,そまる,to dye,,,,,,,
溜まる,たまる,"to collect, to gather, to save",,,,,,,
詰まる,つまる,"to be blocked, to be packed",,,,,,,
止まる,とまる,to come to a halt,,,,,,,
泊まる,とまる,to lodge at,,,,,,,
留まる,とまる,"to be fixed, to abide, to stay",,,,,,,
填まる,はまる,"to get into, to go into, to fit, to be fit for, to suit, to fall into, to plunge into, to be deceived, to be",,,,,,,
染みる,しみる,"to pierce, to permeate",,,,,,,
埋める,うめる,"to bury, to fill up, to fill (a seat, a vacant position)",,,,,,,
決める,きめる,to decide,,,,,,,
込める,こめる,"to include, to put into",,,,,,,
覚める,さめる,"to wake, to wake up",,,,,,,
冷める,さめる,"to become cool, to wear off, to abate, to subside",,,,,,,
閉める,しめる,to close something,,,,,,,
締める,しめる,to tie,,,,,,,
占める,しめる,"to comprise, to account for, to make up, to hold, to occupy ",,,,,,,
責める,せめる,"to condemn, to blame, to criticize",,,,,,,
攻める,せめる,"to attack, to assault",,,,,,,
染める,そめる,"to dye, to colour",,,,,,,
溜める,ためる,"to amass, to accumulate",,,,,,,
詰める,つめる,"to pack, to shorten, to work out (details)",,,,,,,
留める,とめる,"to fasten, to turn off, to detain ",,,,,,,
止める,とめる,to stop something,,,,,,,
泊める,とめる,"to give shelter to, to lodge ",,,,,,,
嘗める,なめる,"to lick, to taste, to experience, to make fun of,  to make light of, to put down",,,,,,,
填める,はめる,"to get in, to insert, to put on, to make love",,,,,,,
褒める,ほめる,"to praise, to admire, to speak well",,,,,,,
揉める,もめる,"to disagree, to dispute",,,,,,,
止める,やめる,to stop,,,,,,,
辞める,やめる,to retire,,,,,,,
ほめる,ほめる,to praise,,,,,,,
積もる,つもる,to pile up,,,,,,,
降りる,おりる,"to get off, to descend",,,,,,,
下りる,おりる,"to get off, to descend",,,,,,,
借りる,かりる,to borrow,,,,,,,
懲りる,こりる,"to to learn by experience, to be disgusted with",,,,,,,
足りる,たりる,to enough,,,,,,,
入れる,いれる,to put in,,,,,,,
売れる,うれる,to be sold,,,,,,,
折れる,おれる,to break or be folded,,,,,,,
枯れる,かれる,"to wither, to die (plant), to be blasted (plant)",,,,,,,
涸れる,かれる,"to dry up, to run out",,,,,,,
切れる,きれる,"to cut well, to be sharp, to break off",,,,,,,
暮れる,くれる,"to get dark, to come to an end",,,,,,,
呉れる,くれる,"to give, to let one have, to do for one, to be given",,,,,,,
擦れる,すれる,"to rub, to chafe, to wear, to become sophisticated",,,,,,,
逸れる,それる,"to stray (turn) from subject, to get lost, to go astray",,,,,,,
垂れる,たれる,"to hang, to droop, to drop, to lower, to pull down, to dangle, to sag, to drip, to ooze, to trickle, to leave ",,,,,,,
取れる,とれる,"to come off, to be taken off, to be removed",,,,,,,
慣れる,なれる,to grow accustomed to,,,,,,,
馴れる,なれる,"to become domesticated, to become tame",,,,,,,
濡れる,ぬれる,to get wet,,,,,,,
晴れる,はれる,to be sunny,,,,,,,
腫れる,はれる,"to swell (from inflammation), to be become swollen",,,,,,,
触れる,ふれる,"to touch, to be touched, to touch on a subject, to feel, to violate (law, copyright, etc.), to perceive, t",,,,,,,
漏れる,もれる,"to leak out, to escape, to come through, to shine through, to filter out, to be omitted",,,,,,,
揺れる,ゆれる,"to shake, to sway",,,,,,,
割れる,われる,to break,,,,,,,
植わる,うわる,to be planted,,,,,,,
終わる,おわる,"to finish, to close",,,,,,,
変わる,かわる,to change,,,,,,,
代わる,かわる,"to take the place of, to relieve, to be substituted for, to be exchanged, to change places with, to take ",,,,,,,
やっ付ける,やっつける,to beat,,,,,,,
ぶら下げる,ぶらさげる,"to hang, to suspend, to dangle, to swing",,,,,,,
やり遂げる,やりとげる,to accomplish,,,,,,,
損なう,そこなう,"to harm, to hurt, to injure, to damage, to fail in doing",,,,,,,
逆らう,さからう,"to go against, to oppose, to disobey, to defy",,,,,,,
味わう,あじわう,"to taste, to savor, to relish",,,,,,,
賑わう,にぎわう,"to prosper, to flourish, to do thriving business, to be crowded with people",,,,,,,
動かす,うごかす,"to move, to shift",,,,,,,
脅かす,おどかす,"to threaten, to coerce ",,,,,,,
乾かす,かわかす,"to dry (clothes, etc), to desiccate",,,,,,,
転がす,ころがす,to roll,,,,,,,
及ぼす,およぼす,"to exert, to cause, to exercise",,,,,,,
滅ぼす,ほろぼす,"to destroy, to overthrow, to wreck, to ruin ",,,,,,,
悩ます,なやます,"to afflict, to torment, to harass, to molest",,,,,,,
励ます,はげます,"to encourage, to cheer, to raise (the voice)",,,,,,,
費やす,ついやす,"to spend, to devote, to waste ",,,,,,,
遅らす,おくらす,"to retard, to delay ",,,,,,,
凝らす,こごらす,"to freeze, to congeal",,,,,,,
齎らす,もたらす,"to bring, to take, to bring about",,,,,,,
悲しむ,かなしむ,"to be sad, to mourn for, to regret",,,,,,,
苦しむ,くるしむ,"to suffer, to grain, to be worried",,,,,,,
親しむ,したしむ,"to be intimate with, to befriend",,,,,,,
楽しむ,たのしむ,to enjoy oneself,,,,,,,
赤らむ,あからむ,"to become red, to redden, to blush",,,,,,,
危ぶむ,あやぶむ,"to fear, to have misgivings, to be doubtful to mistrust",,,,,,,
膨らむ,ふくらむ,"to expand, to swell (out), to get big, to become inflated",,,,,,,
率いる,ひきいる,"to lead, to spearhead (a group), to command (troops)",,,,,,,
用いる,もちいる,"to use, to make use of",,,,,,,
与える,あたえる,"to give, to present, to award",,,,,,,
甘える,あまえる,"to behave like a spoiled child, to fawn on",,,,,,,
押える,おさえる,"to stop, to restrain, to seize, to repress, to suppress, to press down",,,,,,,
教える,おしえる,"to teach, to tell",,,,,,,
怯える,おびえる,"to become frightened, to have a nightmare",,,,,,,
覚える,おぼえる,to remember,,,,,,,
抱える,かかえる,to hold or carry under or in the arms,,,,,,,
数える,かぞえる,to count,,,,,,,
叶える,かなえる,"to grant (request, wish)",,,,,,,
構える,かまえる,to set up,,,,,,,
鍛える,きたえる,"to forge, to drill, to temper, to train, to discipline",,,,,,,
加える,くわえる,"to append, to sum up, to add up",,,,,,,
栄える,さかえる,"to prosper, to flourish",,,,,,,
凍える,こごえる,"to freeze, to be chilled, to be frozen",,,,,,,
支える,ささえる,"to support, to hold, to maintain",,,,,,,
答える,こたえる,to answer,,,,,,,
備える,そなえる,"to furnish, to provide for, to equip, to install",,,,,,,
具える,そなえる,to be furnished with,,,,,,,
聳える,そびえる,"to rise, to tower, to soar",,,,,,,
揃える,そろえる,"to put things in order, to arrange, to make uniform, to get something ready",,,,,,,
例える,たとえる,"to compare, to liken, to speak figuratively, to illustrate, to use a simile",,,,,,,
違える,ちがえる,to change,,,,,,,
仕える,つかえる,"to serve, to work for",,,,,,,
伝える,つたえる,to report,,,,,,,
唱える,となえる,"to recite, to chant, to call upon",,,,,,,
捕える,とらえる,"to seize, to grasp, to capture, to arrest",,,,,,,
控える,ひかえる,"to draw in, to hold back, to make notes, to be temperate in",,,,,,,
震える,ふるえる,"to shiver, to shake, to quake",,,,,,,
交える,まじえる,"to mix, to converse with, to cross",,,,,,,
迎える,むかえる,to go out to meet,,,,,,,
預かる,あずかる,"to keep in custody, to receive on deposit, to take charge of",,,,,,,
助かる,たすかる,"to be saved, to be rescued, to survive, to be helpful",,,,,,,
儲かる,もうかる,"to be profitable, to yield a profit",,,,,,,
嫌がる,いやがる,"to hate, to dislike",,,,,,,
転がる,ころがる,"to roll, to tumble",,,,,,,
繋がる,つながる,"to be tied together, to be connected, to be related to",,,,,,,
広がる,ひろがる,"to spread (out), to extend, to stretch, to reach to, to get around",,,,,,,
塞がる,ふさがる,"to be plugged up, to be shut up",,,,,,,
跨がる,またがる,"to extend over or into, to straddle",,,,,,,
群がる,むらがる,"to swarm, to gather",,,,,,,
預ける,あずける,"to give into custody, to entrust, to deposit",,,,,,,
砕ける,くだける,"to break, to be broken, to be smashed, to collapse, to crumble",,,,,,,
授ける,さずける,"to grant, to give, to confer, to award, to teach, to instruct",,,,,,,
助ける,たすける,"to save, to rescue, to help, to assist, to support, to facilitate, to stimulate, to promote",,,,,,,
続ける,つづける,"to continue, to keep up, to keep on",,,,,,,
届ける,とどける,"to deliver, to forward, to send, to deliver, to forward, to send",,,,,,,
蕩ける,とろける,"to melt (and become soft or liquid), to be enchanted (by), to be charmed",,,,,,,
怠ける,なまける,"to be idle; to slacken, to neglect (e.g. one's work)",,,,,,,
儲ける,もうける,"to profit, to get, to earn, to gain, to have",,,,,,,
設ける,もうける,"to prepare, to provide, to set up; to establish; to organize",,,,,,,
