Time,Subtitle,Translation1,Translation2
8:23,揚げてから冷凍する。食べる時はもう一度揚げるか、電子レンジを使うことができます,"Freeze them after frying. When you're ready to eat it, you can re-fry it or use the microwave",Fry and then freeze. You can fry it again or use the microwave when you eat
8:28,卵とじにしたらさらに美味しくなります,They're even better when cooked with eggs,It will be even more delicious if you bind it with eggs
8:31,天丼と天茶、いかがでしたか？,How was Tendon and Tencha?,How was Tendon and Tencha?
8:34,私は天茶がとても好きなんだけど、なんというか、とても日本的な味なので,"Actually I really love Tencha, but I Don't know you guys like it","I like Tencha very much, but it tastes very Japanese."
8:38,皆さんが気にいるかちょっと分かりません,because it’s very Japanish,I'm not sure if you like it
8:41,でも照り焼きソース風味の天丼は絶対好きなはず！,I guess you love Tendon which tastes Teriyaki sauce,But you should definitely like the teriyaki sauce-flavored tendon!
8:45,では今週もご覧いただきありがとうございました！,"All right, thank you for watching!",Thank you for visiting this week as well!
8:47,チャンネル登録お願いします！,Please subscribe to my channel!,Please subscribe to the channel!
8:49,リクエストをコメント欄でお知らせください,"If you have any requests, please let me know in the comments",Please let us know your request in the comments
8:52,また来週！バイバイ！,See you next week! Bye bye!,see you next week! Bye bye!
