Words,Translation
請求書 ,Invoice 
無事を祈る,Pray for safety
お祈りをする,Say a prayer
合格を祈願する,Pray for success
祈念する,pray for success
祈り,Pray
祈祷する,Pray
子の幸せを願う,Pray for the happiness of your child
願いがかなう,to have a wish come true
強い願望を持つ,have a strong desire
入学願書,Application for admission
お願いします ,I beg you 
請願する,To petition
志願する,Apply
悲願する,Make a plea
出願する,Apply
神を信じる,Trust God
人を信用する,Trust in People
自信を持つ,Have Confidence
信頼する,Trust
信号,Signal
迷信する,Superstitious
通信する,To communicate
確信する,Confidence
人を疑う,Doubting People
疑わしい話,Suspicious talk
疑問を持つ,Have doubts
事件の容疑者,Suspect in a case
疑問符,Question mark
ばらの花が香る,Smell of roses
お茶の香りがする,Smells like tea
香水,Perfume
お線香,Incense
香辛料,Spices
香ばしい,Fragrant
優しい性質,Gentle nature
優れた作品,Excellent work
優越感,Superiority
優秀な学生,Excellent student
優勝する,Winners
優先席,Preferred seat
俳優,Actors
優美な舞踊,Graceful Dance
頭が良い,Good head
気分が良くない,Not feeling well
良書,Good book
良心が咎める,My conscience is troubled
結果は良好,Good results
仲良し,good friends
良識,good sense
良し悪し,Good or bad
天気が悪い,Weather is bad
悪口を言う,Saying bad things
悪人,Bad people
悪寒がする,I get chills
憎悪を感じる,Feel hatred
悪魔,Demon
悪い,Bad
悪戯,Mischief
意地悪,Mean
悪化,Evil
悪夢,Nightmares
幸いにけがはなかった,"Fortunately, no one was injured."
海の幸,Seafood
幸せな家庭,Happy family
幸運,Good luck
不幸,Unhappiness
幸福 ,Good Fortune 
幸い,Happiness
幸福な人生,Happy Life
結婚を祝福する,Blessing Marriage
社員のための福利厚生説,Welfare theory for employees
福祉 ,Welfare 
裕福,Wealth
社会福祉,Social Welfare
至福 ,Bliss 
風が和らぐ,Ease of the wind
和やかな雰囲気,Harmonious atmosphere
心が和む,Peace of mind
平和,Peace
和服,Japanese clothes
和尚,Harmony
調和する,Harmonize
声を和らげる,Soothes the voice
温和な気候,Mild Climate
中和曲線,Neutralizing curve
和解する,Reconcile
和牛,Wagyu
和室,Japanese Room
父と別れる,Separation from Father
別れ,Farewell
特別,Special
区別,Separation
送別会,Farewell party
別々,separation
差別,discrimination
別荘,Separate Villa
別に,Separate
格別,Separate
個別,Individual
別居,Separate
別人,Separate people
識別,Identification
別問題,different problems
選別する,sort out
大別する,sort by major
戸別訪問,go door to door
決別する,break up
別館,separate building
分別する,Separate
予定が決まる,make a plan
決心する,Make up your mind
決勝戦,Final
決定する,Decide
決して負けない,Never lose
解決する,Resolve
判決する,Decide
決断する,Decide
多数決,Majority rule
決まり,Decide
可決する,Pass
決意する,Decide
対決する,Vote
議決する,Vote
決算する,Settle
否決する,Vote No
採決する,Vote
私事,Private affairs
私立大学,Private University
私鉄,Private railway
私用,Private
私物,Private property
私有財産,Private property
講師の別,By Lecturer
一個,One piece
数個,Several
個人の自由,Personal freedom
個々の問題,Individual issues
個性がある,Individuality
他人,Others
他方,The Other
他界する,Other world
他さんの石,Other's stone
彼の死は他殺だ,His death was another man's death.
他の本,The Other Book
練習を始める,Start practicing
新学期が始まる,A new term begins
試合を開始する,Start a game
年末年始,New Year's Eve
原始,Beginning
始終,Beginning and end
始発,Beginning
終始,Beginning and End
始末する,Starting
後始末,Post-processing
手始め,Beginning
不始末,Mismanagement
始動する,Starting
夏休みが終わる,End of summer vacation
一生を終える,End of a lifetime
会議が終了する,End of meeting
終電,Last train
終点,Last stop
最終,Last train
終日,End of day
終結する,End of the day
終値,End value
終盤,Endgame
終局,Endgame
終戦,end of war
雨が降り続く,It keeps raining
散歩を毎日続ける,Continue to take a walk every day
遺産を相続する,Inheritance
続々と集まる,Gathering one after another
調査を継続する,Continue research
接続する,Connect
連続する,Continuously
手続き,Procedure
存続する,Continue
後続する,Subsequent
笑顔を絶やさない,keep smiling
消息を絶つ,to cease to exist
絶対に間違いない,Absolutely certain
絶滅寸前の動物,An animal on the verge of extinction
絶滅する,to become extinct
絶えず,Constantly
絶望する,Despair
拒絶する,Reject
途絶える,cease to exist
断絶する,Discontinue
拒絶反応,Rejection
絶頂,Climax
絶好,climax
中絶する,Abort
絶大,Extinction
根絶する,Eradicate
気絶する,Faint
絶交する,Abort
絶え間なく,ceaseless
絶好調,ceaseless
言う,say
言い出す,say
言い訳する,excuse
言いつける,tell someone to do something
言語,language
一言,one word
言葉,word
無言,no words
小言,small talk
伝言,dialect
方言,Dialect
予言する,Predict
助言する,Advice
発言する,Say
言明する,declare
言い分,say
手,help
手伝う,help
上手な,Good
下手な,badly
手紙,letter
お手洗い,Bathroom
切手,Stamps
手本,Hand book
歌手,Singer
握手する,Shake hands
拍手する,clap
助手,Assistant hand
手首,wrist
手前,in front of hand
小切手,Cheque
相手,Opponent
自分,yourself
自身,Himself
自体,yourself
自国,own country
自転車,Bicycle
自動車,Automobile
自由,Freedom
自習,Self-study
自信,Self-confidence
自己,Self
各自,Each
自然な,Natural
自ら,Self
不自由,Unrestrained
自転する,Spontaneous
自立する,Self-reliant
者,Person
筆者,Author
信者,Believer
後者,The latter
患者,Patient
医者,Doctor
著者,Author
歯医者,Dentist
記者,Reporter
前者,former
学者,scholar
作者,Author
役者,actor
業者,vendor
読者,Reader
達者,Guru
主人,protagonist
主食,staple
主体,protagonist
主権,sovereignty
主語,subject
主張,subject
主要,main
主義,Principle
主婦,protagonist
主役,Main role
主題,subject
主任,leading role
主演,leading actor
主催,Host
主観,subject
主席,main seat
通る,go through
通す,Through
普通,Ordinary
交通,Traffic
通学,Commuting
通勤,Commuting
通訳,Interpreter
大通り,Main Street
通貨,Currency
流通,Distribution
通う,Passage
通り,Street
共通,Common
通過,Passage
通行,Passage
通じる,Pass through
強い,Strong
勉強,Study
強化,Reinforcement
強制,Force
強力,Strong
強調,Emphasis
強引,forceful
強気,forceful
強烈,strong
強める,strengthen
強まる,forceful
強いる,forceful
増強,reinforcing
心強い,encouraging
強み,strong
強風,strong wind
使う,use
使用,Use
使い,use
使命,Mission
使い道,use
使用人,User
使い方,Usage
使い捨て,disposable
使者 ,messenger 
使用者,user
使用法,Usage
大使,Ambassador
公使,legation
天使,ambassador
使節,envoy
使い分け,usage
文,sentence
文法,grammar
文化,Culture
文学,Literature
作文 ,Composition 
論文,Thesis
文明,Civilization
文章,Writing
文体 ,Writing style 
文書,Documents
注文,order
文句,phrase
文字,character
英文,English text
文脈,Context
文房具,Stationery
屋,shop
本屋,bookstore
家屋,house
屋上,Rooftop
屋外,Outdoor
部屋,Room
小屋,Hut
八百屋,Grocery store
屋根,Roof
屋敷,house
屋内,Indoor
屋台,stall
床屋,barbershop
問屋,wholesale store
楽屋,music hall
居酒屋,Tavern
朝,breakfast
朝ご飯,Breakfast
朝食,Breakfast
今朝,This morning
朝日,Morning sun
朝霧,Morning fog
朝夕,Morning and evening
朝方,Morning
朝刊,Morning paper
朝一番,First thing in the morning
朝食後,after breakfast
朝飯前,before breakfast
朝礼 ,morning meeting 
朝市,Morning market
朝空,Morning sky
朝霜,morning frost
題,title
題名,title
題材,subject
問題,Issue
議題,topic
話題,Topic
表題,title
宿題,Homework
課題,assignment
出題,assignment
放題,homework
難題,difficult problems
例題,example
主題 ,subject 
題する,subject
食べ放題,All you can eat
神社,Shrine
社会,society
会社,Company
商社,trading company
社説,Editorial
社長,President
入社,Joining a company
社交,socializing
出社,Going to work
子会社,Subsidiary
社債,Bonds
同社,company
社員,Employee
本社,Head Office
支社,Branch Office
他社,Other companies
料理,Cuisine
理解,Understanding
理想,Ideal
代理,Proxy
原理,Principle
無理,Impossible
理由,Reason
理論,Theory
地理,Geography
理性,Reason
真理,Truth
調理する,To cook
修理する,Repair
処理する,Process
管理する,Manage
整理する,Organize
やっぱりこう気持ちよかったですね ボキッと音しちゃいましたけれども,"I knew it would feel good, even if it did make a cracking sound."
実際にちょっとやっていきますか？,Would you like to try it out?
ではちょっと椅子をね、用意していただいので座ってやってみますか。,"I've prepared a chair for you, so why don't you sit down and try it?"
まずは,First of all.
大木を抱えるように両腕で大きな輪を作り、背中を後ろに引いて丸める。,"Make a big circle with both arms as if you were holding a big tree, and pull your back backward and round."
この時、肩甲骨は離れて広がっている。,"At this time, your shoulder blades should be separated and spread apart."
これでいいのかな？,Is this okay?
どうですか？見えてます？,How about it? Can you see it?
みなさんもぜひ、オフィスワークの方は、ちょっとやってみて下さいね。,I encourage you all to try a little of this if you work in an office.
こもまき？,Komomaki?
といったコメントも届いてますけれども,I've also received comments like
...丸めてください。,... Please roll it up.
そして、二つめ。,And the second one.
両手を後ろでつなぎ背筋を伸ばしながら斜め上を見る。,Connect your hands behind your back and look diagonally upward while stretching your back.
斜め上を見る。,Look diagonally upward.
この時、肩甲骨は閉じられている。,"At this time, your shoulder blades are closed."
こんな感じですねー,It's like this!
あー気持ちいい,"Ah, that feels good!"
両手を後ろでつなぎ背筋を伸ばしながら斜め上を見る。,Connect your hands behind your back and look diagonally upward while stretching your back.
天井を見る感じですね,It's like looking at the ceiling.
これすごく...気持ちいいですねー,This feels so... It feels so good!
この１、２、を繰り返すということでミソなのが 肩甲骨を離して 広げてから、今度,"The key to repeating this first and second step is to release the shoulder blades, widen them, and then"
閉じるっていうことを繰り返すっていうことが,And then close it again.
大事なんですねー,It's very important.
みなさんどうでしょうか？,What do you think?
カラダが硬くてできないっす？,Is your body too stiff to do this?
そうですか,Is that so?
私もあのカラダ硬いほうなんですけれども,I have a stiff body too.
ぜひこの肩甲骨 この後ろのね、この肩甲骨を意識して,"But please be aware of this scapula, the one behind the shoulder blade."
広げたり閉じたりして,"I'd like you to be aware of this scapula, and widen or close it."
ちょっとリラックスしていただきたいと思います。,I'd like you to relax a little.
一つのポーズを20秒ほど続けることが良いといわれております。 うーん。,It is said that it is good to hold one pose for about 20 seconds. Hmmm.
四十肩で無理っす...といったコメントもいただきました。,"I can't do it because of my forty shoulders... I've received comments like, ""I can't do it because of my shoulder."
あの無理はしないことが...,It's best not to overdo it...
ね？,Right?
ポイントですので。,That's the point.
みなさまも、意識して行ってみてくださいね。,Please be aware of this and try it.
「ちょっと痛かった」といったコメントもいただきました。,"""We also received comments like, ""It was a little painful."
こちらのポイントもね、合わせて見てくださいね。,Please take a look at this point as well.
さあその肩甲骨ストレッチについてご紹介していきました。,Now I've introduced the scapula stretch.
うわー！いいですね！絵葉書じゃないですか！,Wow! I love it! It's like a postcard!
絵葉書っぽいですよねえ？,"It looks like a picture postcard, doesn't it?"
本日、快晴,Clear skies today.
満開の桜と富士山のコラボ,A collaboration of cherry blossoms in full bloom and Mt.
超絶景です。といただきました。,Fuji is a superb view. Fuji.
本当にねー,It really is!
この世のものとは思えない、、、,It's out of this world...
リポートじゃないですかぁぁ？,Isn't it a report?
いやーあの、,"Well, um..."
私ですね、ちょっとあのー、,"It's me, you know..."
コアなお話になってしまうかと思うんですけれども,I think this may be a bit of a core story.
以前、,Before...
中学生ぐらいまでネットゲームしていたんですよ,I used to play internet games until I was in junior high school.
で、そのね。 ネットゲームの世界が こういう世界だったんですよ,"And, you know... The world of online games was like this."
ジパングっていう町があって、、,There was a town called Zipangu.
ご存知の方もいらっしゃるかと思うんですけれども,Some of you may know that.
私「メイプルストーリー」をたくさんやってたんですよ。,I used to play a lot of Maple Story.
ご存知ですか？！,Do you know it?
メイプルストーリーすごくやり込んでいた時期があって,There was a time when I was really into Maple Story.
で、ジパングっていう町があったと思うんですけども,"There was a town called Zipangu, I think."
その町の風景に ぴったり、一致してるんですよ。,"I think there's a town called Zipangu, and the scenery of that town matches perfectly."
もしあの、日本に、お住まいのない,If you don't live in Japan...
お住まいじゃない方ね、いらっしゃって、 海外の方いらっしゃいましたら、,"If you don't live in Japan, and you're from overseas..."
RPGの世界で春を楽しむのも良いかもしれませんよ。,"If you don't live in Japan, and you are from overseas, you might want to enjoy spring in the RPG world."
そう私あの頃はね、「サクサクチケット」買ってやり込んでました。,"In those days, I used to buy ""Crunchy Tickets"" and play them."
なつかしいー！,It's so nostalgic!
思い出しちゃいました。,I remember it now.
すごく関係ないんですけれどもね。,"This has nothing to do with the game, though."
サクサクチケット買って、、,"I bought the ""Crunchy Ticket""."
しかもね、一枚じゃ足らずにあの二枚ぐらい買ってやってた時期があって。,"Moreover, there was a time when one ticket wasn't enough, so I bought two of them."
もーなつかしい！,It's so nostalgic!
思い出しちゃいました。,I remember it now.
はー。ネットゲームの世界もいいですけれども,"Haha. The world of online games is nice, but"
ぜひみなさん、お近くの方はね、こういった 世界楽しんでくださいね,"But if you're in the area, please come and enjoy this kind of world."
ホンモノの世界を楽しんで下さいね,Please enjoy the real world!
続いて見ていきますか。,Let's see what happens next.
やー、こんな話するつもりじゃなかったんだけどな。,I didn't mean to talk like this.
なんでこんなタイピング速いの？ってコメントいただいたんですけど、,Why are you typing so fast? I got a comment from someone who asked me why I type so fast.
それは、、,That's because...
メイプルストーリーで培った技術です ふふふ,It's a skill I developed in Maple Story.
メイプリ、、はい。,"Maple Story, yes."
チャットの、、あの、なんでこんなタイピングが速いのかと言いますと、,Why do I type so fast?
ネットゲームのメイプルストーリーで培った技術です,It's a technique I developed in the online game Maple Story.
あれ戦闘しながらチャット打つのとっても大変なんですよ。,It's really hard to type while fighting.
で、あの,"And, well..."
そこで多分、私は身についたのかもしれませんね。,I think that's where I learned it.
タイピング、、かもしれない。,"Typing, maybe."
こんとおつが多いんですよ。,There's a lot of kon and otsu.
こん、おつってあの、,"Kon, Otsu means..."
こんにちは、おつかれさまって。,"Hello, good evening."
すいませんねこんな、コアな話してね。,I'm sorry to talk about such a core topic.
では続いて見ていきますか？,"I'm sorry to talk about such a core topic, but let's see what happens next."
合う,Match.
合わせる,Match.
合わす,match
見合わせる,see each other
見合いする,meet
間に合う,meet in time
場合,case
具合,condition
合意,agreement
組合,union
合図する,to signal
集合する,Assemble
合格する,Pass
待合室,Waiting room
割合,Percentage
試合,Match
部,Section
部屋,Room
一部,Partial
内部,Internal
外部,External
全部,All
学部,Faculty
部長,Director
部品,Parts
本部,Headquarters
部下,Subordinate
部門,Department
部分,Part
部数,Dept.
部員,Department members
幹部,Executive
彼,He
彼女,She
彼ら,them
彼方,Him
彼奴,Him.
彼氏,Boyfriend
誰彼,Who he
彼自身,Himself
彼や是や,"him, this and that"
彼岸花,his flower
彼なり,his own
彼岸桜,cherry blossom
前彼,before him
彼我,his own
彼式,his ceremony
東彼岸 ,East Higan 
内,within
以内,within
内閣,Cabinet
案内,Guide
国内,Domestic
内容,Contents
内線,Extension
その内,within
内科,Internal
内部,Internal
内訳,Internal translation
内乱,internal conflict
家内,within the house
館内,Internal
市内,Inside the city
内側,Inside
実,Facts
事実,fact
実行,Execution
実践 ,Practice 
実験,Experiment
実現,Realization
実際,Actual
実は,Actually
実力,Actual power
実用,Practical
実感,Actual
実績,Actual
実物,Real thing
実例,example
口実,pretext
実質,substance
軍,military
軍隊,military
軍事,military
軍人,military personnel
軍艦,Warships
軍備,Armaments
軍縮,Disarmament
海軍,Naval forces
軍団,Corps
軍部,Military Division
軍服,military uniform
軍勢,military force
軍政,military administration
軍医,military physician
陸軍,Army
軍国主義,Militarism
兵,soldiers
兵器,weapon
兵隊,soldier
兵士,Soldier
歩兵,infantry
徴兵,conscript
兵役,military service
将兵,general
兵力,military force
兵員,soldier
砲兵,artillery
新兵,Recruits
民兵,Militia
工兵,Engineers
兵舎,Barracks
核兵器,nuclear weapons
島,Island
島国,island nations
島々,Islands
島根,Island Root
島中,Central Islands
半島,Peninsula
島人,Islanders
島外,Outside the Islands
島内,On the Island
島民,Islanders
島巡り,Island Tour
島山 ,Island Mountains 
島影,Island Shadow
島伝い,Along the Island
島庁,Island Office
島司,Island Manager
郎,Groom
郎女,Lover
郎子,Roses
野郎,Fellows
新郎,New Groom
下郎,Shimo-Ro
番太郎,Bantaro
白水郎,Hakusuiro
郎党,Loyalist
女郎 ,Shiro 
郎君,Shirokun
外郎,Gairo
三郎 ,Saburo 
悪太郎 ,Bad Taro 
紺四郎 ,Konshiro 
風太郎,Kazetaro
結婚,Marriage
結果 ,Result 
結構 ,Good 
結論,Conclusion
結成,Conclusion
接合,Joining
結晶,Crystals
結核 ,Nucleus 
結局 ,Eventually 
終結,Termination
集結,Gathering
団結,unite
結う,unite
結ぶ,unite
結びつく,unite
結わえる,unite
今日は一緒に温泉に入っています,We're in the hot spring together today.
イエーイ,Yay!
まさかね、一緒にお風呂に入る仲になるなんて,I never thought we'd end up in the bath together.
そうだよ,That's right.
思わなかったよね,I didn't think so.
裸の付き合いですね,We're naked together.
裸じゃないけどね,"Not naked, though."
水着の付き合い,We're in swimsuits.
ここあれだよね,You know what this place is?
混浴しかないんだよね,"There's only mixed bathing, right?"
確かね,I think so.
うん,Yeah.
そう、混浴の露天風呂,"Yes, coed outdoor baths."
で、なんかあの,"And, um..."
水着ダサイのすごい気になるかもしれないんですけど,You might be wondering why my bathing suit is so dorky.
ダサイ,Dumb.
あの、これ借りたんですよ,"Um, I rented this."
そう、急遽入ることにしたから,"Yeah, I had to go in on short notice."
島の水着,The island swimsuit.
わたしもダサイよ、ヤバいよ,"It's so dorky on me, too."
いや、なんかめちゃめちゃかわいいよ,"No, it's really cute."
なんか似合ってる,It kind of suits you.
わたしの水着はね..,My swimsuit is...
ちょっとヤバい,It's a little bad.
これヤバい,This is bad.
もう80年代のさ,It's from the 80s.
バブル、スナックだよね,"Bubble, snack..."
なんか似合ってわないんですけど,It doesn't look good on me.
いや、似合わなくはないよ,"No, it doesn't look bad."
しかもなんか強そう,And it looks strong.
全然はかなさとか,It's not at all fragile or cute.
可愛さがない,There's nothing cute about it.
ちゃんと着こなしてる,You're wearing it well.
いや、着こなせてないでしょう,"No, I don't think you're wearing it well."
無料で借りれたの強かったね,It's a good thing I borrowed it for free.
確かに、ありがたい,"Sure, thanks."
お金かかると思ったら,I thought it would be expensive.
えっ、絶対かかると思ってた,"Oh, I knew it would cost money."
なんか前髪も少年みたいになっちゃった,My bangs look like a boy's.
えっ、さっきサウナに入ってからメイク直した,"What, you fixed your makeup after you went into the sauna earlier?"
直してない,I didn't.
私も直してない,I didn't fix it either.
なんかもう、あそこまで忘れちゃうとね,When you forget something like that...
もう、どうでもいいやってなる,I just don't care anymore.
ほぼすっぴんだけどいいやって感じだよね,"I'm almost completely bare, but it's okay."
ほぼ,Almost.
素っぴん,No makeup.
後ろ、のさ、映えとかヤバくない,It's not so bad in the back.
うちらの水着は生えてないけど,Our swimsuits don't grow back.
すごい,It's amazing!
いやー、もう大自然ですね,"Wow, it's like nature already!"
温泉とサウナが結構趣味なの,I enjoy hot springs and saunas a lot.
そうなの？,Is that so?
いいねそれ,That's nice.
温泉すごい好きなの,I love hot springs.
行くんだ,I do.
一人で銭湯とかもガンガン行ける,I can go to public baths by myself.
銭湯,Public baths.
ガンガン,I can't stop.
最高,It's great.
いや、いいよね,"No, it's good."
温泉好きなんだ、いけちゃん,"I like hot springs, Ike-chan."
ほんとはもっといろんなとこ開拓したいんだよね,I really want to explore more places.
開拓する,I'll explore.
探る,Explore
マッサージ行くのも好きなんだけどさあ,"I like getting massages, but..."
くすぐったい,Ticklish
うん、えっ、マッサージくすぐったいの,"Yeah, well, massage tickles."
いや、もうそれ健康って事らしいよ,"No, it's supposed to be healthy."
めっちゃ、くすぐったい,It tickles so much.
そうなの？,Is that so?
えっ、なんかさ、脇腹とかからさ,"What? It's like, from the side or something."
こう、サワッとさわられたとき,When he touches me like that...
触る,Touch it.
ううっん、みたいな声出しちゃう,"I'm going to make a sound like, ""Ummmm."
どんなマッサージ行ってるの？,What kind of massage do you get?
ちょっと怪しいマッサージ行ってるんじゃないの,I think you're getting a fishy massage.
怪しい,Weird.
いや、怪しいマッサージは言ってないんだけど,"No, I'm not talking about a weird massage."
あの普通のマッサージだよ,It's just a regular massage.
そんなソワッとか触ってくるかな,I don't know if she'll touch me like that.
もうゴリゴリやれない,I can't do that anymore.
ゴリゴリ,I can't do it again.
やれない,I can't do it.
いやでも最初に　,"No, but first things first.　"
最初ファーストタッチ,First touch.
ファーストタッチの時点で、だって,"At the first touch, because..."
時点,At the point
こんな感じで,Like this.
この時点でなんか,At this point...
これはもう,This is too sensitive.
いけちゃん、感度が良過ぎるじゃないですか,"Ike-chan, you're too sensitive."
感度,Sensitivity
そういう問題じゃないんじゃないですか、たぶん,"I don't think that's the issue, I think."
言い方,How to say it
えっじゃ、こちょこちょとかめちゃくちゃ弱い？,"So, you're really weak at rubbing your hands together?"
こちょこちょ,Little by little
めちゃくちゃ,Very much.
えっ、弱いよ,"Eh, it's weak."
無理だよ,I can't do it.
いいですね,That's good.
気持ちいいですね,It feels good.
えっ、混浴初めてきたかもしれない,What? I've never been in a mixed bath before.
露天風呂はめっちゃくるけど,The open-air baths get me a lot.
どうぞ,Here you go.
あったかい、水,Warm water.
いい湯だなって歌ってみて,Sing about how nice the water is.
ズレてる？ズレてない？,Am I off? Am I off?
ずれる,It's off.
ズレてるていうか一定音なんじゃないかな、たぶん,I don't think it's out of tune. I think it's a constant tone. Maybe.
わからない、音痴だからわからない,I don't know. I'm tone deaf.
私もわからない,I don't know either.
私の中で100点のいい湯だった,"It was a good bath, 100 points in my book."
いや、サウナね、過酷だったね,"No, the sauna. That was tough."
海にも入ったし,And we went in the ocean.
楽しかったな,It was fun.
ゆるい企画ばっかりだからさ,"You know, I've always been a loose cannon."
あんま体張ったことなかったもんな,I've never really put my body through anything like that.
確かに,That's true.
あんなに体張ったの初めてかもしれない,I don't think I've ever put my body through anything like that before.
次はなにする？滝にうたれる？,What's next? Get water-logged?
滝,Waterfall.
打たれる,Get hit by a waterfall.
打つ,Hit.
打ち合わせする,To discuss
打ち合わせる,to make a meeting
打ち込む,strike into
打ち切る,break through
打開する,to strike out
打つかる,to strike
打付ける,to strike with
いや、ほんとに滝に打たれたいと思ってね,"No, I really wanted to get hit by a waterfall."
高尾山とか行きたいと思って,I wanted to go to Mount Takao or something.
滝行しにいこう、なんか,"Let's go to a waterfall, something like that."
腐ったメンタルを叩き直すっていう企画,It's a plan to beat back my rotten mental health.
うちらメンタル腐ってるもんね,"I have a rotten mind, right?"
滝に打たれてメンタル直してきましょう,Let's go get hit by a waterfall and fix our mental problems.
直したい,I want to fix it.
くすぐったいって思っちゃうんじゃない？,I think you'd be ticklish.
そこまでじゃない,Not that much.
さすがに痛いと思う,I'm sure it hurts.
ファーストタッチからすごい痛いから、多分,"It hurts like hell from the first touch, I think."
それでくすぐったいとか,So if you're ticklish.
ソワソワするとかいったら,Or ticklish.
ソワソワ,Soothing.
滝行しながらくすぐったいっていってるんだよ,I'm saying it tickles like a waterfall.
ヤバすぎでしょ,That's too bad.
サイコパス,Psychopath.
でもいけちゃん、すぐったいっていい出しそうだけどね,"But, Ike-chan, I'm sure you'll say you're ticklish."
いいそうだよね,I'm sure you will.
私そういうヤバいとこあるかもしれない,I think I might have a bad side like that.
ちなみにあの、反対側をうつしたい,"By the way, I want to show you the other side."
ちなみに,By the way...
こんな感じです,It's like this.
ここでさ、全力で泳ぐやつやりたい,I want to swim as hard as I can here.
どこを目指しているんでしょう,I wonder where they're going with that.
いや、でも貸してくれて嬉しいね,"No, but I'm glad you let me use it."
だって、なかったらうちら入れなかったよ,I wouldn't have been able to get in there without it.
ほんとだよね,You're right.
こう中のパットがパカパカしてるんだけどさ,The padding's bouncing around.
うちもパカパカしてる,"Mine's bouncing, too."
これ10年ぐらい前からあるのかな,I wonder if it's been like this for 10 years.
閉じましょう,Let's close it.
なんか迷走する気がする,I feel like I'm going astray.
いったんここで閉じよう,Let's close it here.
いったん ,For now. 
6日火曜日のお天気をお伝えします。,Here's the weather for Tuesday the 6th.
まずは天気図を見ていきます。,"First, let's look at the weather map."
6日火曜日9時の予想天気図です。,Here's the forecast for Tuesday the 6th at 9:00.
高気圧に覆われて晴れる所が広がりそうです。,High pressure will cover the area and it will be sunny.
ただ、一部、天気の崩れがありそうです。,"However, there will be some breakdowns in the weather."
詳しく見ていきます。,We will take a closer look.
8時から時間を進めていきます。,We'll start at 8:00 a.m. and move forward in time.
広く晴れるところがほとんどですが、,Most of the area will be sunny.
四国、太平洋側や、紀伊半島南部,"Shikoku, the Pacific Ocean, and the southern Kii Peninsula"
東海は雲が広がりやすくなりそうです。,"Clouds are likely to spread over Shikoku, the Pacific Ocean, and the southern part of the Kii Peninsula."
大気の状態が不安定となり、,Atmospheric conditions will be unstable.
こちらの地域,This area
東海、甲信の山沿いを中心に、,There is a possibility of sudden rain along the mountains in the Tokai and Koshin regions.
急な雨の可能性があります。,There is a possibility of sudden rain.
ザッと強まる雨に注意してください。,Watch out for sudden and heavy rain.
続いて、気温予想です。,Next is the temperature forecast.
朝6時から見ていきますと、,From 6:00 a.m.
東日本や北日本の内陸を中心に冷え込みが増しそうです。,It is expected to get colder mainly in inland areas of eastern and northern Japan.
ここ最近は暖かい日が続いておりましたが、平年並みの気温となりそうです。,"We have been experiencing warm days recently, but the temperature is expected to be around normal."
暖かさに体が慣れている方も多いかと思いますので、,I think many of you are used to the warm weather.
気温がガクッと下がります。,The temperature will drop drastically.
体調には気をつけてお過ごしください。,Please take care of your health.
明日のお天気についてご覧いただきました。,We have had a look at the weather for tomorrow.
明日は広く日差しが届きそうですね。日差しを有効にお使いください。,It looks like we'll have widespread sunshine tomorrow. Please make the most of the sunshine.
最初私の直感「新緑」だったんですよねえ,"My first instinct was ""fresh green""."
でも新緑じゃないかなぁ,But maybe it's not fresh green.
むずかしいですねぇ。,It's hard to say.
最近...,Recently...
ちょっと自分の、、 センスを疑うようになっちゃいました。,I'm starting to doubt my sense of taste.
最近あの、,Lately...
直感でも当たることが少なくなってきてしまったので,I've been getting fewer and fewer hits from my intuition.
新緑かなと思ったんですけれども,I thought it might be fresh green.
いかがですかみなさん？,What do you think?
コメント：「直感を信じよう！」,"Comment: ""Trust your intuition!"
きっとそうですよ。,I'm sure you're right.
新緑にしましょう！,Let's go with fresh green!
では、見ていきます！,Let's take a look!
正解は,The correct answer is
こちら,This way.
新緑　来い！,"Fresh green, come on!"
新緑,Fresh green
正解：「新緑」,"The correct answer is ""fresh green."""
やったあ！,Yes!
ようやく,At last.
ようやくセンスを,"Finally, some sense."
ようやくセンスを取り戻しました。,I've finally got my sense back.
ここででもねあのね,But you know what?
テンション上げてしまうと,If I get too excited
次回やらかしてしまいそうなので,I'm afraid I'll do something wrong next time.
ここは謙虚に,I'll be humble here.
謙虚にお送りしていきたいと,I'd like to send this to you in a humble way.
思います,I'll be humble.
ではでは、詳しい気象情報について,"Now, let's talk about detailed weather information."
山口さんに伺います,I'll ask Mr. Yamaguchi about detailed weather information.
S-よろしくおねがいします。 Y-おねがいします。,S- Thank you very much. Y-Onegai me.
今日はアタシが,I'll be the one to talk to you today.
やったー！ですよ,Yay! I did it!
やりました！,I did it!
-前回、山口さんの「やった！」 -,"-Last time, Ms. Yamaguchi said, ""I did it!"" -I did it!"
ビルゲイツ氏の（名言）,Mr. Bill Gates' (famous quote)
人生は公平ではない。そのことに慣れよう。です。,Life is not fair. Let's get used to that. That's it.
ね、これはでもそう。,"You know, this is true, too."
時間も、、,"Time, too."
平等だって言いますけれども,You say it's equal.
意外と平等じゃないですよね？,"But it's not equal, is it?"
忙しい方は忙しいですし,Busy people are busy.
ねえ？,You know?
時間の余っている方は余っているので,Those who have more time have more time.
時間って,Time.
ねえ 平等じゃないんじゃないかなって,I think it's not equal.
どう思いますみなさん？,What do you think?
環境も平等ではないですよね？,"Environment is not equal either, right?"
ねえ？,Right?
絶対的ではないですね,It's not absolute.
相対的ですよね？,"It's relative, right?"
ふひひ,Hmmm...
まあそれを言ってしまったら元も子もないんですけれども,"Well, there's no point in saying that."
まあ,Well...
人生は有限ですね,"Life is finite, isn't it?"
