Phrase,Translation
いつもドライヤーで髪を乾かします。,I always use a hair dryer to dry my hair.
ここで靴を乾かしてもいいです。,You can dry your shoes here.
シャツをハンガーに掛けて乾かさないと、しわになります。,"If you don't hang your shirt on a hanger to dry, it will get wrinkled."
天気のいい日に布団を日に当てて乾かします。,Dry your bedding in the sun on a sunny day.
洗濯物は乾きましたか。いいえ、まだ乾いていません。,"Is the laundry dry? No, it's not dry yet."
そのシャツはすぐ乾くでしょう。,That shirt will be dry soon.
ペンキが乾いていないから、その壁に触らないでください。,Don't touch that wall because the paint hasn't dried yet.
のどが渇いた。,I'm thirsty.
教室が二階から四階に変わりました。,The classroom has changed from the second floor to the fourth floor.
電話番号が変わったことを友達に知らせた。,I let my friends know that my phone number had changed.
席を替わってくれませんか。,Can you change my seat?
都合が悪かったので、バイトをほかの人に代わってもらった。,"It was not convenient for me, so I asked someone else to take my part-time job."
あの人はちょっと変わっている。,That person is a bit strange.
財布にいくら入っているか、お金を数えました。,I counted the money in my wallet to see how much was in it.
冷蔵庫に何本ビールがあるか、数えてください。,Count how many beers are in the refrigerator.
数えきれないほど大勢人がいました。,There were more people than I could count.
これは彼の代表作の一つに数えられている。,This is counted as one of his masterpieces.
日本語はものによって数え方が違います。,The Japanese language has a different way of counting things.
部屋を出る時、電気を消してください。,Please turn off the light when you leave the room.
たばこの火を消すのを忘れないでください。,Don't forget to put out the cigarette.
これは消しゴムで消せません。,You can't put this out with an eraser.
テレビを消してもいいですか。,Can I turn off the TV?
母にゲームのデータを消されてしまった。,My mother has erased my game data.
このライトは自動的に消える。,This light will turn off automatically.
家の前に止めておいた自転車が消えた。,The bicycle I parked in front of my house has gone out.
ろうそくの火が消えそうです。,My candle is about to go out.
パソコンの故障で、データが消えてしまった。,My computer broke down and my data is gone.
薬を飲んでも、歯の痛みは消えなかった。,The toothache didn't go away even after taking the medicine.
もしもし、聞こえますか,"Hello, can you hear me?"
車の音が聞こえます。,I can hear the car.
子供達が遊んでいるのが聞こえた。,I hear children playing.
変に聞こえるかもしれないけれど、本当の話です,"I know it sounds strange, but it's true."
よく聞こえないので、もっと大きい声で話してください。,"I can't hear you very well, so please speak louder."
部屋でラジオを聞きました。,I listened to the radio in my room.
分からなかったら、先生に聞いてください。,"If you don't understand, please ask the teacher."
おまわりさんに道を聞いてみましょう。,Let's ask the policeman for directions.
音楽を聴きながら、コーヒーを飲みました。,We drank coffee while listening to music.
この薬は風邪に効く。,This medicine is good for colds.
旅行の日程が決まりました。,The schedule for the trip has been decided.
小林さんは大阪に転勤することが決まった。,It was decided that Mr. Kobayashi would be transferred to Osaka.
夏休みにどこへ行くか、まだ決まっていない。,We haven't decided yet where he will go for his summer vacation.
彼は来るに決まっているよ。,"He's bound to come, you know."
彼は仕事が終わると、決まってこの飲み屋に寄る。,He will definitely stop by this bar after work.
待ち合わせの場所と時間を決めましょう。,Let's decide where and when to meet.
どの大学に行くか決めなければなりません。,You have to decide which university you want to go to.
どこに引っ越すかまだ決めていません。,I haven't decided where I'm going to move yet.
彼女は来年イギリスへ留学することに決めている。,She has decided to go to England next year to study.
決められた規則を守ってください。,Please follow the established rules.
ひもが切れてしまった。,The cord has been cut.
話し中に電話が切れた。,The phone went dead while I was talking.
パスポートの期限がもうすぐ切れます。,My passport is about to expire.
このナイフはよく切れる。,This knife cuts well.
友達にバカにされて、彼はキレてしまった。,His friend made fun of him and he lost his temper.
はさみでひもを切りました。,I cut the string with the scissors.
ナイフで指を切ってしまいました。,I cut my finger with the knife.
パソコンを使い終わったら、電源を切ってください。,Please turn off your computer when you are finished using it.
彼とはもう手を切りました。,I've already cut ties with him.
みんな疲れ切っています。,Everyone is exhausted.
コートを着ました。,I put on my coat.
彼女はいつもおしゃれな服を着ている。,She always wears fashionable clothes.
このジャケットを着てみてもいいですか。 どうぞお召しになってみてください。,Can I try on this jacket? Please try it on.
太ったので、このワイシャツはもう着られなくなった。,"I gained weight, so I can no longer wear this shirt."
彼は無実の罪を着せられた。,He was accused of a crime he did not commit.
この山を越えれば、海が見えるでしょう。,"If you go over this mountain, you will see the sea."
応募者は千人を超えました。,More than a thousand people applied.
彼はもう八十歳を超えているだろう。,He is probably over eighty years old now.
ボールはフェンスを越えて、遠くへ飛んで行った。,The ball flew over the fence and into the distance.
この辺りの土地は肥えている。,The land around here is fertile.
タイヤがパンクして、困っています。,My tire is flat and I'm in trouble.
彼は経済的に困っている。,He is in financial trouble.
困ったなあ。道に迷ってしまった。,I'm in trouble. I've lost my way.
どう答えたらいいか分からなくて、困りました。,I was having trouble knowing how to answer.
その子は答えにくい質問をして、親を困らせた。,The boy pestered his parents with questions that were difficult to answer.
東京の電車はいつも込んでいますね。,"Trains in Tokyo are always crowded, aren't they?"
その美術館はあまり込んでいなかった。,The museum was not so crowded.
夕方のラッシュで道が込まないうちに帰りましょう。,Let's go home before the streets are crowded with the evening rush.
この欄に名前を書き込んでください。,Please write your name in this box.
彼はプールに飛び込んで、泳ぎ始めた。,He jumped into the pool and began to swim.
犯人はナイフで彼を殺した。,The murderer killed him with a knife.
庭の虫を殺すために、薬を買ってきた。,I bought some medicine to kill the bugs in my garden.
男性が部屋で殺されているのが発見された。,A man was found murdered in his room.
彼女は虫一匹殺せないほど優しい人だ。,She is so kind that she can't kill a single bug.
約束を破ったら、彼女に殺されそうだ。,"If I break my promise, she's going to kill me."
三万人を超す人々が球場に集まった。,More than thirty thousand people gathered at the stadium.
隣の家に若い家族が越してきた。,A young family has moved into the house next door.
厳しい冬を越さなければなりません。,We have to survive the harsh winter.
気温は四十度を超しました。,The temperature was over forty degrees Celsius.
田中様、フロントまでお越しください。,"Mr. Tanaka, please come to the front desk."
日本語で答えてください。,Please answer the question in Japanese.
あの質問に答えられなかった。,I couldn't answer that question.
ドアをノックしたが、誰も答えなかった。,"I knocked on the door, but no one answered."
試験は問題をよく読んでから答えなさい。,Read the questions carefully before answering the test.
そのチームはファンの期待にこたえて優勝した。,"The team won the championship, meeting the fans' expectations."
都合が悪くて、友達の誘いを断った,I turned down my friend's invitation because it was inconvenient.
彼女にデートを断られました。,My girlfriend refused to go on a date with me.
残念ですが、その仕事はお断りします。,"I'm sorry, but I'm going to have to decline that job."
彼女の頼みでは断れない。,I can't say no when she asks me to.
辞める時は一か月前に断ってください。,"When you quit, please say no a month in advance."
時計が壊れました。,My watch is broken.
このテレビは壊れています。,This TV is broken.
壊れた電話機を修理してもらった。,I had a broken telephone repaired.
この機械は壊れやすいので、気を付けて運んでください。,"This machine is fragile, so please carry it with care."
そのいすは壊れそうです。,That chair is going to break.
このいすを壊したのは誰ですか。,Who broke this chair?
携帯電話をお風呂に落として、壊してしまった。,I dropped my cell phone in the bath and broke it.
弟にパソコンを壊されました。,My brother broke my computer.
働きすぎて、体を壊してしまいました。,I worked too hard and broke my body.
食べすぎて、おなかを壊さないようにしてください。,Please don't eat too much and get sick to your stomach.
昨日は一日中曇っていました。,It was cloudy all day yesterday.
天気予報によると、明日は午後から曇るそうだ。,"According to the weather forecast, it will be cloudy tomorrow afternoon."
その地方は、冬は曇った日が多い。,That region has a lot of cloudy days in winter.
ラーメンを食べたら、眼鏡が曇ってしまいました。 ,I ate some ramen noodles and my glasses fogged up. 
彼の顔は、不安で曇っていた。,His face was clouded with anxiety.
東京とニューヨークを比べると、どっちが寒いですか。,"If you compare Tokyo and New York, which one is colder?"
誰が一番背が高いか比べてみましょう。,Let's compare who is the tallest.
今年は去年に比べて雪が多いです。,There is more snow this year compared to last year.
前回と比べれば、今回のテストは簡単だ。,"Compared to last time, this test is easier."
富士山の美しさは、ほかの山と比べられない。,The beauty of Mt. Fuji cannot be compared to other mountains.
母は私にプレゼントをくれました。,My mother gave me a present.
先生は私に本を買ってくれました。,The teacher bought me a book.
この問題が分からないんですが、教えてくれませんか。,"I don't understand this problem, can you help me?"
ちょっと暑いんだけど、窓を開けてくれない。,"It's a little hot, but you won't open the window."
父は私に車を貸してくれなかった。,My father wouldn't lend me his car.
日が暮れる前に帰ろう。,Let's go home before dark.
明日何時に来ますか。,What time will you be here tomorrow?
バスはまだ来ていません。,The bus hasn't come yet.
日本へ日本語の勉強をしに来ました。,I've come to Japan to study Japanese.
土曜日にパーティーがあるんですが、来られますか。,"There's a party on Saturday, can you come?"
先生は学生に辞書を持って来させました。,The teacher asked the students to bring a dictionary.
その鍋に少し水を加えてください。,Please add a little water to that pot.
この料理は、もう少し塩を加えたほうがいいと思う。,I think you should add a little more salt to this dish.
彼を仲間に加えたらどうですか。,Why don't you add him to your group?
買い物の合計金額に消費税を加えると、いくらになりますか。,"How much is the total amount of your shopping, plus the sales tax?"
猫が魚をくわえて、逃げて行った。,The cat took the fish in its mouth and ran away.
道を間違えました。,I took a wrong turn.
ごめんなさい。電話番号を間違えてしまいました。,I'm sorry. I got the wrong phone number.
間違えて、隣の部屋に入ってしまった。,I went into the next room by mistake.
傘を間違えないように、名前を書いておいた。,I wrote my name on the umbrella so that I wouldn't be mistaken for my brother.
私はよく兄と間違えられます。,I'm often mistaken for my brother.
この手紙は住所が間違っている。,This letter has the wrong address.
試験の答えを二つ間違った。,I got two answers wrong on the test.
間違って、この本を持って来てしまった。,I brought this book by mistake.
間違った電車に乗ってしまった。,I got on the wrong train.
次の交差点を右に曲がってください。,Please turn right at the next intersection.
ネクタイが曲がっていますよ。,Your tie is crooked.
この定規は少し曲がっているようです。,This ruler seems to be a little crooked.
左へ曲がると、公園がありますよ。,Turn left and you'll find a park.
彼は曲がったことが嫌いだ。,He hates crookedness.
針金を曲げて、籠を作った。,He bent a wire and made a basket.
けがをしたので、足が曲げられなくなった。,I got injured and I can't bend my legs anymore.
傘の骨を曲げてしまった。,I bent the bones of my umbrella.
この書類は折り曲げないで保管してください。,Please keep this document unbent.
どうしても彼は意見を曲げようとしない。,"For the life of him, he refuses to bend his opinion."
この仕事は私に任せてください。,Please leave this job to me.
旅行の間、犬の世話を妹に任せた。,I left my sister to look after the dog while I traveled.
彼はまだ経験がないから、この仕事は任せられない。,"He doesn't have much experience yet, so I can't leave this job to him."
どうやってそこへ行くか、あなたにお任せします。,I'll leave it to you to figure out how to get there.
その件は山田さんに任せられている。,Mr. Yamada has been entrusted with that matter.
テニスの試合で彼に負けてしまった。,I lost to him in a tennis match.
そのチームは四対三で相手チームに負けました。,His team lost to the other team by four to three.
次の試合には負けないように頑張ろう。,Let's try not to lose the next match.
彼女は誘惑に負けて、その指輪を買ってしまった。,She was tempted and bought the ring.
値段をまけていただけませんか。,Can you give me a discount on the price?
足にけがをしたので、包帯を巻いた。,"He had an injury on his leg, so he put a bandage on it."
彼女はスカーフを首に巻いている。,She is wearing a scarf around her neck.
彼の才能には舌を巻いた。,I was amazed at his talent.
庭に花の種をまいた。,I sowed some flower seeds in the garden.
芝生に水をまいてください。,Water the lawn.
彼らは国を守るために戦った。,They fought to defend their country.
彼はいつも約束を守ります。,He always keeps his promises.
山田さんはいつも時間を守らなくて、困ります。,"Yamada is always on time, and that bothers me."
レポート提出の締め切りは絶対に守ってください。,Please be sure to meet the deadline for submitting reports.
開発から自然を守ろう。,Let's protect nature from development.
終電に間に合わなかった。,I missed the last train.
六時の飛行機に間に合うように急ぎましょう。,Let's hurry up so that we can catch the plane at six o'clock.
一時間目の授業に間に合いそうもない。,I'm not going to be able to make it to my first period class.
約束の時間に間に合わなければ、彼女は怒るだろう。,She will be angry if we don't make it to the appointment on time.
あと五千円あれば、十分間に合います。,"If I have another five thousand yen, I can make it in time."
ちょっと待ってください。,Please wait a minute.
月曜日の五時にお待ちしております。,I'll be waiting for you at five o'clock on Monday.
もうこれ以上待てません。,I can't wait any longer.
友達から返事が来るのを待っています。,I'm waiting for a reply from my friend.
彼女に一時間も待たされました。,She made me wait for an hour.
扇風機が回っていて、涼しい。,"The fan is running, and it's cool."
京都のお寺を見て回るにはバスが便利です。,The bus is a convenient way to see the temples in Kyoto.
歌う順番が回ってきた。,It was my turn to sing.
子供達が公園を走り回っています。,The children are running around the park.
忙しくて、目が回りそうだ。,"I'm so busy, I feel giddy."
その瓶の蓋は回して開けます。,The lid of that bottle is opened by turning it.
このつまみを右に回せば、お湯が出ます。,"If you turn this knob to the right, hot water will come out."
砂糖を回してくれませんか。,Could you please turn the sugar?
彼は別の課に回された。,He was sent to another section.
その雑誌を読み終わったら、私に回してください。,"When you finish reading that magazine, please turn it to me."
横浜で道に迷ってしまった。,I've lost my way in Yokohama.
どっちの靴を買おうか迷っています。,I'm not sure which shoes I should buy.
途中で道に迷わないように、地図を持って行こう。,Let's take a map with us so that we don't get lost on the way.
途中で道に迷わないように、地図を持って行こう。,Let's take a map with us so that we don't get lost on the way.
その駅の周りは道が複雑で、迷いやすい。,The streets around the station are complicated and it's easy to get lost.
そんな言葉に迷わされてはいけない。,Don't be misled by such words.
彼は背が高いので、目立ちます。,"He is tall, so he stands out."
その服は目立ちすぎます。,Those clothes are too conspicuous.
メモを目立つ場所に置いておこう。,Let's put the note in a conspicuous place.
彼女は日本語が目立って上手になった。,She has become noticeably better at Japanese.
今日は目立ったニュースはない。,There is no conspicuous news today.
今日は天気がいいから、山がよく見える。,"It's a beautiful day, and the mountains look good."
ここからは何も見えません。,You can't see anything from here.
彼は疲れているように見えた。,He looked tired.
山田さんは若く見えますね。,Yamada-san looks young.
先生は間もなくお見えになります。,The doctor will be here shortly.
食事の後で歯を磨きます。,I'll brush my teeth after dinner.
出かける前に靴を磨きました。,I polished my shoes before I left.
彼は眼鏡のレンズを磨いてもらった。,He had the lenses of his glasses polished.
彼女の車はいつもぴかぴかに磨いてある。,Her car is always polished to a shine.
柔道の腕を磨くために、日本に来ました。,I came to Japan to polish my judo skills.
山田さんはあの部屋でテレビを見ています。,Yamada is watching TV in that room.
映画でも見に行きませんか。,Why don't we go and watch a movie?
あの試合をご覧になりましたか。,Did you see that match?
パスポートを拝見します。,I'd like to see your passport.
できるかどうか分かりませんが、やってみます。,"I don't know if I can do it, but I'll try."
ちょっとその本を見せてください。,Let me see that book for a minute.
田中さんに家族の写真を見せてもらった。,Mr. Tanaka showed me a picture of his family.
景気は回復の兆しを見せている。,The economy is showing signs of recovery.
こんな残酷な映画は子供に見せられない。,I can't let my children see such a cruel movie.
必ずやってみせます。,I'll make sure I do.
父は日本への留学を認めてくれた。,My father allowed me to study in Japan.
やっと日本の大学の入学を認められました。,"Finally, he was admitted to a Japanese university."
彼は失敗を認めて、謝った。,He admitted his mistake and apologized.
鈴木さんは自分が間違えたことを認めようとしない。,Ms. Suzuki refuses to admit that she made a mistake.
彼女は努力と実績が認められて、昇進した。,She was promoted for her efforts and achievements.
アパートが見つかった。うん、いいのが見つかったよ。 ,"I found an apartment. Yeah, I found a good one."
捜していた本がやっと見つかりました。,I finally found the book I was looking for.
新しい仕事がまだ見つからない。,I still haven't found a new job.
部屋の鍵が見つからなくて、困りました。,"I couldn't find the key to my room, so I was in trouble."
その学生は先生に見つからないように、こっそり教室に入った。,The student sneaked into the classroom so that the teacher would not find him.
面白い本を見つけたので、紹介します。,I found an interesting book.
道に財布が落ちているのを見つけました。,I found a wallet lying on the street.
田中さんを見つけたら、私に電話するように言ってください。,"If you find Mr. Tanaka, please tell him to call me."
日本で仕事を見つけたいと思っています。,I'm hoping to find a job in Japan.
レポートを書くのに丁度いい資料が見つけられなかった。,I couldn't find just the right material to write my report.
彼の会社はとてももうかっているらしい。,I heard that his company is very profitable.
カジノでいくらもうかりましたか。十万円もうかりました。 ,How much money did you make at the casino? I made a hundred thousand yen. 
その商売は期待したほどもうからなかった。,The business was not as profitable as I had hoped.
もうかったら、ごちそうしてくださいね。,"When you make a profit, please treat me to a meal."
彼が会社まで車に乗せてくれたので、もうかった。,"He gave me a ride to the office, so I made a profit."
彼は投資でお金をもうけました。,He made money from his investments.
競馬でいくらもうけましたか。三万円ぐらいもうけました。,"How much did you make from horse racing? I made about 30,000 yen."
そんな簡単にもうけられる仕事はないだろう。,I don't think there is any job that can make money that easily.
彼は駅前のビルに事務所を設けた。,He set up an office in a building in front of the station.
役所の一階に相談窓口が設けられている。,A consultation desk is set up on the first floor of the government office.
秘密を漏らさないでください。,Please don't divulge any secrets.
このカーテンは光を外に漏らさない。,This curtain doesn't let any light leak out.
誰かが会社の情報を外に漏らしている。,Someone is leaking information about the company to the outside world.
彼女は思わずため息を漏らした。,She let out an involuntary sigh.
彼の説明を聞き漏らしてしまった,I missed his explanation.
友達から誕生日のプレゼントをもらいました。,My friend gave me a present for my birthday.
これは先生から頂いた辞書です。,This is a dictionary I got from my teacher.
友達に空港まで車で送ってもらった,My friend gave me a ride to the airport.
すみませんが、もう少し静かにしてもらえませんか。,"I'm sorry, but could you please be quieter?"
道がわからないんですが、教えていただけませんか。,"I don't know the way, could you please tell me?"
ホースから水が漏れている。,The water is leaking from the hose.
変なにおいがしますが、ガスが漏れていませんか。,There's a strange smell. Is there a gas leak?
カーテンのすき間から明かりが漏れています。,Light is leaking from a gap in the curtains.
名簿から彼の名前が漏れていた。,His name was leaked from the name list.
秘密は彼の口から漏れたらしい。,The secret seems to have leaked out of his mouth.
社長に面会を求めました。,I requested a meeting with the president.
声を上げて、助けを求めた。,I raised my voice and asked for help.
その会社は一年以上経験のある人を求めている。,The company is looking for someone with at least one year of experience.
そのかばんは、どこでお求めになりましたか。,Where did you purchase that bag?
入場券は入口の窓口でお求めください。,Please purchase your admission ticket at the entrance counter.
すみませんが、荷物を持ってくれませんか。,"I'm sorry, but can you help me with my luggage?"
私は今お金を持っていません。,I don't have any money on me right now.
そのかばんをお持ちしましょうか。,Would you like me to take your bag?
母に重い買い物袋を持たされた。,My mother made me carry a heavy shopping bag.
森さんは大きな店を持っています。,Mr. Mori owns a big store.
彼は急に顔をこちらに向けた。,He suddenly turned his face toward me.
彼女は怒って、私に背を向けた。,She got angry and turned her back on me.
彼は日本に向けて、出発した。,He was off to Japan.
マラソン大会に向けて、毎日走っています。,I'm running every day for the marathon.
記者団の質問は、すべてその政治家に向けられた。,All of the reporters' questions were directed at the politician.
写真を撮りますから、こちらを向いてください。,Please turn around so I can take your picture.
彼女は教師に向いていると思います。,I think she's a good teacher.
この服は若い人に向きません。,This dress is not suitable for young people.
じゃがいもの皮をむいてください。,Please peel the potatoes.
着物の帯を結ぶのは難しい。,It's difficult to tie a kimono sash.
このバスは二つの都市を結んでいる。,This bus connects two cities.
彼女は髪の毛を結んで、ポニーテールにした。,She tied her hair up into a ponytail.
日本の会社と契約を結ぶことができた。,I was able to sign a contract with a Japanese company.
二人は十年間交際して、やっと結ばれました。,They were in a relationship for ten years and finally tied the knot.
子供達がボールを投げて遊んでいます。,The children are playing by throwing a ball.
そこにある鍵をこっちに投げてください。,Please throw the key over here there.
そのピッチャーは速い球を投げる。,That pitcher throws a fastball.
彼は肩を壊してしまって、ボールが投げられない。,He has broken his shoulder and can't throw the ball.
途中で投げないで、最後まで頑張ろう。,"Don't throw the ball in the middle of the game, but try to finish it."
鳥が鳴いています。,The birds are singing.
赤ちゃんが泣いている声が聞こえる。,I can hear the baby crying.
試験に受かり、うれしくて泣いた。,I was so happy to have passed the exam that I cried.
彼女を泣かせてしまった。,I made her cry.
去年の夏、農家は水不足に泣かされた。,"Last summer, the farmers cried for lack of water."
本がなくなってしまった。,I've lost my books.
株には興味がなくなりました。,I am no longer interested in stocks.
牛乳がなくなりそうだから、買って来てください。,"We are about to run out of milk, so please go and buy some."
祖父が亡くなって、五年になります。,It's been five years since my grandfather passed away.
山田さんは去年お亡くなりになりました。,Mr. Yamada passed away last year.
どこかで財布を無くしてしまった。,I've lost my wallet somewhere.
この書類は絶対に無くさないでください。,Please don't lose this document.
試験に落ちて、自信を無くしてしまった。,I failed the exam and lost my confidence.
妹に大事な本を無くされた。,My sister lost her precious book.
彼女は事故で両親を亡くした。,She lost her parents in an accident.
時計が直りました。,The clock has been fixed.
このパソコンはもう直らないと言われました。,I was told that this computer can no longer be fixed.
もう風邪は治りましたか。ええ、すっかりよくなりま した。,"Have you recovered from your cold yet? Yes, I'm all better now."
病気が治るように、ゆっくり休んでください。,Please take a rest so that you can get well.
足のけがは、まだ完全に治っていない。,The injury on my foot is still not completely healed.
日本語で手紙を書いたんですが、間違いを直してもらえませんか。 ,"I wrote a letter in Japanese, could you please correct the mistakes? "
車を直してもらいました。,I asked him to fix my car.
壊れた自転車を直すのに一万円もかかった。,It cost me ten thousand yen to fix my broken bicycle.
五万円をドルに直すと、いくらですか。,"How much would 50,000 yen be in dollars?"
近所の歯医者で虫歯を治してもらった。,I had a cavity fixed at a local dentist.
食器をテーブルに並べてください。,Please arrange the dishes on the table.
いすを二列に並べました。,I arranged the chairs in two rows.
ファイルは番号の順番に並べておいてください。,Please put the files in the order of their numbers.
品物はショーケースに並べてあります。,The items are arranged in the showcase.
本は五十音順に並べられている。,Books are arranged in alphabetical order.
一列に並んでください。,Please line up in a single row.
映画館の前にたくさんの人が並んでいます。,A lot of people are lined up in front of the movie theater.
先生は学生を校庭に並ばせた。,The teacher made the students line up in the school yard.
その通りには、いろいろな店が並んでいる。,There are many stores lined up on that street.
テニスでは彼に並ぶ者はいない。,There is no one to line up with him in tennis.
日本人の友達から日本語を習いました。,I learned Japanese from a Japanese friend.
生け花を習おうと思っています。,I am thinking of learning ikebana.
山田さんはギターを習いたがっている。,Ms. Yamada wants to learn to play the guitar.
彼女は娘に英語を習わせた。,She made her daughter learn English.
子供の時、ピアノを習わされました。,She made me learn piano when I was a child.
日本の生活に慣れましたか。ええ、すっかり慣れまし た。,"Have you gotten used to life in Japan? Yes, I am completely used to it."
大勢の人の前で話すことに慣れていません。,I'm not used to speaking in front of a lot of people.
子供は新しい環境に慣れるのが早い。,Children get used to a new environment very quickly.
彼女は慣れた手つきで筆を使った。,She used the brush with a practiced hand.
ピクニックは、はき慣れた靴で来てください。,Please wear comfortable shoes for the picnic.
一生懸命練習して、テニスが上手になりました。,I practiced hard and became a good tennis player.
ひらがなが全部読めるようになった。,I can now read all hiragana.
その子は大きくなったら、医者になりたいそうだ。,The boy wants to be a doctor when he grows up.
六時に目覚まし時計が鳴った。,The alarm clock rang at six o'clock.
電話が鳴っています。,The phone is ringing.
一日に何時間日本語を勉強なさいますか。,How many hours a day do you study Japanese?
鈴木教授はテニスをなさると思いますか。,Do you think Professor Suzuki plays tennis?
お仕事は何をなさっていますか。教師をしております。,What do you do for a living? I'm a teacher.
飲み物は何になさいますか。コーヒーにします。,What would you like to drink? I'll have coffee.
どうなさったんですか。頭が痛いんです。,What's wrong with you? I have a headache.
ゆうべはよく眠れましたか。私はぐっすり眠れました。,Did you have a good sleep last night? I slept very well.
テストの勉強をしなければならなかったのに、眠ってしまった。,"I had to study for a test, but I fell asleep."
赤ちゃんが眠っているので、静かにしてください。,"The baby is sleeping, so please be quiet."
授業中、思わず眠りそうになった。,"During class, I almost fell asleep unintentionally."
私は八時間以上眠らないと、調子が悪い。,I feel bad if I don't sleep more than eight hours.
いつも何時ごろ寝ますか。,What time do you usually go to bed?
彼は寝ながら本を読んでいる。,He is reading a book in his sleep.
ゆうべ寝る前に宿題をしました。,I did my homework last night before going to bed.
そろそろ寝る時間ですね。お休みなさい。,It's time for me to go to bed. Have a good night.
彼女は一週間も風邪で寝ている。,She has been in bed with a cold for a week.
鳥が籠から逃げました。,The bird escaped from its cage.
泥棒は車で逃げたらしい。,The thief seems to have escaped in a car.
警官は逃げた犯人を追って行った。,The policemen went in pursuit of the fleeing criminal.
火事の場合は、非常口から逃げてください。,"In case of fire, run away from the emergency exit."
彼は質問からうまく逃げた。,He escaped the question well.
この魚は生で食べられますか。いいえ、煮て食べてください。,"Can I eat this fish raw? No, it should be boiled."
この野菜はもう少し煮たほうがいい。,This vegetable needs to be cooked a little more.
あなたはお父さんに似ていますね。,"You look like your father, don't you?"
あの兄弟は顔は似ているが、性格は全然似ていない。,"Those brothers have similar faces, but their personalities are nothing alike."
形の似た漢字があるので、気をつけてください。,"There are some Chinese characters that are similar in shape, so be careful."
彼女は髪を長く伸ばしています。,She lets her hair grow long.
手を伸ばして、本棚の上の辞書を取った。,He reached out and took a dictionary from the top of the bookshelf.
その会社は今、業績を伸ばしている。,That company is now doing well.
日本滞在を一週間延ばしました。,I postponed my stay in Japan for a week.
レポートの提出期限を来週に延ばしてもらった。,The deadline for submitting the report was postponed to next week.
ご注文の料理はもう通っております。,The food you ordered has already been delivered.
レンズを通して町を眺める。,Look at the city through the lens.
どの道を通って行きますか。,Which road will you take?
半年で背が五センチも伸びました。,I've grown five centimeters taller in six months.
髪が伸びすぎたので、美容院に行きたい。,"My hair has grown too long, so I want to go to the hairdresser."
最近、彼は日本語を話す力が伸びました。,"Recently, his ability to speak Japanese has improved."
この頃、日が延びてきましたね。,"The days are getting longer these days, aren't they?"
台風のために出発が三日延びた。,Our departure was postponed by three days because of the typhoon.
東京タワーに上ったら、遠くの山が見えます。,"When you go up to the Tokyo Tower, you can see the mountains in the distance."
自転車で坂道を上るのは大変だ。,It's hard to go up the hill on a bicycle.
富士山に登ったことがありますか。いいえ。でも、いつか登ってみたいです。,"Have you ever climbed Mount Fuji? No, I have not. But I would like to climb it someday."
子供が木に登って遊んでいる。,A child is climbing a tree and playing.
日が昇る前に、神社へ祈りに出かけた。,"Before the sun rose, I went to the shrine to pray."
放課後残って、勉強した。,I stayed after school to study.
まだ仕事が残っているから、帰れません。,I can't go home because I still have work to do.
料理が残ったら、冷蔵庫に入れておいてください。,"If you have any leftover food, please put it in the refrigerator."
彼は日本に残って、勉強を続けるそうです。,He is going to stay in Japan to continue his studies.
全然お金が残っていない。,I don't have any money left at all.
残さないで全部食べてください。,Please don't leave any behind and eat it all.
宿題を忘れたので、先生に残されました。,"I forgot to do my homework, so my teacher left it for me."
美しい自然を子孫に残さなければならない。,We must leave our beautiful nature to our descendants.
このケーキは残しておいて、明日食べよう。,Let's leave this cake and eat it tomorrow.
鈴木さんは家族を東京に残して、大阪に転勤した。,Mr. Suzuki left his family in Tokyo and moved to Osaka for work.
コーヒーを飲みましょう。,Let's have some coffee.
お茶を飲みながら話し合った。,We talked over a cup of tea.
食事の後で、薬を飲まなければならない。,"After dinner, I have to take my medicine."
日本で二十歳未満の人はお酒が飲めません。,People under 20 years old in Japan are not allowed to drink alcohol.
何かお飲みになりませんか。じゃあ、お茶をいただきます,"Would you like to have something to drink? Well, I'll have some tea."
自転車に乗って、図書館へ行った。,I got on my bicycle and went to the library.
新幹線に乗ったことがありますか。,Have you ever been on a bullet train?
九時三十分発の飛行機に乗らなければならない。,I have to catch the 9:30 p.m. flight.
辞書はあの棚の上に載っています。,The dictionary is on that shelf.
このレストランは先月の雑誌に載っていた。,This restaurant was in last month's magazine.
会議には山田さんを除いて全員出席した。,Everyone attended the meeting except Mr. Yamada.
その喫茶店は日曜日を除いて、十時から六時まで開いている。,"That coffee shop is open from ten o'clock to six o'clock, except on Sundays."
最初の五ページは除いてもいいです。,You can exclude the first five pages.
あの店をのぞいてみようよ。,Let's take a peek at that store.
変な音がしたから、ドアの隙間から部屋の中をのぞいた。,"I heard a strange noise, so I peeked into the room through the crack in the door."
洋服を脱いで、浴衣を着た。,I took off my clothes and put on a yukata.
日本では靴を脱いで、部屋に上がります。,"In Japan, you take off your shoes and go up to your room."
ぬれた服を早く脱いだほうがいいですよ。,It's better to take off your wet clothes as soon as possible.
ここでコートを脱いでもいいですか。はい、どうぞ脱 いで ください。,"Can I take off my coat here? Yes, please take it off."
医者は息子のシャツを脱がせて診察した。,The doctor took off his son's shirt and examined him.
雨で服がぬれた。,My clothes got wet from the rain.
そのシャツは洗ったばかりで、まだぬれています。,I had just washed the shirt and it was still wet.
類がぬれないように、かばんにしまった。,I put it in my bag so that it would not get wet.
ぬれた傘をそこに置かないでください。,Please don't leave your wet umbrella there.
