Script.EP1,Translation.EP1,Script.EP2,Translation.EP2
“ふだんの仕事は確かだから 今回は大目に見てやる”ってよ,"but you always do such a good job so I will let it go this time.""",仕事で結果出した時とか― 取引先に かわいい子が入った時とか,Like when I make progress at work or when a cute girl joins the company.
（馨）ああ よかった （トク）おう,-That's great news. -Yes.,かわいい子はどうでもいいけど… 確かにそうなんだよねえ,"I don't care about the cute girl, but I know what you mean."
（馨）でも どういう風の吹き回し？ 昨日はカンカンに 怒ってたんですよね？,"But why did he change his mind? He was angry yesterday, right?",食べ物ってさ 私のニンジンの葉っぱみたいに―,"I think each and every food, like carrot leaves,"
冷静になって考えたらしいんだな,Apparently he calmed down and thought it over.,何かしら思い出のタグが ついてる気がする,has a memory tagged to it.
その現場監督もよ 昔はヤンチャで相当荒れてたって,The supervisor said he himself was reckless and a mess as a young man.,（アキ）ただいま,I'm home.
でも 今はちゃんと働いてる,But he's working properly now.,（アキの母）おかえり アキ 寒かったべ,Welcome back. You must be cold.
だから若いやつは長い目で 見てやらないとってな うん,"So he said he needs to be patient with young ones, too.",（アキ）うまそう～,It smells good.
（美音）よかったですね （トク）おっ おう,I'm glad to hear that.,うわあ 豚汁だ,It's tonjiru. And the other thing?
じゃあ お弟子さんも おとがめなし？,Is your apprentice off the hook?,ねえ あれは？ （アキの母）もちろん あるわよ,It's tonjiru. And the other thing? Of course I made it.
ああ,Nope.,（アキ）やった！,Yay!
でも あれだよ ワンペナとかいうやつ？,"But, he's got a… What do you call it? A penalty stroke?",栄養があっから いっぱい食(け)えな,"It's full of nutrients, so eat a lot."
まあ 次に何かやらかしたらな― クビにしてやっからよ あんな野郎,"If he does anything again, I'll fire that guy.",うん！　ありがとう お母さん,"I will! Thanks, Mom."
フフフッ で 今日は ちゃんと仕事したの？,Did he work properly today?,みんな それぞれ 思い出の味にタグがあるんだろうな,I believe we all have tags for the memorable flavors.
うん いたって普通にね ばっくれる前と同じように,"Yeah, just like usual. The same way he did before bailing.",ここのお料理も― 不思議と楽しかったことばかり 思い出させてくれるんだよね,The dishes I have here bring back good memories.
（馨）えっ？　申し訳なさそうに するとかじゃなくて？,What? He wasn't sorry at all?,そうっすね それで 明日も頑張る元気を もらえます,They do and they give me strength for tomorrow.
ああ もう 反省してんだか してねえんだか,"Well, I don't know if he was sorry or not.",ありがと,Thank you.
今の若いもんってのは まったくな,"Oh boy, the young ones these day.",（馨）はい どうぞ （リョウ）おっ,Here are some apples.
フフッ ああ,"Oh boy, the young ones these day. Yes…",（馨）りんごでーす （リョウ）うまそう,Here are some apples. They look tasty.
今は そういう子が多いみたいだよ （トク）おう,-Apparently they are like that nowadays. -Are they?,（アキ）あっ おいしそう,It must be good. Let's have some.
（ウメ）急に嫌になって ほっぽり出して― で また平然と戻ってくるんだと,They suddenly get fed up and walk out then come back like nothing happened.,（リョウ）いただきます （馨）はい どうぞ～,-Thank you. -Enjoy.
（トク）でもよ もう少し すまなそうにしても いいだろうによ （ウメ）ハハハハハ… （トク）ヘヘヘッ,But he could at least act like he's sorry.,（アキ）いただきまーす,Thank you.
もしかしたら これみたいなものかも,Maybe it's something similar to this.,（美音･馨）いただきます！,-Let's eat. -Let's eat!
（ウメ）うん？,Huh?,いただきまーす,I'm digging in.
どういうことだよ？,What do you mean?,ん～ おいしい,It's delicious.
このみそ漬け― 卵の黄身を みその中に 入れておくだけなんですけど―,"This misozuke is made by simply placing the egg yolk in miso,",ビタミンたっぷりだから 風邪もひかなくなるわよ,"It's full of vitamins, so it'll chase colds away."
結構 大変なの,but it's quite difficult.,うん,Yeah.
細心の注意を払わないと― おみその中で卵の黄身が 崩れてしまうし―,You have to very careful or the yolk will break in the miso.,今日みたいな日って うれしいね （美音）ん？,A day like today makes me happy. Huh?
そうなったら みそ床も台なしです,This will ruin the miso bed.,お客さんからリクエストが来て それに応えられた日 お客さんからリクエストが来て それに応えられた日 ♪～,A day we were able to answer a customer's request.
ああ よく漬かってるね （トク）ああ,-It's well-cured. -Yeah.,♪～ うん そうだね,I agree.
はい 卵黄は扱いづらいけど―,"Yes, it is. Egg yolk is difficult to handle.",いつからかな リクエストが 上がるようになったの,I wonder when all these requests started.
しばらく みそ床に入れておけば だんだん固まっていくし―,"But if you place it in a miso bed, it will gradually thicken",甘納豆のお赤飯とか 作ったよね？,"We made sekihan with amanatto, didn't we?"
よりおいしくなるんですよ,and become even more tasty.,うん 関(せき)さんの リクエストで,It was Seki's request.
（トク）いいあんばいに 漬かってるね,It's cured just right.,あと ウメさんに 頼まれて― 栗の甘露煮が入った 茶わん蒸しも作った,"We also made chawanmushi with chestnut kanroni, requested by Ume."
（ウメ）おいしい （トク）ん～ うん うまみが凝縮してる うん うん…,"Oh, delicious! It's full of umami.",お姉ちゃん 何回もやって― 苦戦してたよね （美音）フフフ…,You had a tough time getting it just right.
この まとわりつくような感じが たまんねえなあ,This creamy texture is so good.,（馨）ん？,What?
熟成されて よりおいしくなったんです,"It has matured, making it even richer in taste.",（美音） ん？　ううん,What? Nothing.
（ウメ）ん～ ああ そっか,"Oh, I see.",うちは常連さんが 多いお店でしょ,"We have a lot of regular customers, right?"
美音坊の言いたいのは そういうこと,Is that what you are implying?,いつも同じ料理 ばかりじゃ― 飽きちゃうし,So we can't keep serving the same thing.
扱いづらい若い衆も―,Place young ones who are difficult to handle,それに…,Besides…
みそ床に入れとけば どうにかなる,in a miso bed and they will turn out okay.,（馨）ん？,Huh?
ウメさん どうにかなるって ちょっと言いすぎよ,Ume. Saying they'll turn out okay is a bit harsh.,楽しいんだよね お客さんが喜ぶ顔 見るのが,It's fun seeing the happy faces of our customers.
卵黄は もともと おいしいものだし それに栄養もたっぷりだし,Egg yolk is tasty to start with and is also full of nutrition.,うん,Yeah.
テヘッ そっか,"Silly me, that's right.",明日は どんなもの 食べてもらおっかな,What should we serve tomorrow?
フフッ ただ 卵の黄身を そのまま出して― お金を頂くことは できないでしょうね,But we can't serve egg yolk as it is and expect people to pay for it.,（馨）明日？ （美音）うん,-Tomorrow? -Yes.
いくら“ぼったくり”って 名前の店でも― そいつは勘弁してもらいてえな （美音）フフフッ,"Even though this place is named Bottakuri, that would be too much of a rip-off.",明日…,"Tomorrow, huh?"
なるほどねえ,I see.,（馨）悩むなあ （美音）うん,-That's tough. -Yes.
もともと おいしいものを 手を加えて違った味わいにする,"You take something that's already tasty, and refine it to make a different flavor.",（馨）カレーは 食べたいかな,I want to eat curry.
それで 客に出せる料理にもなると,Then it will become a dish you can serve to your customers.,（ナレーション） 居酒屋ぼったくり,Izakaya Bottakuri. You just want curry.
はい,Yes.,物騒な名前の このお店には― うまい酒と おいしい料理,"This place with the unsettling name has good drinks and good food,"
確かに,That's true.,そして 今時 珍しい 義理人情がある ～♪,as well as a warmth and dedication that's hard to come by nowadays.
今の若いやつ 育てるってのは― そういうことかもしれねえな,The same may be true when it comes to teaching young people today.,（美音）こよいのお酒は― “厳選辛口 吉乃川”,Tonight's liquor is Gensen Karakuchi Yoshinogawa.
うまいみそ漬けにするために 時間をかけて見守って―,"To make a tasty misozuke you need to take your time and watch over it,",辛口に徹して作り上げた― すっきりとした味わいが 楽しめるお酒です,It is created to be perfectly dry in which you can enjoy the refreshing taste.
みそ床まで 気を使ってってことだよな,"and take good care of the miso bed as well, right?",燗酒はもちろんですが 冷酒でも―,It has a smooth taste when served cold as well as hot.
あんた方 親方連中が いいみそ床なら― 黄身も おいしく仕上がるだろうさ （トク）はあ？,If you are a good miso bed as a boss the egg yolk will turn out delicious.,きれいな口当たりが 味わえますよ,It has a smooth taste when served cold as well as hot. MADE IN NIIGATA PREFECTURE
（馨）塩気がないと つまらなくなるし― ききすぎてても しょっぱくて食べられなくなる,You need salt to taste good but too much will make it too salty to eat.,本日の ワンポイントアドバイスは― “手羽先の煮込み”と “煮こごり”,Today's piece of advice is for stewed chicken wings and nikogori!
親方さんたちも大変ねえ,Being a boss sure is difficult!,水の入った鍋を 強火で火にかけます,Place a pot filled with water over high flames.
まっ 鍛えるのは 黄身が固まってからってことな,So I need to wait to temper them until the yolk thickens.,手羽先10本を入れます このように アクが出てきたら取ります,Put in ten chicken wings and skim the broth of any scum.
うっかり黄身を潰して― みそ床まで 台なしにしねえようにしねえとな,I should be careful not to break the yolk so I don't ruin the miso bed either.,落とし蓋をします,Cover with a drop lid.
ヘヘヘッ （ウメ）じゃあ―,"Well then,",弱火にして このまま 25分 煮込みます,Set the flames to low and cook for 25 minutes.
トクさんの弟子が― おいしい みそ漬けになることを祈って…,shall we toast to Toku's apprentice hopefully becoming delicious misozuke?,落とし蓋を取ります 調味料を入れて落とし蓋をし―,Take the lid off and add the seasoning then place the lid back.
（トク）え？　え？ （馨）フフフ… ウメさん,"What? Ume, they are not misozuke.",もう一度 25分煮込んだら― 手羽先の煮込みの完成です,Stew for another 25 minutes and your chicken wings are complete.
（トク）おい おいおい （馨）みそ漬けじゃないってば,"Ume, they are not misozuke.",そして ここがポイント この煮汁は捨てないでください,And this is today's piece of advice. Do not throw away the broth.
あっと ごめんなさい 間違えた,"Oh, so sorry! My mistake.",別の容器に移して― 冷蔵庫で一晩寝かせれば―,Pour it into a different container and let it rest overnight
みそ漬けじゃなくて 立派な職人さんだ,Not misozuke but a fine workman.,煮こごりの完成です,and the nikogori is complete.
頼むよ ウメ婆,"Come on, Ume-ba.",簡単でしょ？,"Easy, right?"
（トク）今日のおすすめは…,What's today's special?,あなたも これで ぼったくり,"With this, you too can be a rip-off."
ワカサギのフライなんて どうですか？ 日本酒にもね 合うと思いますよ,How about deep-fried pond smelt? It will go well with sake.,（カナコ）餃子の焼き方 教えてくんない？ 餃子？,-Can you teach me how to pan-fry gyoza? -Gyoza?
（トク）じゃあ これ頼む,I'll have that.,美音坊 いらっしゃい （ウメ）カナコは― あんまり料理が 得意じゃないのに― 頑張ってるんだ,"Kanako isn't good at cooking, but she's trying her best."
はい,Yes.,（美音）次回 「居酒屋ぼったくり」,"On the next Izakaya Bottakuri,"
（美音）この店の店主だった父は よく言っていた,My father who used to own this pub would often say…,第３話 「美味(おい)しい 餃子の焼き方」,"episode three, ""How to Pan-Fry Tasty Gyoza."""
（健吾）美音,Mine.,お楽しみに,Don't miss it! Subtitle translation by Amanda Rie Okino
誰でも買えるような酒とか― どこの家庭でも 出てくるような料理で―,"We serve food that can be found in any household,",,
金取ってる うちの店は もう それだけでぼったくりなんだ,"and that in itself makes us a rip-off, a bottakuri.",,
（健吾）でもな 美音 たとえ ありきたりの料理でもな,"But Mine, even though they may be common recipes,",,
一つ一つ丁寧に心込めて作んだ,cook every single dish with all your heart.,,
料理食べた人が 思わず笑み浮かべるような一皿,A dish that unexpectedly brings smiles to people's faces…,,
それができて初めて―,"Once you can make that,",,
払った金 惜しくねえって 客が思ってくれるようになんだ,our customers will not regret the money they spend.,,
でも まだ父さんは そこまでじゃない,But I haven't reached that point yet.,,
だから この店の名前は “ぼったくり”でいいんだよ,That's why Bottakuri is the right name for this place.,,
（美音） お待ちどおさま,Here you are.,,
ありがと,Thank you.,,
すごい すごい,-Here. -Amazing.,,
いただきます,-Let's eat. -Looks good.,,
では フフフ…,Let's dig in.,,
いいね 最高,This tastes marvelous.,,
うめえよ 美音坊,"It's delicious, Mine-bo.",,
よかった,I'm glad.,,
（ウメ） すごい すごい,It's amazing.,,
（ウメ）アハハ… （馨）おいしい,It's good.,,
（馨）おいしいね （トク）うん うまい,"Tasty, isn't it?",,
次は馨が 作りますから,Kaoru's making it next time.,,
（馨）えっ 作んない 作んない,"No, I won't.",,
何でよ 食べてるでしょ （馨）やらない やらない,-But you've tasted it. -No way.,,
（トク）じゃあな ごちそうさん,"Thank you, see ya.",,
（美音）ありがとう ございました,Thank you.,,
（馨）お気をつけて （ウメ）はーい,-Take care. -Will do.,,
（ナレーション）居酒屋ぼったくり （ナレーション）居酒屋ぼったくり ～♪,Izakaya Bottakuri.,,
～♪ 物騒な名前の このお店には― うまい酒とおいしい料理,"This place with the unsettling name has good drinks and good food,",,
そして 今時 珍しい 義理人情がある,as well as a warmth and dedication that's hard to come by nowadays.,,
（美音）こよいのお酒は―,Tonight's liquor.,,
“諏訪泉 純米吟醸 満天星”,"Suwaizumi's premium pure rice wine, Mantensei.",,
ふくよかなうまみが 楽しめるお酒です,It's a sake with well-rounded umami.,,
しっかりとした うまみのある 肴(さかな)と合わせると― 相互のうまみが 溶け合って―,"When combined with a rich dish, the flavorful tastes will melt together",,
おいしいハーモニーが 楽しめますよ,creating a delicious harmony. MADE IN TOTTORI PREFECTURE,,
本日の ワンポイントアドバイスは― “卵黄のみそ漬け”,Today's piece of advice is… egg yolk misozuke.,,
調味料を入れたみそ床に ガーゼを引きます,Lay out a bed of seasoned miso and place a cheesecloth on top of it.,,
スプーンの背で くぼみをつけます,Make indentions with the back of a spoon.,,
そこに 取り分けた卵黄を―,"Then take your separated egg yolks,",,
潰さないように そっと置きます,and gently place them in the indentations so they will not break.,,
ガーゼに塗ったみそ床で 蓋をすれば… 出来上がり,"Place a cheesecloth with miso on top, cover it all with a lid and you're done!",,
翌日から楽しめますよ お好みの漬かり具合を お楽しみください,"You can enjoy it from the next day, but try your preferred length of curing.",,
あなたも これで ぼったくり,"With this, you too can be a rip-off.",,
（アキ）ニンジンの 葉っぱ 食べさせて,Let me have carrot leaves next time.,,
何の料理 作んの？,What are you making?,,
（美音）どうぞ,Here.,,
（要(かなめ)）燗上がりって こういうことを言うのか,So this is what heating sake does…,,
（美音）次回 「居酒屋ぼったくり」,"On the next Izakaya Bottakuri,",,
第２話 「想い出につける付箋(タグ)」,"episode two, ""Tag of Memories.""",,
しっかりぼったくらせて いただきます,I'll make sure to rip you off.,,
（美音）お楽しみに,Don't miss it! Subtitle translation by Amanda Rie Okino,,
