Kanji,Romaji,Type,Meaning,Kanji1,Kanji2
達成する,tassei,(trans.),"to achieve, attain, accomplish","達 - accomplished, reach, arrive, attain","成 - turn into, become, get, grow, elapse, reach"
タッチする,tacchi,(intrans.),to touch,na,na
提案する,teian,(trans.),"to propose, suggest","提 - propose, take along","案 - plan, suggestion, draft, ponder"
提出する,teishutsu,(trans.),"to submit, present","提 - propose, take along","出 - exit, leave, go out, come out, put out, protrude"
徹夜する,tetsuya,(intrans.),to work all night,"徹 - penetrate, clear, pierce, strike home","夜 - night, evening "
到着する,tōchaku,(intrans.),to arrive,"到 - arrival, proceed, reach, attain","着 - don, arrive, wear"
投票する,tōhyō,(intrans.),"to vote, cast a ballot","投 - throw, discard, abandon, launch into, join","票 - ballot, label, ticket, sign "
統一する,tōitsu,(trans.),"to unify, unite","統 - overall, relationship, ruling, governing ",一 - one
取り引きする,torihiki,(trans.),to have dealings with,"取 - take, fetch, take up ","引 - pull, tug, jerk, admit, install"
当選する,tōsen,(intrans.),to be elected,"当 - hit, right, appropriate, himself ","選 - elect, select, choose, prefer"
投資する,tōshi,(intrans.),to invest,"投 - throw, discard, abandon, launch into, join","資 - assets, resources, capital, funds, data"
通知する,tsūchi,(trans.),"to inform, give notice","通 - traffic, pass through, avenue, commute","知 -  know, wisdom "
追加する,tsuika,(trans.),"to supplement, add","追 - chase, drive away, follow, pursue, meanwhile ","加 - add, addition, increase, join, include"
通過する,tsūka,(intrans.),"to pass, go through without stopping","通 - traffic, pass through, avenue, commute","過 - overdo, exceed, go beyond, error"
運営する,un’ei,(trans.),"to manage, run, administer","運 - carry, luck, destiny, fate, lot, transport, progress
","営 - occupation, perform, build, conduct (business)"
運転する,unten,(trans.),"to drive, to manage (money)","運 - carry, luck, destiny, fate, lot, transport, progress
","転 - revolve, turn around, change "
和解する,wakai,(intrans.),to be reconciled with,"和 - harmony, Japanese style, peace, soften","解 - unravel, notes, key, explanation"
約束する,yakusoku,(trans.),to promise,"約 - promise, approximately, shrink ","束 - bundle, sheaf, ream, tie in bundles, govern"
予防する,yobō,(trans.),"to prevent, protect","予 - beforehand, previous, myself, I ","防 - ward off, defend, protect, resist "
要求する,yōkyū,(trans.),"to demand, claim","要 - need, main point, essence, pivot","求 - request, want, wish for, require, demand "
養成する,yōsei,(trans.),"to train, develop (a person)","養 - foster, bring up, rear, develop, nurture ","成 - turn into, become, get, grow, elapse, reach"
予習する,yoshū,(trans.),to study beforehand,"予 - beforehand, previous, myself, I ",習 - learn
予想する,yosō,(trans.),"to predict, anticipate","予 - beforehand, previous, myself, I ","想 - concept, think, idea, thought "
予約する,yoyaku,(trans.),"to reserve, book","予 - beforehand, previous, myself, I ","約 - promise, approximately, to shrink"
誘拐する,yūkai,(trans.),to kidnap,"誘 - entice, lead, tempt, invite, ask","拐 - kidnap, falsify "
輸入する,yunyū,(trans.),to import,"輸 - transport, send, be inferior ","入 - enter, insert"
優勝する,yūshō,(intrans.),to win a contest or championship,"優 - tenderness, excel, surpass, actor, superiority","勝 - victory, win, prevail, excel "
輸出する,yushutsu,(trans.),to export,"輸 - transport, send, be inferior ","出 - exit, leave, go out, come out, put out, protrude"
郵送する,yūsō,(trans.),to send by mail,"郵 - mail, stagecoach stop ","送 - escort, send "
誘惑する,yūwaku,(trans.),"to tempt, lure, entice","誘 - entice, lead, tempt, invite, ask","惑 - beguile, delusion, perplexity"
絶望する,zetsubō,(intrans.),"to have no hope, be in despair","絶 - discontinue, sever, cut off, abstain, interrupt","望 - ambition, full moon, hope, desire, aspire to"
増加する,zōka,(trans.),"to increase, grow, augment","増 - increase, add, augment, gain, promote ","加 - add, addition, increase, join, include"
