Words,Translation
2 人は話がよく合う,2 People are good to talk to
話の口を切る,Interrupting a conversation
話の腰を折る,Breaks off a conversation
話の仲間入りをする,Joining in on the conversation
話の最中に客が来た,A guest arrives while you are talking.
話を始める,Start talking
話を続ける,Keeping the conversation going
悩みを話す,Talking about your problems
わけを話す,Telling the Reason
電話で話す,Talking on the phone
君に話したいことがある,I have something to tell you.
だれにも話してはならない,Don't tell anyone.
父子の間に会話がない,There was no conversation between the father and son.
女の子たちの楽しげな会話が聞こえてきた,I could hear the girls talking happily.
若者の会話の中によく出てくる言葉　,A word that often appears in the conversations of young people　
電話がふさがっている,The phone is blocked.
電話の音で目を覚ました,I was awakened by the sound of the phone
会社の電話を私用に使うな,Don't use the company phone for personal use
共通の話題がない,We have nothing in common.
あの人は話題が豊富だ,He's got a lot to talk about.
土地神話は崩壊した,The land myth has collapsed.
童話の語り手,Fairy tale teller.
寝たきり老人の世話をする,I take care of old people who are bedridden.
家畜の世話をする,I take care of the livestock.
子供の世話をする,I take care of children.
家庭教師をお世話くださいませんか,Would you like to be my tutor?
サミットは各国首脳が顔を合わせ対話するよい機会だ,The summit is a good opportunity for the leaders of the world to meet and talk.
その国との本格的な対話,A real dialogue with the country.
自然との対話,A dialogue with nature.
手話で話す,Speaking in sign language.
彼に電話したが話し中だった,"I tried to call him, but he was busy."
何度かけても話し中で一向につながらない,"I kept trying to call him, but he was busy, and I couldn't get through."
私たちは３０分立ち話をした,We stood there talking for half an hour.
彼らは長い間立ち話をしていた,They were standing there for a long time.
話し手の周りには人だかりがしていた,There was a crowd of people around the speaker.
私は話し手に対して反感を持った,I felt antagonistic towards the speaker.
話し合いの上で,After the discussion
話し合いの結果,The result of the discussion
この問題について徹底的に話し合おうじゃないか,Let's have a thorough discussion about this issue.
私に何も話しかけないで,Don't talk to me about anything.
子供に話し掛けたが逃げちゃった,"I tried to talk to the child, but he ran away."
我々はその問題について話し合った,We've discussed the issue.
何十回も,Dozens of times
世界の十大小説,Ten Great Novels of the World
あの子は一を聞いて十を知る,She hears one and knows ten.
十分な知識,Enough knowledge
十分な経験,Enough experience
十分な栄養,Enough nutrition
十分な睡眠,Enough sleep
十分な資産,Enough assets
十分な話し合い,Enough discussion
十分な成績,Enough grades
十分な理由,Enough reasons
こんな仕事は 5 分もあれば十分だ,Five minutes is enough time for this kind of work.
十字路に立つ,Standing at the crossroads
学校は四月十日から始まります,School starts on April 10th.
私は二十日までに帰るつもりです,I'll be back by the 20th
今日は金曜日、十月二十日だ,"Today is Friday, the 20th of October"
十月二十日の二時半に会えますか？,Can you meet me at 2:30 on the 20th of October?
我々日本人は二十歳で大人の年齢になる,We Japanese reach the age of maturity at twenty.
彼女は二十歳のときに最初の子供を産んだ,She had her first child when she was twenty.
僕はまだ二十歳になっていない,I haven't turned 20 yet.
先月うちの二十歳になる娘が女の子を出産した,Last month my 20 year old daughter gave birth to a baby girl.
この年の正月は十四日から十七日まで四日間の雪を見た,This New Year's Day we saw four days of snow from the 14th to the 17th.
結婚式は十月末に行われる,The wedding will take place at the end of October.
木の葉は十月に落ち始める,The leaves begin to fall in October.
私は八時から十一時まで勉強します,I will study from eight to eleven o'clock.
彼は十一時に全ての照明を消した,He turned off all the lights at eleven.
もう十一時よ,It's already eleven.
私は十一時に起きました,I woke up at eleven.
不十分な明かり,Not enough light
不十分な日光,Not enough sunlight.
不十分な食事,Not enough food.
不十分な広さ,Not enough space.
それでもまだ不十分だ.,Still not enough.
10 分では加熱時間が不十分だ,Ten minutes is not enough time for heating.
十年なんてあっという間だね,Ten years is a blink of an eye.
四つ角は二つの道が十字に交わった所である,The four corners are the crossroads of two roads.
何十もの種類の動物や鳥,Dozens of species of animals and birds.
そのロッカーは十代の若者アイドルだ,That rocker is a teenage idol.
十代の若者の集団に、金を奪われた,A bunch of teenagers took his money.
彼は、十代の頃はその川を泳いで渡ることができた,He could swim across that river when he was a teenager
十代の子供たちは親から独立したいと思っている,Teenagers want to be independent from their parents
やっと金曜日ですよ,It's finally Friday!
私は普段金曜日に市場に買い物に行きます,I usually go to the market on Fridays to shop.
金儲けをするためには、彼はどんなことでもする,He'll do whatever it takes to make money.
金儲けをすることが人生の目的でない,Making money is not the purpose of life.
トムは金儲けのことしか頭にない,Tom only cares about making money.
金銭に換算できない,Cannot be translated into money
金銭を扱う仕事,A job that deals with money
れは金銭では計れない,There are many things that cannot be measured by money.
金銭に換算できないものが数多くある,There are many things that cannot be measured in terms of money.
人生を金銭の立場から見てはいけない,You can't look at life from a monetary standpoint.
その場で彼女に現金が渡された,Cash was given to her on the spot.
現金で取引する,I deal in cash.
現金で払う,Pay in cash.
現金の場合は 1 割引,1 discount for cash
現金を積み上げる,Accumulate cash
現金を用意する,Prepare cash
お支払いは現金でお願いいたします,Please pay in cash
その買い物は現金で支払った,I paid for that purchase in cash
で支払うつもりなの？,Are you going to pay with
現金で払うと安くなりますか,Is it cheaper to pay in cash?
奨学金を出す,I'll give you a scholarship.
彼は奨学金を受けてアメリカに留学中です,He's studying in the U.S. on a scholarship
奨学金をもらいました,I got a scholarship
奨学金のおかげで彼女は留学した,The scholarship got her to study abroad
金庫に入れる,Put it in the safe
トムは金庫を開けてパスポートを取り出した,Tom opened the safe and took out his passport.
これは、金庫の中に入れとこうよ,Let's put this in the safe.
にカギをかけてください,Please lock the safe
彼は金庫を私に預けた,He left the safe with me.
納入した品の代金が未払いだ,You haven't paid for the goods you delivered.
代金に消費税を上乗せする,I'll add sales tax to the price.
代金を受け取る,I'll take the money.
お金が沢山必要ですか,Do you need a lot of money?
お金持ってる？,Do you have money?
お金がないから買えないんだ,I can't buy it because I don't have money.
私にお金があれば買うことができるのに,"If I had the money, I could buy it."
時間払い賃金,Hourly wages
賃金を上げる,Increase wages
個数払い賃金,Piece Rate Wages
業種別賃金,Industry Wage
私は彼にその場ですぐ賃金を払った,I paid him right then and there.
賃金よりも職の安定の方が重要である,Job security is more important than wages
まだ預金が残っている,I still have some money left in my bank account.
預金を引き出す,Withdrawal of deposit
預金が増えた,My deposit has increased.
彼女はこの大学の基金の寄贈者である,She is the donor of this university's endowment.
基金に繰り入れる,Transfer to the fund
大学に基金を贈,Give an endowment to the university
基金を設ける,Establish an endowment
銀行為替で送金する,Transfer money by bank draft
親元からの送金が途絶えた,Remittance from parents has stopped
毎月 2 万円ずつ貯金する,"Save 20,000 yen per month"
私は５０万円の貯金が銀行にある,"I have 500,000 yen in the bank"
私は貯金を使い果たしてしまった,I've spent all my savings.
料金不足だと駐車場のゲートは開かない,Parking gates won't open if you don't pay enough
たいていのホテルは週末のほうが料金が安い,Most hotels charge less on weekends
またバス料金が上がった,The bus fare has gone up again.
料金を徴収する,They charge a fee.
割引料金で,at a discounted rate.
ドリンク料金は別ですか,Do you charge extra for drinks?
予約を変更すると料金が変わりますか,"If I change my reservation, will the rate change?"
料金は部屋につけておいていただけますか,Can you please leave the fee in my room?
料金はここでお支払いください,Please pay the fee here
税金がかからない　,No tax　
たばこには今税金がどれくらいかかっていますか,How much is the current tax on cigarettes?
税金を課する,Tax is imposed
その値段は税金を含みます,The price includes tax.
これらの商品にはみな重い税金がかかっている,All of these products are heavily taxed.
税金にはどういう種類がありますか,What are the different types of taxes?
税金はどこで払うのですか,Where do I pay my taxes?
私は七時に家を出た,I left my house at seven.
七時に電話をかけます,I'll call you at seven.
一週間は七日です,A week is seven days.
仙台では七月に雨が多い,"In Sendai, it rains a lot in July"
この川は、七月に泳ぐのは危険です,It is dangerous to swim in this river in July
七夕は七月に祝う,Tanabata is celebrated in July
さくらんぼは六月か七月に熟す,Cherries ripen in June or July
確かに七十はすぎてる,It's definitely past seventy.
温度は七十度です,The temperature is seventy degrees.
彼は十七歳で高校を退学した,He dropped out of high school at seventeen.
昨日は私の十七歳の誕生日だった,Yesterday was my seventeenth birthday.
７月には七夕がある。,"In July, there is Tanabata."
七夕は漫画によく出てくるので、私もそこそこ知っています,"Tanabata is often mentioned in manga, so I know a lot about it."
光線はプリズムによって七色に分解される,Light rays are broken down into seven colors by a prism
七面鳥は鶏より少し大きい,A turkey is a little bigger than a chicken
七面鳥を食べたことはありますか,Have you ever eaten a turkey?
アメリカ人ってどうして感謝祭で七面鳥を食べるの？,Why do Americans eat turkey on Thanksgiving?
この年の正月は十四日から十七日まで四日間の雪を見た,This New Year we saw four days of snow from the 14th to the 17th
北斗七星は簡単に見つかる,The Big Dipper is easy to find
世界の七不思議,The Seven Wonders of the World
彼以外は皆ここにいる,We're all here except for him.
水以外何も見えない,He can't see anything but water.
彼は仕事以外に興味がない,He's not interested in anything but work.
文学なら学校以外で研究ができる,"With literature, he can do research outside of school"
京都以外で行きたいところはどこですか,Where would you like to go outside of Kyoto?
私は読書以外にすることがない,I have nothing to do but read
もちろんこの規則にも例外がある,"Of course, there are exceptions to this rule"
例外が発生した,An exception has been made
君の場合は例外にしよう,I'll make an exception in your case
例外に対処する,Dealing with exceptions
例外のない規則はない,There is no rule without exceptions.
規則に例外を設ける,Make an exception to the rule
"いや, これは意外なことを伺いました","Well, that's a surprising thing to hear."
戸外は意外なほど寒かった,It was surprisingly cold out there.
結果は意外でした,The result was surprising.
訪ねていったらその人は外出していた,"When I went to visit him, he was out."
午後なら外出できま,I can go out in the afternoon.
昨日は雨で外出ができなかった,It was raining yesterday and he couldn't go out.
その病人はようやく外出が許された,The sick man was finally allowed to go out.
外交の再開,Diplomacy resumed.
保険の外交をやっている,I'm an insurance diplomat.
外国で暮らしてみたい,I want to live in a foreign country.
外国から帰る,Returning from abroad
海外への発送,Shipping to a foreign country
海外に留学をする,Study abroad
海外の情報を集める,Gathering information on foreign countries
海外危険情報,Overseas danger information
その家は外から見て知っているだけだ,You only know that house from the outside.
窓の外の風景,The view outside the window
門の外に立つ,Standing outside the gate
窓の外を見る,Looking out the window
彼女には案外な一面がある,There's a side to her that you might not expect
案外よくない成績,Her grades are not as good as expected
勝負は案外時間がかかった,The game took longer than expected
屋外の空気,Outdoor air
屋外の気温,Outdoor temperature
屋外活動,Outdoor Activities
屋外広告物,Outdoor Advertising
屋外場面,Outdoor Scene
外科手術,Surgical Operation
外科手術を受ける,Undergoing Surgery
外科手術　,Surgical Operation　
外科救急,Surgical emergency
これらの患者には外科的な処置だけでは十分とは言い難い,Surgical procedures alone are not sufficient for these patients
外部からの刺激,External stimuli
外部から見ると,From the outside looking in
外部からは内部事情はわからない,The outside world doesn't know what's going on inside
外部との交通が途絶している,Traffic to the outside is disrupted
建物の外観,Appearance of the building
その建築は外観が立派だ,The exterior of the building is magnificent.
野外の澄んだ空気,Clear air in the open air
野外の特設会場,A special outdoor venue
野外活動,Outdoor activities
野外運動施設　,Outdoor exercise facility　
彼はそのチームから除外された,He was excluded from the team.
彼は除外された,He was excluded.
責任ということを除外しては人生に何の意味もない,There's no point in life if you exclude responsibility.
ボタンが外れている,You're unbuttoned.
第 1 ボタンが外れているよ,First button's off.
あごが外れた,Jaw's off.
ドアが外れた,Door's off.
期待が外れた,Expectations are off.
最初の攻撃は目標を外れた,First attack missed the target.
彼は調子が外れている,He's out of shape.
彼はけがでチームから外れた,He's injured and off the team.
最初の攻撃は目標を外れた,The first attack missed its target.
会話体の英語,Conversational English
口語の英語,Colloquial English
日用の英語,Daily English
正確な英語,Accurate English
正しい英語,Correct English
あの人は英語がよくできる,That person speaks English well
英語がうまくなる,English gets better
共通の言語,Common language
脳梗塞で言語が不自由になる,A stroke leaves me speechless
世にも不思議な物語,A strange story in the world
彼の歌には物語がある,There is a story in his song
2 か国語に通じている人,A person who is fluent in two languages
3 か国語を使用する映画,A movie that uses three languages
敬語の使い方が間違っている,Incorrect use of honorific expressions
敬語の正しい使い方,How to use honorific expressions correctly
敬語を使って話す,Speaking with honorifics
語源を説明する,Explaining the etymology of words
言葉を語源的に研究する,Etymological study of words
これらの語は語源が同じだ,These words have the same etymology.
その言葉の語源はわからない,I don't know the etymology of the word
語彙が限られている,He has a limited vocabulary.
彼は英語の語彙が豊富だ,He has an extensive vocabulary in English.
上代日本語の語彙の豊富なことは驚くほどだ,I'm amazed at how rich the vocabulary is in Shanghainese.
単語をたくさん知っている,He knows a lot of words.
知っている単語の数　,How many words does he know?　
単語の意味を調べる,Look up the meaning of a word
単語が覚えられない,I can't remember a word
真実を語る,Speaking the truth
経験を語る,Speaking from experience
思いのままを語る,Speak your mind
思いつくままに語る,Speak as you think
あまり語学ができない,I can't speak the language very well.
語学の修得には根気が必要だ,It takes patience to learn a language.
用語が適当ではなかった,The term was not appropriate
用語の選択　,Choice of terminology　
用語の誤り,Incorrect terminology
彼は語気が荒い,He has a sharp tongue.
語気の鋭い言い方をする,He has a sharp tongue.
趣味の悪い俗語を使う,He uses slang words that are in poor taste
俗語を使いたがる,He likes to use slang
口語と俗語の違いは何ですか?,What is the difference between colloquialism and slang?
テレビ業界の俗語　,Slang in the TV Industry　
日本語処理能力　,Japanese Processing Skills　
彼女は外国語が得意だ,She's good at foreign languages.
なかなか外国語が達者だ,She is quite good at foreign languages.
思うことを外国語で言うのは非常に難しい,It is very difficult to say what I think in a foreign language.
外国語の読み書きができる,Can read and write foreign languages
役所の用語は外国語が多い,Many government terms are in foreign languages.
半分だけ減らす,Reduce by half
金を半分使う,Spend half the money
半分ずつ分ける,Divide it in half
湿気の多い気候はその半島の特色です,Humid climate is a characteristic of that peninsula
半年に一度の大バーゲン,The big bargain once every six months
は30代前半です,are in their early 30s.
前半彼らは押せ押せムードとなった,"In the first half of the year, they became a pushover."
費用の大半は会社もちだ,Most of the costs are paid by the company.
加盟国の大半が反対に回った,Most of the member states were against it.
市の大半が火事で焼けた,Most of the city burned down in the fire.
半端な知識,Half knowledge.
半端な長さ,Half the length.
半端な時間,Half the time.
"半端に残すとあとが大変だから, 全部使ってしまえ","You can't leave half of it behind, you have to use it all."
物事を半端でやめるのは僕は嫌いだ,I don't like to stop things halfway.
先週の半ばまで,Until the middle of last week
学期の半ばごろに,Halfway through the semester.
客の半ば以上は年配の男性だった,More than half of the clients were older men.
仕事を半ばでやめる,I quit my job halfway through.
2003 年の半ばに,In the middle of 2003
宴半ばに席を立つ,I leave the party midway through
赤道は地球を二つの半球に分ける,The equator divides the earth into two hemispheres.
半径5 センチの円を描く,A circle with a radius of five centimeters.
半径30 キロ以内に,within a radius of 30 kilometers.
参議院議員は 3 年ごとに半数が改選になる,Half of the members of the House of Councillors are elected every three years
りんごの半数が腐っている,Half of the apples are rotten.
クラスの半数の生徒はコーヒーを飲む,Half the students in a class drink coffee
コストを半減する,Cut the cost in half
価値が半減した,Value reduced by half
12 歳未満の子供は半額です,Children under 12 pay half the price
鉄道の料金は子供は大人の半額だ,Kids pay half the price of adults on the train
車の代金を現金で半額支払った,I paid half the price for the car in cash
私はその品物を半額で購入した,I bought the item at half price
私はそれを半値で買った,I bought the item at half price
半値に負ける,I lose to half price
半値に下げる,Reduce the price to half
半値で売る,Sell it at half price
半々の割合で混ぜる,Mix it in half and half
半々に分かれる,Divide it in half
びんに酢と油を半々に入れてよく振ってください,Put half the vinegar and half the oil in a bottle and shake well
半袖で来ればよかった,I should have come in short sleeves.
半袖のを見せてください,Let me see your short-sleeved one.
半袖で寒くないんですか？,Aren't you cold in short sleeves?
私にはいい父でした,He was a good father to me.
父親らしい態度をとる,He acted like a father.
その方は私にとって父親も同然だった,He was like a father to me.
祖父はいつもこの椅子に座る,My grandfather always sat in this chair.
父母に相談する,I talk to my parents.
私が今日あるのは伯父のおかげです,I am what I am today because of my uncle.
君のおやじさんはいくつだ,How old is your uncle?
御尊父の死に謹んで哀悼の意を表します,My deepest condolences on the death of your father.
あなたのお父さんは先生ですか,Is your father a teacher?
お父さんは私に良い席を見つけてくれた,He found me a good seat.
私はいつも祖父母の元気さに驚きます,I'm always amazed at how healthy my grandparents are.
ルーシーは祖父母に育てられた,Lucy was raised by her grandparents.
建国の父祖,Our founding fathers.
父方の親族,Paternal relatives.
お父様は何をなさっているんですか？,What does your father do?
あなたのお父様はどこにいらっしゃいますか？,Where is your father?
お父様にそっくりですね,You look just like your father.
雨で増水した川,A river swollen with rain.
隅田川で花火大会がある,There's a fireworks display at the Sumida River.
河川の増水に注意してください,Watch out for rising rivers.
河川の汚濁が進んでいる,River pollution is increasing.
そこにきれいな小川が流れていた,There was a beautiful stream running through it.
ここから 3 キロほど川上に村がある,There is a village about three kilometers upstream from here.
川岸の風景,Scenery of the riverbank
川岸を上流のほうへ歩いていく,Walking upstream along the river bank
川沿いに住む,Living along the river
川沿いの町,A town along the river
川沿いの道,The road along the river
川沿いの道路を行く,Going along the riverside road
川幅は 10 メートルほどだ,The river is about 10 meters wide.
川端に立つ　,Standing at the riverside　
川端を歩く,Walking along the riverside
まず、私の活動範囲は、おもに養老川下流域です,"First of all, my area of activity is mainly the lower reaches of the Yoro River."
私たちは川下にある橋を渡って回り道をしなければならなかった,We had to take a detour across a bridge downstream.
川下りをする,Going downstream
