Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
テントって色々あるんだねぇ,There are so many kinds of tents.,結構かかったなぁ,That took a while.,非常用の銀シートはアルミホイルで代わりにならんかな？,Can't I use aluminum foil instead of silver sheets for emergencies?,温泉入れないし、景色も見れないし、近くでキャンプすればよかったかも,"We couldn't take a hot spring bath, and we couldn't see the scenery... Maybe we should have camped nearby.",明日のお昼はそれ使ってここで焼肉やろうね？,"Let's use it for lunch tomorrow and do yakiniku here, okay?",お隣キャンパーさんだ,There's a camper next door.,浜松よりちょっと冬休み長いって、なんか嬉しい,I'm glad that I have a little longer winter break than Hamamatsu.,こっち選んで正解だったな,It's a good thing we chose this way.,今日は昼が遅かったから,We had a late lunch today.,やった,Yes!,え、もともと父がアウトドア好きで,"Well, my father always loved the outdoors."
ね、ね、あおいちゃん、うこの自立式と非自立式って何？,"Hey, Aoi, what are freestanding and non-freestanding tents?",疲れた,I'm tired.,アルミホイルね。アルミホイル！,Aluminum foil. Aluminum foil!,頂上すぐだな,We're almost at the top.,大惨事だわ,It's a disaster.,こんにちは！,Hello!,お正月は今年もおばあちゃん家かな,I think I'll go to my grandma's for New Year's again this year.,雪もまったく積もってないし,There's no snow on the ground at all.,夜は軽めに今日は昼が遅かったから,We'll have a light dinner.,焼きマシュマロっておいしいよね,"Roasted marshmallows are delicious, aren't they?",子供の頃毎週のように家族でキャンプしてたんですが,"When I was a kid, we used to go camping every week as a family."
ああ、それな。自立式テントはフレームがあってペグや張り綱がなくても立てるテント,"Oh, that. A freestanding tent is a tent with a frame that can be erected without pegs or ropes.",あかんかったの、面接？,Was it a bad interview?,理科室で借りて来たよ！,I borrowed it from the science lab!,こっちはバッチリ見えてんじゃん,I can see this side perfectly.,なでしこちゃんにお土産早く渡しなよ,Why don't you give Nadeshiko a souvenir?,こんいちは！,Good afternoon!,あやちゃんにも会いたいし,"I want to see Aya-chan, too.",頂上,The top,夜は軽めに,I'll have a light dinner.,野クルキャンプでもやったよ,We did it at wild camp.,妹はそのおかげでキャンプが趣味になったようで、たまに一緒に出かけるんですよ,"My sister seems to have taken up camping as a hobby because of that, so we go out together sometimes."
非自立式テントは立てるのにペグや張り綱が必要なテント,A non-supporting tent is a tent that needs pegs or a stakeout to stand.,採用,Hired.,アルミホイルをシュラフの上から巻いてみた,I wrapped the aluminum foil around the top of the sleeping bag.,きれいだな,It's beautiful.,日持ちするクッキーにすれば良かったか,I should've made cookies to last longer.,もしかして、あっちのテントの？,Are you from the tent over there by any chance?,でもその前にクリスマス,"But first, Christmas!",もう折り返し地点か,We're already at the turnaround point.,これで,Here you go.,まあ、待て待て、焼いたマシュマロをチョコビスで挟んで,"Well, wait, wait, wait, wait... roasted marshmallows sandwiched between chocolate screws.",姉妹キャンプですか,Sister camping?
非自立式はフレームがなかったりする分コンパクトにできるって書いてあるで,I've read that non-supporting tents can be more compact because they don't have frames.,こっちもや,Same here.,おお、さっきより暖かくな・・・,"Oh, it's warmer than before...",温泉は帰り入ればいい,We can go to the hot spring on the way back.,二人が楽しそうに話してたから、なんか入っていけなくて,"The two of you were talking so happily, I just couldn't get into it.",はい,"Yes, sir.",おっ、クリスマス・・・,"Oh, Christmas...",これは予定より早く着いて,Maybe we'll get there earlier than we planned.,ホットサンドメーカーの両面にバターを塗って、豚まんを挟んでプレス,"Butter both sides of the hot sandwich maker, put a pork bun in between, and press.",はい、できた,Here we go.,四尾連湖よかったですよね,"Lake Yotsuoren was nice, wasn't it?"
ほんとうだ,It's true.,これでとりあえず今後の活動資金は確保できそうやね,I guess we'll have enough money for future activities now.,やっぱりよくわかんね,I still don't get it.,それより今日は温まるキャンプご飯作るぞ！,I'll make us a nice warm camp meal today!,何話してたの？,What were you talking about?,なんかおしゃれな道具がいっぱい,What a lot of fancy gear!,はい、今日は木皿の塗料はがしとスキレットのシーズニングを行います,Today I'm going to remove the paint from the wooden plates and season the skillet.,ゆっくりいろいろ見てまわれるかもし…,Maybe we can arrive earlier than we planned and take our time to look around...,軽く焦げ目がつくまで焼けば、完成,"Cook until lightly browned, and you're done!",スモアって言うらしいよ,They call them s'mores.,そうですね,"Yes, it was."
お前ら、雑誌読んで満足すんなよ,"Don't be satisfied with reading magazines, guys.",せっかく新入部員も入ったことだしな,Now that we have new members...,そっかそっか、空気の層を作れば断熱効果が得られるんやね,"I see... if you make a layer of air, you can insulate it.",さて、どこで作ろうかな,"Now, where should we cook it?",これ、長野のお土産,This is a souvenir from Nagano.,ベテランキャンパーさんだ,A veteran camper.,仕事増えとるやないか,That's more work!,通行止めナウ,Road closure now!,後はお湯を沸かして,"Then, boil some water.",スモア、おいしそう,S'mores sound good.,四尾連湖キャンプか,Sio-ren-ko camping.
道具は使ってなんぼなんだからさ,"Don't be satisfied with reading magazines, because tools are only as good as the people who use them.",この冬こそはキャンプやるぜ！,We're going camping this winter!,梱包用のプチプチシートがいいらしいわ,I heard that bubble wrap is good for this.,キャンプ場行くのもまだ早いし,It's too early to go to the campground.,お土産？私に？,Souvenir? For me?,お邪魔しました,Sorry to bother you.,シーズニング,Seasoning,山間部の冬季通行止め,Winter road closure in the mountains,できた,Done!,んー、うまー,Mmm. Yum.,雰囲気よくて、焼肉もうまかったな,"The atmosphere was great, and the grilled meat was delicious."
ということで...実物をご用意しました,That's why... I've prepared the real thing.,あああ！,Aah!,へえ、あれ使えるんだ,"Oh, I can use that?",自販機止まってる,The vending machines are out.,生菓子だから早く食べなよ,"They're fresh sweets, so eat them quickly.",カップルでキャンプしてるのかな,Maybe they're camping as a couple.,シーズニングとは表面面の錆止めを落としオリーブオイルなじませる,Seasoning is the process of removing rust inhibitors from the surface and blending it with olive oil.,来た道また戻るのか,We're going back the way we came?,餃子のたれを少しつけて,Put a little gyoza sauce on it.,何これ、リンちゃん、おいしすぎるよ,"What is this, Lin? It's too good.",けど、あれは一体なんだったんだろう？,But what the hell was that all about?
それ夏休みにキャンプやろうとしてネット注文したのに、,I ordered it online for camping during the summer vacation.,さてさて、そろそろいいかな,"Well, I guess it's time to go.",プチプチー！,Puchi-puchi!,ここにしようか,Let's go here.,ありがとう、りんちゃん！,"Thank you, Rin!",火が消えてる,The fire's out.,鉄鍋を買ったら初めに行う慣らし作業です,It's the first thing you do when you buy an iron pan.,県外なう,Out of prefecture,バターのおかげで表面が揚げたみたいにサクサクだ,"Thanks to the butter, the surface is as crispy as if it were fried.",相変わらずうまそうに食いやがるぜ,They look as good as ever.,どうしたの？顔色悪いよ、リンちゃん,"What's wrong with you? You don't look so good, Lin."
9月に届いてほったらかしになっとった激安テントやないの,"I ordered it online for camping during the summer vacation, but it arrived in September, and I've been neglecting it.",真っ赤だ,It's bright red.,事務室でもらってきたよ,I got it from the office.,もうちょっと回ってみよう,Let's go around some more.,大事にするよ,I'll take good care of it.,着火剤ケチり過ぎたか,Maybe I was too stingy with the igniters.,しっかり洗った後、空焼きをして、オイルを塗ってを繰り返します,"After washing it thoroughly, bake it in the air and apply oil to it repeatedly.",自販機動いててよかった,I'm glad I had a vending machine.,ヤバい！もう1個買ってくればよかったかも,"Oh, man! Maybe I should have bought another one.",いい所だよね,It's a nice place.,ただいま,I'm home.
980円,980 yen.,担々餃子鍋,Dumpling hot pot.,プチプチをアルミホイルの上から巻いてみた,I wrapped it around the aluminum foil.,こっちは牧場か,This is a farm.,いや、食えよ,"No, eat it.",今度は１枚まるごと入れとこう,I'll put a whole one in there next time.,取っ手が超熱くなるので、気を付けましょう,"The handle gets super hot, so be careful!",わざわざ寒い日に出かけて,I went all the way out on a cold day.,ほうじ茶も豚まんに意外と合うし温まる,Hojicha tea also goes surprisingly well with pork buns and warms them up!,富士山も見えて芝生で気持ちいいし,You can see Mt. Fuji and the grass is nice.,お、みんなリンちゃんみたい,You all look like you're here.
各務原、お前その本に載ってるテントの価格読み上げてみろ,"Kakamigahara, read out the prices of the tents in that book.",そんなに辛くないから心配しなくていいよ,It's not that spicy. Don't worry about it.,これなかなか暖かいわ！,That's pretty warm!,ここがいいな,I like it here.,チョコまんじゅう、おいしそう！,These chocolate buns look delicious!,ここが一番端かな,I think this is the end.,そういえば、歴史の田原先生産休するんやて,"By the way, I heard that Ms. Tahara, the history teacher, is going on maternity leave.",温かい飲み物で温まる,Warming up with a hot drink,山ガール（=山+girl、登山が好きな女の子）のお姉さんに感謝だ,"Thanks to the mountain girl (=mountain + girl, a girl who likes climbing mountains) lady!",リンちゃんに聞いてよかったよ,I'm glad you told me.,おかえり,Welcome home.
かかく？,Price?,辛そうで辛くない少し辛いお鍋だよ、奥さん！おいしいよ,"It's not spicy, it's a little spicy, ma'am! Delicious.",この上から断熱効果のダンボール巻けば、完璧やないかな？,Wouldn't it be perfect if we wrapped insulating cardboard over it?,とりあえず机と椅子をだして,Let's just get a desk and a chair.,ココアも合うし、牛乳はもちろん、ちょっと背伸びして、コーヒーミルク、,"Cocoa goes well with it. Milk, of course.",上に登れるみたいだ,Looks like we can climb up.,ああ、聞いた聞いた、で、代わりの先生、もう明日から来るらしいぞ,"Yeah, I heard that, and I heard that the replacement teacher is coming tomorrow.",これもマッチポンプの一種なんだろうか,I wonder if this is another kind of match pump.,でも、今日はあまり回れなかったな,But we didn't get around much today.,私じゃないよ、知ってたのはうちのおじいちゃん,It wasn't me. It was my grandpa who knew.,いいな、いいな,I like it. I like it.
三万九千円、四万五千円、五万四千円、六万六千円、八万二千円！,"Thirty-nine thousand yen, forty-five thousand yen, fifty-four thousand yen, sixty-six thousand yen, eighty-two thousand yen!",スーパーの実演販売か？,Is this a supermarket demonstration?,ダンボールだね,Cardboard.,よし,Okay.,いや、お茶も捨てがたい、だって日本人だもの,"No, tea is good too, because we're Japanese.",栗が落ちてる,Chestnuts on the ground.,私が新しい担任なの、ピース,"I'm the new homeroom teacher, Peace.",そういえば、なんでこんな所に何台も車止まってるんだ？,"Speaking of which, why are there so many cars parked here?",キャンプ場つくのこんな時間になっちゃったし,We didn't even get to the campsite until this late.,キャンプ道具くれたおじいちゃん？,The guy who gave us camping gear?,なでしこちゃんも志摩リン団子やる？,"Do you want to do the Shima Rin dumplings, Nadeshiko?"
目がチカチカしてきた,My eyes are starting to sting.,はいはい、たんとお上がり,Here you go.,もらってくる。もらって来た,I'll get some. I'll get some.,まずは手堅く、簡単な料理から,Let's start with a simple meal.,りんちゃん、開けていい？一緒に食べよう？,"Rin-chan, can I open it? Can I eat it with you?",よう,Hey.,こんなん来たらウケるよな,It'll be funny if she comes like this.,ああ、登山に来ているのか,"Oh, they're here for climbing.",旅下手だな、私,"I'm not a good traveler, am I?",うん、昔から色んな所でキャンプしてて,"Yeah, he's been camping in various places for a long time.",やる！,I'm in!
だろ？これくらいしか買えるやつなかったんだよ,Right? This is the only one I could afford.,田舎のおばあちゃんか,You're a country woman.,わんこみたいやな,I want a dog!,今日の夕飯は、コッヘル１つでできるスープパスタ,"This evening's dinner is pasta in soup, which can be made with just one kettle.",うん,Yes.,そろそろプチ鍋の下準備しとこっと,I'd better start prepping the petit pots.,マンガやないか,It's like a cartoon.,ここから登っていくんだ,We're going up from here.,なんだばかやろう？,What kind of idiot are you?,富士山の周りにも詳しかったから、聞いたんだ,"He was familiar with the area around Mt. Fuji, so I asked him.",なんだそのネーミング？,What's with the name?
ということで,So I decided to,それじゃ、いただきます,Let's eat.,ダンボールもプチプチの上から巻いてみた,I also wrapped the cardboard around the petite.,茹で汁が出ないので、キャンプや山などでおすすめです,"Since there's no water to boil, it's recommended for camping and mountain cooking.",何これ？,What is this?,リンちゃん、火付いた？,"Lin, did you get the fire started?",話変わるけど、この前キャンプしたとき結構歩いたじゃんか,"On a different note, the last time we went camping, we walked a lot.",怖っ、登山する人は怖くないのか,Scary! Aren't climbers scary?,なでしこか,A girl.,そうだったんだ,I didn't know that.,志摩リン団子,Shima Rin Dango.
中庭で実際に組み立ててみた,I actually assembled it in the courtyard.,いただきます,Bon appétit.,おぉ！これマジ暖かいぞ！,Oh! It's really warm!,あらかじめ切って持ってきた具材を、オリーブオイルとおろしにんにくで炒めます,Sauté the pre-cut ingredients with olive oil and grated garlic.,ミニ賽銭箱？,A mini money box?,着火剤全部使ったのに全然着かん,"I used all the igniters, but it's not lit at all.",後で調べたら駅から笛吹公園までバス出てたわ,I found out later that there's a bus from the station to Fuefuki Park.,おはようございます,Good morning.,もしもし,Hello?,私も会ってみたいな,I'd like to meet him too.,お団子、お団子、おいしい団子、お1つ、お1つ、ちょうだいな,"Dumplings, dumplings, delicious dumplings, give me one, give me one, give me one."
まず平らでペグが刺さる柔らかい地面を探します,"The first thing I did was to find a flat, soft spot on the ground where I could stick the pegs.",うまい,It's good.,本当？,Really?,そこに水１５０ｃｃとコンソメ一個を投入し沸騰させます,Add 150 cc of water and a consommé and bring to a boil.,お前もか,You too?,動画だとすぐ付いてるのになぜ？,"In the video, it's lit right away.",しかも片道100円,And it's 100 yen each way.,おはようございます,Good morning.,リンちゃん、夜景の写真ありがとうもしもし,"Lin, thank you for the night view photo.",キャンプおじいちゃん,Camping grandpa.,見つかっちゃった,They found us!
場所が決まったらテント本体を広げ,"Once you have found a spot, unfold the tent.",よし！どうじゃ？体の芯からあったまるじゃろう？,"Good! How's that? It'll warm you from the inside out, won't it?",あおいちゃん、これなら夏用シュラフでも大丈夫だね！,"Aoi, this will be fine even with a summer sleeping bag!",パスタはこのままでは鍋に入らないので２つ折りにして投入,"The pasta will not fit in the pot as it is, so fold it in half and put it in.",ええ、これ焚火とか料理とか焼肉もできるんだ,"Yeah, it's for bonfires, cooking and grilling.",どうしよう？,What should I do?,え、そうなん？,"Oh, really?",あなたも登山にいらしたんですか？,Are you here to climb a mountain too?,リンちゃん、夜景の写真ありがとう,"Thank you for the night photo, Rin.",変わった人だよ,He's a strange one.,山梨銘菓しまりんだんご,Yamanashi's famous Shimarine Dango
たたんであるポールを伸ばします,Extend the folded poles.,田舎のおばあちゃん気に入ったのか？,"Do you like it, country bumpkin?",せやなあ、助かったわ！,Thanks for the help!,標高が高い所では沸点が低く、茹でても芯が残ってしまう事があるので、そういうときは、細いパスタを使います,"At high altitudes, the boiling point is low, and sometimes the core remains after boiling, so use thin pasta.",すごい！こんなに小さくなる！ええ！,It's amazing! It's so small! Yeah!,リンちゃんが困ってる,Lin is in trouble.,大丈夫か？,Are you okay?,いいえ、原付で長野へ行くところなんですけど,"No, I'm on my way to Nagano on my moped.",大垣だな,Ogaki.,そういえば、犬山さんすごいお肉で夕飯作るんだよね,"Oh, by the way, Inuyama-san, you cook amazing meat for dinner.",できた,It's done.
あいつ、ここの生徒だったのか,I didn't know he was a student here.,でも,But...,これ、トイレ行くときどうすんの？,What are you going to do when you go to the bathroom with this?,パスタが水分を吸って、だんだんお湯が減ってくるので、,"As the pasta absorbs water, the water will gradually decrease.",あのさ、それで今度肉焼いてみる？,"Hey, do you want to cook some meat with it?",そうだ！,That's right!,じゃ、荷物持って登らんでもよかったやな,Then you didn't have to carry your luggage up there.,冬の通行止めで通れなくて,I can't get through because of the winter road closure,よくわかったな,How did you know?,何作るか知ってる？,Do you know what he makes?,どう？どう？,How is it? What do you think?
あの子たちが気になるの？,Are you worried about those kids?,確かに唐辛子がじんわり効いて体の芯からポカポカと,"But it's true, the chili peppers are so mild that they warm you up from the core.",ていうか、ばっちり梱包されて、あたしはこれからどこへ発送されるんだ？,"I mean, where am I going to be shipped to now that it's all packed up?",ここで牛乳２００ｃｃとスライスチーズ２枚を入れてもう少し火にかけ、,"Now, add 200cc of milk and two slices of cheese, and let it heat a little longer.",うん、やる、やるよ！焼肉キャンプ,"Yeah, I do, I do! Yakiniku camp.",リンちゃん,Lin.,いいじゃん、少しくらい苦労した方が記憶に残るってもんだぜい,It's better to have a little trouble to make it memorable.,冬の？,Winter?,ね、さっきの通行止めなんで通れるって知ってたの,"Hey, how did you know you could go through that roadblock earlier?",ううん。でもすごいよね,"No, I don't. But it's amazing.",またみんなで撮ろう？,Shall we take another picture together?
いや、別に,"No, not really.",ポカポカと、ポカポカと、ポカポカと,"Warm, warm, warm, warm, warm...",長野、寒いんだろうな,It must be cold in Nagano!,最後に黒胡椒とパセリで仕上げて、完成,"Finally, finish with black pepper and parsley.",キャンプと言うわけじゃ,It's not really camping.,ベテランさん呼んできた,I've called a veteran.,まあ、確かにそうか,"Well, you're right.",ここはマイカー規制で年中通行止めですよ,This road is closed all year round due to restrictions on private vehicles.,ああ、前に家族と車で出かけたとき似たようなことがあってさね、さっきの通行止めなんで通れるって知ってたの,"Yeah, I had a similar experience when I was out driving with my family, and I knew I could get through because of the roadblock.",私A5ランクのお肉なんて初めて食べるよ,I've never had A5 grade meat before.,およよ,Hey!
リン、ああゆうの得意じゃん,"Lin, you're good at that kind of thing.",暑い,Hot.,熊,Bears!,できた,Done!,そうだ,No.,こんにちは,Hello.,やっぱ、やってみると楽しいな、キャンプ,"After all, camping is fun when you try it.",マイカー規制区間観光地の環境保全のため自家用車の通行を禁止し,"In order to protect the environment of the tourist area, private cars are prohibited from passing through.",ああ、前に家族と車で出かけたとき似たようなことがあってさ,"Yeah, something similar happened to me when I drove out with my family before.",なでしこは明日朝ご飯作るんだっけ？,"Nadeshiko is making breakfast tomorrow, right?",お風呂もあって,There's a hot tub.
・・・できた！熊ヘア！,I got it! Bear hair!,もしかして、その餃子全部入れたの？,Did you put all those dumplings in there by any chance?,あの山、熊とか出るって書いてあった気も,I thought I read something about bears in those mountains.,初めてのまともなキャンプご飯,My first proper camping meal!,りんちゃん、今週の土日暇？,"Rin, are you free this Saturday or Sunday?",なるほど、竹輪炭か,I see. Bamboo ring charcoal.,またすぐ行きた（く）なるわ,I can't wait to go back.,代わりにシャトルバスなどを運行している区間のこと,Shuttle bus service is provided instead.,地元の人教えてくれたんだよ,A local guy told me about it.,そう！日本の朝ご飯,Yes! Japanese breakfast.,ええ景色で,And a nice view.
おい、やめろ,"Hey, stop it.",そうだよ、美味しいでしょう、浜松餃子,"Yes, aren't they delicious, Hamamatsu gyoza!",だんだん不安になってきた・・・,I'm getting more and more worried...,いただきます,Bon appétit!,まあ、バイトはないけど,"Well, I don't have a part-time job.",備長炭は普通の炭より火が着きにくいんだよ,Binchotan's harder to light than regular charcoal.,だったら、次のキャンプだけどさ、どーんと広いとこ行きたくないか？,"So, for the next camping trip, don't you want to go to a big place?",じゃ、いつ来ても原付きじゃ通れなかった訳か,"So no matter when I came here, I couldn't pass by on my motorcycle?",工事の人が看板置き忘れてるけど、道は通れるって地元の人教えてくれたんだよ,"The construction workers forgot to leave the sign, but the road is passable, the locals told me.",日本の？,Japanese?,ほんま最高の場所やな,It's really a great place.
テント上部のスリーブにボールを通し,Put the ball through the sleeve at the top of the tent.,あああ！〆のご飯忘れた！,Ahh! I forgot the rice to finish it off!,なでしこか,Nadeshiko?,ボッチ山で食べるスープパスタうまー,Soup pasta at Bocce Mountain is delicious!,今度は私がいいキャンプ場探してみるよ,I'll try to find a good campsite for you.,そうなんですか,Is that so?,でも、この間の下見写真、林間キャンプ場やったで？,"But the last time we saw a campground, it was in the woods.",冬の一人キャンプですか？,Camping alone in winter?,工事の人が看板置き忘れてるけど、道は通れるって,"The construction workers forgot to leave the sign, but the road is passable.",楽しみにしててね,You'll have to look forward to it.,だよね,That's right.
ボールの端をテント本体の四隅にある穴に固定し,Fix the ends of the ball to the holes in the four corners of the tent body.,いやそんな食えんし,I can't eat that much.,なにやってんだ、あいつら,What the heck are they doing?,りんちゃん、スープパスタ作ったのか。おいしそう,"So you made soup pasta, Rin-chan? Looks delicious!",野クルの名にかけて,In the name of the Wild Camp.,ちょっと待ってて,Hold on a minute.,オイルこのくらいか？,Is this the size of the oil?,最近はそう言った行楽もはやりなんですね,I guess that's what people are doing these days.,さっきの写真、通行止めの理由も書いてないし柵も端に寄ってたから、もしかしてと思ってな工事の人が看板置き忘れてるけど、道は通れるって,"The reason for the road closure was not written on the photo, and the fence was close to the edge, so I thought it might be possible that the road was passable, even though the construction workers forgot to leave the sign.",楽しみにしとくよ,I'll look forward to it.,お前ら、志摩リンさんにちゃんとお礼言っておけよ,You guys should thank Shima Rin.
四隅にある穴に固定...,Secure it to the holes in the four corners...,本当、うまそうに食うな,They look really good.,冬用シュラフ、赤に決めた！,I've decided on red for my winter sleeping bag!,あきちゃん、あおいちゃん、もう4時過ぎたよ,"Aki-chan, Aoi-chan, it's past four o'clock!",うん,Okay.,これを使えば簡単だよ,It's easy if you use this.,そんなもんやない,Not even close.,知りませんでした,I didn't know that.,さっきの写真、通行止めの理由も書いてないし柵も端に寄ってたから、もしかしてと思ってな,"In that photo, there was no sign saying why the road was closed, and the fence was close to the edge, so I thought it might be a good idea.",こんな所に薪売っとる,They sell firewood here.,いやいやいや,"No, no, no."
はまらん！固定...,It won't fit! Fixing...,あのさん？,You know what?,私は野クルイエローだ,I'm Nokuru Yellow.,あー、思いっきり寝過ごした。あかんて、あかん,"Oh, I slept over with all my might. No, no, no.",よし、頑張るぞ,"Okay, I'll do my best.",成型炭。おがくずや炭の粉末を固めたもの,Molded charcoal. Hardened sawdust or charcoal powder.,2人で何の実験してるの？,What are you two experimenting with?,いや、一部の人がやってるだけというか,"No, I guess it's just a few people doing it.",なるほどさっきの写真、通行止めの理由も書いてないし柵も端に寄ってたから、もしかしてと思ってな,"I see... in the photo, there's no sign saying why the road is closed, and the fence is close to the edge, so I thought maybe...",ー束300円って、安いな,"300 yen a bundle, that's cheap.",さんはい,Thank you.
これ長さ合ってんのか,Is this the right length?,あのさ,You know what?,私、野クルブルーやで,I'm Nokuru Blue!,なあ、あき、こっちで合っとる？さっきから下っとるよ,"Hey, Aki, am I in the right place? It's been going down since a while ago.",何のお肉にしようかな？,What kind of meat should we get?,ライターで簡単に火が付きます,It's easy to light with a lighter.,あ、斎藤さん,"Ah, Saito-san.",私も山登りは雪が積もるこの時期が一番好きなんですよ,I also like to climb mountains when there is snow on the ground.,なるほど,I see.,よし、ここで買ってこうぜ,"Okay, let's buy some firewood here.",ありがとうございました,Thank you very much.
あああー,Oh no!,この間はごめん,I'm sorry about the other day.,野クルレッド、参上,I'm Nokuru Red.,まあ、地図ではこっちになってんだけどな,"Well, the map says it's this way.",もうすぐ期末試験ってわかってのかな,"You do realize we're about to take finals, right?",火持ちは少し短いですが,It's a little short-lived.,あ、斎藤,"Ah, Saito.",程よく雪化粧した山の景色を見ることが楽しみで,I look forward to seeing the view of the snow-covered mountains.,とにかく助かった、ありがとう,"Anyway, thanks for your help.",でも持って帰るのしんどいで、これ？,But it'll be hard to carry it home.,小学生みたいなお礼止めろ,Stop thanking her like a schoolgirl.
折れた,It's broken.,この間？なんだっけ？,The other day? What was it?,本栖、ファイト、オー、ファイト、オー、…,"Motosu, fight, oh, fight, oh...",私、暗い森って苦手なんだよね,I don't like the dark forest.,まあ、いいか,"Well, whatever.",これだけでも十分バーベキューを楽しめます,But it's enough to enjoy barbecuing.,へえ、鉄フライパンって使う前こういうことするんだ、面白いね,"Wow, I didn't know iron frying pans did this before use, interesting!",それにこの時期は空いていていいですしね,"Besides, it's a good time of year to go.",いいってことよ,No problem.,じゃ、先生呼んで車で・・・,"Well, let's call the doctor and have him drive us...",ね、今から何しようか？,"Hey, what should we do now?"
あーっ！棒が折れちゃったよ！,Aah! The pole's broken!,サークル誘ってくれたのに,You invited me to your circle.,いよいよ決戦は明日だ,The final battle is tomorrow.,林間キャンプ場全部NGじゃねえか,All the campsites in the woods are out of order.,ほとんど食い終わってやがる,They're almost done eating.,本当だ、すぐ付いちゃった,"It's true, it lit right up!","4,5回空焼きを繰り返し、オイルが馴染んできたら、野菜の切れ端などを炒め","After the pan has been fried four or five times and the oil has been absorbed, fry some vegetable scraps.",そうですよね,That's right.,あのさ、今度野クルでクリスマスキャンプすんだけど,"Hey, I'm having a Christmas camping trip in the wild.",は、無理だったか,I guess we can't.,寝るにはちょっと早いよね,"It's a little early for bed, isn't it?"
テントってああなっちゃったらどうするの？,What do you do with a tent when it's like that?,何ていうか、すごい嫌そうな顔したから,You kind of looked like you didn't want to.,ぬかるなよ,Don't get wet.,もしかしてあれじゃね,Maybe that's it.,りんちゃん、荷物これで全部？,"Rin, is this all the stuff?",しばらくすると全体が赤くなるから、火ばさみで砕いて、まんべんなく広げる,"After a while, the whole thing turns red, so break it up with fire scissors and spread it evenly.",次に、お湯を沸かしてたわしでしっかり洗います,"Next, boil some water and wash the pan thoroughly with a scrubbing brush.",あの・・・今から登られるんですか？,So... are you going to climb the mountain now?,しまリンも来ないか？あのさ、今度野クルでクリスマスキャンプすんだけど,"Do you want to come? Hey, we're having a Christmas camping trip.",いや、本当悪いな,"No, I'm really sorry.",ちょうどええもんががありまっせ,I've got something really good for you.
買い替え？,Replace it?,私も何だかテンション上がってて、無理に誘っちゃってごめんなさい,"I was kind of excited too, and I'm sorry I forced you to ask me out.",オッス,"Oh, no.",・・・「ンプ場」？,A campground?,ううん、後薪と炭,"No, just firewood and charcoal.",後はその上に備長炭を並べて火が付くのを待つ,"After that, put the binchotan on top and wait for the fire to start.",最後にもう一度空焼きをしオイルを薄く塗って完了です,"Finally, fry again and apply a thin coat of oil.",ええ、でも一緒に登る知人が…,"Yes, but I know someone who's going up with me...",しまリンも来ないか？,Do you want to come?,別に構わないって,That's okay.,しってるか？最近は野外フィルムフェスってのがあってな,You know what? There's an outdoor film festival these days.
まあ、メーカーを送って修理かな。,"Well, I guess I'll send it to the manufacturer for repair.",あの後、あおいちゃんに言われたんだよ,"After that, Aoi told me.",まかしときー,I'm on it.,「ンプ場」やな,"""Campground.",わかった,Okay.,二人でキャンプしてるの？中学生？,You two are camping together? Junior high school students?,こっちもできたぞ,"This one's ready, too.",ごめんね,I'm sorry.,たまにはグルキャンも楽しいと思うぞしまリンも来ないか？,I think it's fun to group camp once in a while.,ここは私が出すよ,I'll take it from here.,夜空の下のスクリーンにオールナイトで色んな映画を上映してんだよ,They show all kinds of movies all night on a screen under the night sky.
でも、こんなパイプがあれば一応応急処置もできるけどね,"But if I had a pipe like this, I could do some first aid.",リンちゃんはグループでワイワイキャンプするより、静かにキャンプする方が好きなんじゃないかって,She said that you prefer camping quietly to camping with a group.,免許取りたてなんだから、車には気をつけなさいよ,You just got your license. Be careful with the car.,遅くなってすみません,Sorry I'm late.,入り切らなかったら、後部座席も使ってね,"If you can't fit everything, you can use the back seat.",そうです,"Yes, we are.",ほれ！,There you go!,降りるインター間違っちゃって,I got off at the wrong interchange.,たまにはグルキャンも楽しいと思うぞ,Gurukyan can be fun too.,まじで？,Seriously?,へぇ,Wow.
こういうの？,A pipe like this?,それはまあ、そうなんだけど,"Well, that's true, but...",わかっているよ,"I know, I know.",大丈夫ですよ,No problem.,はい,Okay.,いや、高校生です,"No, we're high school students.",オイル塗ると味出るな,The oil really brings out the flavor.,では、私たちはこれで,"Well, we'll be going now.",大垣,Ogaki.,夕飯ごちそうになっちゃうし,We're having dinner.,そんな雰囲気をみんなで楽しもうと思ってなー,I thought we'd all enjoy that kind of atmosphere.
